Block,Time,CHAMERA1,JHAJJAR,ANTA_CRF,TEHRI,DULHASTI,KOLDAM,ANTA_GF,URI,DADRI_LF,SEWA2,DADRI_RF,BSIUL,TANAKPUR,ANTA_RF,DADRI_CRF,PARBATI3,TANDA2,AURY_LF,DADRI_GF,DHAULIGNGA,RAMPUR,CHAMERA3,RIHAND2,URI2,SINGRAULI,RAPPC,RIHAND3,SINGRAULI_HYDRO,UNCHAHAR2,KOTESHWR,UNCHAHAR1,KISHANGANGA,AURY_GF,NAPP,ANTA_LF,UNCHAHAR3,AURY_RF,NJPC,RIHAND1,SALAL,AURY_CRF,DADRT2,RAPPB,CHAMERA2,UNCHAHAR4,SASAN,KHSTPP-II,KHSTPP-I,TALA,BRBCL,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,25.984364,534.430456,0.000000,10.020881,38.164190,1.812615,0.000000,33.642302,0.000000,18.187717,0.000000,18.924666,1.611011,0.000000,0.000000,0.000000,4.144411,0.000000,0.000000,0.000000,0.834324,22.441199,120.325212,34.008786,145.099310,67.398437,126.323189,0.754252,21.718130,8.921851,21.891648,5.379164,0.000000,49.416830,0.000000,26.737950,0.000000,21.559836,93.891919,50.585346,0.000000,666.263807,0.000000,46.918734,2.989266,318.495110,142.983268,44.886470,0.000000,19.348002,12.975543,0,0,0,0,0

2,00:15-00:30,25.984364,534.430456,0.000000,0.000000,38.164190,1.812615,0.000000,33.642302,0.000000,18.187717,0.000000,18.924666,1.611011,0.000000,0.000000,0.000000,4.338681,0.000000,0.000000,0.000000,0.834324,22.441199,120.325212,34.008786,145.099310,67.398437,126.323189,0.754252,21.718130,8.921851,21.892262,5.379164,0.000000,49.416830,0.000000,26.737950,0.000000,21.559836,93.891919,50.585346,0.000000,666.263807,0.000000,46.918734,2.989266,324.103185,142.983268,44.886470,0.000000,19.348002,13.833820,0,0,0,0,0

3,00:30-00:45,25.984364,534.430456,0.000000,0.000000,38.164190,0.000000,0.000000,33.642302,0.000000,18.187717,0.000000,18.924666,1.611011,0.000000,0.000000,0.000000,4.351632,0.000000,0.000000,0.000000,0.834324,22.441199,120.325212,34.008786,145.099310,67.398437,126.323189,0.754252,21.718130,8.921851,21.892262,5.379164,0.000000,49.416830,0.000000,26.737950,0.000000,21.559836,93.891919,50.585346,0.000000,666.263807,0.000000,46.918734,2.989266,330.633135,142.983268,44.886470,0.000000,16.951493,13.833820,0,0,0,0,0

4,00:45-01:00,25.984364,534.430456,0.000000,0.000000,38.164190,0.000000,0.000000,33.642302,0.000000,18.187717,0.000000,18.924666,1.611011,0.000000,0.000000,0.000000,4.351632,0.000000,0.000000,0.000000,0.834324,22.441199,120.325212,34.008786,145.099310,67.398437,126.323189,0.754252,21.718130,8.921851,21.892262,5.379164,0.000000,49.416830,0.000000,26.737950,0.000000,21.559836,93.891919,50.585346,0.000000,666.263807,0.000000,31.279156,2.989266,331.939125,142.983268,44.886470,0.000000,16.222872,13.833820,0,0,0,0,0

5,01:00-01:15,25.984364,534.430456,0.000000,0.000000,38.164190,0.000000,0.000000,33.642302,0.000000,18.187717,0.000000,18.924666,1.611011,0.000000,0.000000,0.000000,4.351632,0.000000,0.000000,0.000000,0.834324,22.441199,120.325212,34.008786,145.099310,67.398437,126.323189,0.754252,21.718130,8.921851,21.892262,5.379164,0.000000,49.416830,0.000000,26.737950,0.000000,21.559836,93.891919,76.788555,0.000000,666.263807,0.000000,31.279156,2.989266,331.939125,142.983268,44.886470,0.000000,16.116378,13.833820,0,0,0,0,0

