Time,Block,NR/2023/13704/A,NR/2023/11328/A,NR/2023/11524/A,NR/2023/14636/D,NR/2023/14119/F,NR/2023/11469/A,NR/2023/11203/A,NR/2023/11739/A,NR/2023/14644/C,NR/2023/14187/F,NR/2023/14630/D,NR/2023/11205/A,NR/2023/14118/F,NR/2023/13858/A,NR/2023/11654/A,SR/2023/6964/C,NR/2023/11521/A,NR/2023/11458/A,NR/2023/14136/F,NR/2023/11697/A,NR/2023/14117/F,NR/2023/13573/A,NR/2023/14113/F,NR/2023/11954/A,NR/2023/14115/F,NR/2023/13859/A,NR/2023/14632/D,NR/2023/13573/A/II,NR/2023/11264/A,NR/2023/13284/A,NR/2023/13283/A,NR/2023/14649/C,NR/2023/14637/D,NR/2023/13983/F,NR/2023/14114/F,NR/2023/14120/F,NR/2023/11892/A,NR/2023/11325/A,NR/2023/11470/A,NR/2023/14643/C,NR/2023/14650/C,NR/2023/14646/C,NR/2023/13704/A/II,NR/2023/14121/F,NR/2023/13983/F/II,NR/2023/11204/A,NR/2023/12646/A,NR/2023/14648/C,NR/2023/14116/F,NR/2023/11315/A,NR/2023/13283/A/II,Total
,,HPXL,APPCPL,PTC,TS1PL_BKN,SHPPBPL,NVVNL,KEIPL,NVVNL,KEIPL,GBHHPL,NVVNL,KEIPL,SHPPBPL,MANIKARAN,TPTCL,HPXL,PTC,STATKRAFT,SJVNL,APPCPL,SHPPBPL,NVVNL,SHPPBPL,KEIPL,SHPPBPL,MANIKARAN,NVVNL,NVVNL,TPTCL,APPCPL,APPCPL,TS1PL_BKN,TS1PL_BKN,ITCLH,SHPPBPL,SHPPBPL,TPTCL,APPCPL,NVVNL,KEIPL,TS1PL_BKN,PXIL,HPXL,SHPPBPL,ITCLH,KEIPL,MANIKARAN,IEXL,SHPPBPL,GMRETL,APPCPL,Total

,,MAHARASHTRA,UTTARAKHAND,NA,NA,HIMACHAL PRADESH,NA,MEGHALAYA,MP,MAHARASHTRA,HIMACHAL PRADESH,NA,KERALA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,DELHI,NA,TAMIL NADU,WEST BENGAL,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,GOA,NA,NA,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,MEGHALAYA,NA,UTTAR PRADESH,NA,DELHI,MAHARASHTRA,HIMACHAL PRADESH,ANDHRA PRADESH,KERALA,TAMIL NADU,KARNATAKA,HIMACHAL PRADESH,MEGHALAYA,GOA,
,,B_S_ISPAT_MH,UTTARAKHAND,JPL-2,TS1PL_BKN,SHPPBPL,JPNIGRIE_JNSTPP,Meghalaya_Ben,JP BINA,LMEL MSEB,GBHHPL,KAMENG,KSEB,SHPPBPL,HP,JPL-2,BYPL,JPNIGRIE_JNSTPP,TANGEDCO,IPCL_WB,HP,SHPPBPL,SKS Raigarh,SHPPBPL,Meghalaya_Ben,SHPPBPL,HP,SOLAPUR_SOLAR,SKS Raigarh,KWHEP,HP,GOA_Beneficiary,TS1PL_BKN,TS1PL_BKN,ITCWIND,SHPPBPL,SHPPBPL,TPC MSEB,Meghalaya_Ben,KAMENG,LAPL-UP,TS1PL_BKN,BYPL,B_S_ISPAT_MH,SHPPBPL,ITCWIND,KSEB,TANGEDCO,NSLSUGAR,SHPPBPL,Meghalaya_Ben,GOA_Beneficiary,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BYPL,TPDDL,BRPL,JHPL-DL,BRPL,BYPL,BRPL,BYPL,DIAPL,TPDDL,BRPL,MAX-HPTL,BRPL,BRPL,TANGEDCO,TPDDL,BYPL,NDMC,BYPL,BMDRC,NDMC,BAL184,BYPL,BAL234,BRPL,MES (Delhi),NDMC,BRPL,BRPL,BRPL,BYPL,BYPL,ITCLH,BAL224,MHIL,BYPL,BYPL,BRPL,BYPL,BRPL,ASIL_UP,NDMC,UHL,ITCLH,BYPL,BRPL,MES (Delhi),AISHER,BYPL,BRPL,
,,West-North,North-North,West-North,North-North,North-North,West-North,North East-East-North,West-North,West-North,North-North,North East-East-North,South-East-North,North-North,North-North,West-North,North-East-South,West-North,South-West-North,East-North,North-North,North-North,West-East-North,North-North,North East-East-North,North-North,North-North,West-North,West-North,North-North,North-North,West-North,North-North,North-North,South-West-North,North-North,North-North,West-North,North East-East-North,North East-East-North,North-North,North-North,North-North,West-East-North,North-North,South-East-North,South-East-North,South-West-North,South-West-North,North-North,North East-East-North,West-East-North,
1,00:00-00:15,6.380000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,0.000000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,80.00,48.230000,98.390000,0.000000,27.780000,0.930000,3.460000,0.380000,36.390000,0.950000,177.970000,0,59.240000,0.000000,64.820000,22.780000,0,0,0.000000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,30.000000,0.380000,0.610000,0.870000,82.960000,23.080000,4.820000,0.870000,22.190000,1.330000,2090.57

2,00:15-00:30,6.380000,48.230000,192.920000,0,1.010000,84.870000,62.940000,28.880000,0.000000,3.860000,192.920000,231.610000,0.870000,77.170000,257.550000,80.00,48.230000,98.390000,0.000000,27.780000,0.930000,3.460000,0.380000,36.390000,0.950000,177.970000,0,59.240000,0.000000,64.820000,22.780000,0,0,0.000000,0.520000,0.610000,66.460000,24.120000,21.220000,0.000000,0,30.000000,0.380000,0.610000,0.870000,82.960000,23.080000,4.820000,0.870000,22.190000,1.330000,2090.57
