Column1,Time,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/31052040/LT-31,GNA/NR/2025/05/16/9317,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/7902,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/21/1963,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6160,NR/01102023/30042040/GNA_LT_36,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/2474,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/8964,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/8456,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/05/16/1698,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/21/7672,GNA/NR/2025/05/01/8954
1,00:00-00:15,49.99,40,0,0,12.33,0,16.67,0,40,16.67,0,0,0,30.01,0,0,0,0,0,0,0,96.6,0,0,28.98,7.5,13.52,67.62,88.87,0,0,0,0,0,273.14,5.84,28.98,193.2,10.63,14.49,29.1,115.51,7.25,15.07,7.24,87.13,10.46,30.28,18.57,30,30,261.4,100.64,15.54,0,5.8

2,00:15-00:30,51,41.67,0,0,12.33,0,17,0,41.67,17,0,0,0,29.61,0,0,0,0,0,0,0,96.6,0,0,28.98,7.5,13.52,67.62,88.87,0,0,0,0,0,273.14,5.84,28.98,193.2,10.63,14.49,29.1,115.51,7.25,15.07,7.24,87.13,10.46,31.29,18.57,30,30,261.4,100.64,15.54,0,5.8

3,00:30-00:45,52.5,42.33,0,0,12.67,0,17.5,0,42.33,17.5,0,0,0,35.01,0,0,0,0,0,0,0,96.6,0,0,28.98,7.5,13.52,67.62,88.87,0,0,0,0,0,273.14,5.84,28.98,193.2,10.63,14.49,29.1,115.51,7.25,15.07,7.24,87.13,10.46,31.29,18.57,30,30,261.4,100.64,15.54,0,5.8

4,00:45-01:00,54,44,0,0,13,0,18,0,44,18,0,0,0,34.81,0,0,0,0,0,0,0,96.6,0,0,28.98,7.5,13.52,67.62,88.87,0,0,0,0,0,273.14,5.84,28.98,193.2,10.63,14.49,29.1,115.51,7.25,15.07,7.24,87.13,10.46,31.29,18.57,30,30,261.4,100.64,15.54,0,5.8

5,01:00-01:15,55.01,46,0,0,13,0,18.33,0,46,18.33,0,0,0,34.41,0,0,0,0,0,0,0,96.6,0,0,28.98,7.3,13.52,67.62,88.87,0,0,0,0,0,273.14,5.84,28.98,193.2,10.63,14.49,29.1,115.51,7.25,14.89,7.17,87.13,10.46,31.29,18.57,30,30,261.4,100.64,15.54,0,5.8

