Block,Time,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/03112023/30112023/IEX-231101-05680,NR/01112023/30112023/HP-10,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,NR/01112023/30112023/HP-09,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/02112023/15112023/D20231102NR21539,NR/01102023/30042040/GNA_LT_35,NR/01102023/02122045/L_NR_2021_13,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/22102023/11042047/L_NR_2021_16,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02012046/L_NR_2021_17
1,00:00-00:15,0.000000,2.510000,197.100000,74.090000,48.310000,93.630000,48.310000,25.720000,109.570000,271.740000,0.000000,0.000000,1.940000,38.280000,27.050000,0.000000,25.730000,2.000000,48.310000,0.000000,0,0,0,6,20,0,6.67,17.43,0,6.66,6.01,0,144.93,0,17.43,0,0,0,0,0,0,0

2,00:15-00:30,0.000000,2.510000,169.500000,59.080000,48.310000,93.630000,48.310000,25.720000,100.870000,271.740000,0.000000,0.000000,1.940000,38.280000,27.050000,0.000000,25.730000,2.000000,48.310000,0.000000,0,0,0,6,20,0,6.67,16.87,0,6.66,6.01,0,144.93,0,16.87,0,0,0,0,0,0,0

3,00:30-00:45,0.000000,2.510000,169.500000,59.080000,48.310000,93.630000,48.310000,25.720000,92.180000,271.740000,0.000000,0.000000,1.940000,38.280000,27.050000,0.000000,25.730000,2.000000,48.310000,0.000000,0,0,0,6,20,0,6.67,16.02,0,6.66,6.01,0,144.93,0,16.02,0,0,0,0,0,0,0

4,00:45-01:00,0.000000,2.510000,169.500000,59.080000,48.310000,93.630000,48.310000,25.720000,71.890000,271.740000,0.000000,0.000000,1.940000,38.280000,27.050000,0.000000,25.730000,2.000000,48.310000,0.000000,0,0,0,6,20,0,6.67,15.22,0,6.66,6.01,0,144.93,0,15.22,0,0,0,0,0,0,0

5,01:00-01:15,0.000000,2.510000,169.500000,59.080000,48.310000,93.630000,48.310000,25.720000,71.890000,271.740000,0.000000,0.000000,1.940000,38.280000,27.050000,0.000000,25.730000,2.000000,48.310000,0.000000,0,0,0,6,20,0,6.67,14.22,0,6.66,6.01,0,144.93,0,14.22,0,0,0,0,0,0,0

6,01:15-01:30,0.000000,2.510000,197.100000,74.090000,48.310000,93.630000,48.310000,25.720000,71.890000,271.740000,0.000000,0.000000,1.940000,38.280000,27.050000,0.000000,25.730000,2.000000,48.310000,0.000000,0,0,0,6,20,0,6.67,13.67,0,6.66,6.01,0,144.93,0,13.67,0,0,0,0,0,0,0

7,01:30-01:45,0.000000,2.510000,169.500000,59.080000,48.310000,93.630000,48.310000,25.720000,71.890000,271.740000,0.000000,0.000000,1.940000,38.280000,27.050000,0.000000,25.730000,2.000000,48.310000,0.000000,0,0,0,6,20,0,6.67,22.28,0,6.66,6.01,0,144.93,0,22.28,0,0,0,0,0,0,0

8,01:45-02:00,0.000000,2.510000,197.100000,74.090000,48.310000,93.630000,48.310000,25.720000,71.890000,271.740000,0.000000,0.000000,1.940000,38.280000,27.050000,0.000000,25.730000,2.000000,48.310000,0.000000,0,0,0,6,20,0,6.67,21.75,0,6.66,6.01,0,144.93,0,21.75,0,0,0,0,0,0,0

9,02:00-02:15,0.000000,2.510000,169.500000,49.930000,48.310000,93.630000,48.310000,25.720000,71.890000,271.740000,0.000000,0.000000,1.940000,38.280000,27.050000,0.000000,25.730000,2.000000,48.310000,0.000000,0,0,0,6,20,0,6.67,21.42,0,6.66,6.01,0,144.93,0,21.42,0,0,0,0,0,0,0

10,02:15-02:30,0.000000,2.510000,197.100000,64.930000,48.310000,93.630000,48.310000,25.720000,71.890000,271.740000,0.000000,0.000000,1.940000,38.280000,27.050000,0.000000,25.730000,2.000000,48.310000,0.000000,0,0,0,6,20,0,6.67,20.67,0,6.66,6.01,0,144.93,0,20.67,0,0,0,0,0,0,0

11,02:30-02:45,0.000000,2.510000,169.500000,49.930000,48.310000,93.630000,48.310000,25.720000,71.890000,271.740000,0.000000,0.000000,1.940000,38.280000,26.090000,0.000000,25.730000,2.000000,48.310000,0.000000,0,0,0,6,20,0,6.67,20.34,0,6.66,6.01,0,144.93,0,20.34,0,0,0,0,0,0,0

12,02:45-03:00,0.000000,2.510000,169.500000,49.930000,48.310000,93.630000,48.310000,25.720000,71.890000,231.890000,0.000000,0.000000,1.940000,38.280000,26.090000,0.000000,25.730000,2.000000,48.310000,0.000000,0,0,0,6,20,0,6.67,20.01,0,6.66,6.01,0,144.93,0,20.01,0,0,0,0,0,0,0

13,03:00-03:15,0.000000,2.510000,169.500000,49.930000,48.310000,93.630000,48.310000,25.720000,71.890000,193.240000,0.000000,0.000000,1.940000,38.280000,26.090000,0.000000,25.730000,1.920000,48.310000,0.000000,0,0,0,6,18,0,6,14.33,0,6,6.01,0,144.93,0,14.33,0,0,0,0,0,0,0

14,03:15-03:30,0.000000,2.510000,169.500000,49.930000,48.310000,93.630000,48.310000,25.720000,71.890000,193.240000,0.000000,0.000000,1.940000,38.280000,26.090000,0.000000,25.730000,1.920000,48.310000,0.000000,0,0,0,6,18,0,6,14.33,0,6,6.01,0,144.93,0,14.33,0,0,0,0,0,0,0

15,03:30-03:45,0.000000,2.510000,169.500000,49.930000,48.310000,93.630000,48.310000,25.720000,71.890000,193.240000,0.000000,0.000000,1.940000,38.280000,26.090000,0.000000,25.730000,1.920000,48.310000,0.000000,0,0,0,6,18,0,6,14.33,0,6,6.01,0,144.93,0,14.33,0,0,0,0,0,0,0

16,03:45-04:00,0.000000,2.510000,169.500000,49.930000,48.310000,93.630000,48.310000,25.720000,71.890000,193.240000,0.000000,0.000000,1.940000,38.280000,26.090000,0.000000,25.730000,1.920000,48.310000,0.000000,0,0,0,6,18,0,6,14.33,0,6,6.01,0,144.93,0,14.33,0,0,0,0,0,0,0

17,04:00-04:15,0.000000,2.510000,169.500000,49.930000,48.310000,93.630000,48.310000,25.720000,71.890000,231.890000,0.000000,0.000000,1.940000,38.280000,26.090000,0.000000,25.730000,1.920000,48.310000,0.000000,0,0,0,6,18,0,6,14.33,0,6,6.01,0,144.93,0,14.33,0,0,0,0,0,0,0

