Time,Block,NR/2024/20082/A/19528,NR/2024/20309/C,NR/2024/20333/C,NR/2024/20052/A/19015,NR/2024/20144/A/19272,NR/2024/20335/C,NR/2024/20311/C,NR/2024/20050/A/19583,NR/2024/19637/A/19255,NR/2024/19779/A/19171,NR/2024/19683/A/19134,NR/2024/20090/A/19106,NR/2024/20141/A/19278,NR/2024/20109/A/19647,NR/2024/19432/A/19595,NR/2024/19699/A/19593,NR/2024/20034/A/19588,NR/2024/20319/C,NR/2024/20033/A/19591,NR/2024/20334/C,NR/2024/19966/A/19271,NR/2024/19760/A/19178,NR/2024/20336/C,NR/2024/20337/C,NR/2024/20040/A/19526,NR/2024/20048/A/19584,NR/2024/20328/C,NR/2024/19475/A/19479,NR/2024/20142/A/19273,NR/2024/19588/A/19291,NR/2024/20130/A/19251,NR/2024/19918/A/19529,NR/2024/20031/A/19590,NR/2024/20310/C,NR/2024/20041/A/19582,NR/2024/20037/A/19176,NR/2024/19355/A/19648,NR/2024/20330/C,Total
,,APPCPL,NVVNL,PXIL,DIAPL,BAL234,IEXL,NVVNL,PTC,INSTINCT,ITCLH,IEXL,IEXL,BAL184,TPDDL,NVVNL,NVVNL,NVVNL,HPXL,NVVNL,IEXL,BRPL,TPTCL,PXIL,HPXL,APPCPL,PTC,PXIL,AEL,BAL224,GMRETL,DTCP,APPCPL,NVVNL,NVVNL,PTC,TPTCL,TPDDL,PXIL,Total

,,SIKKIM,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,ANDHRA PRADESH,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,MP,NA,NA,NA,NA,MAHARASHTRA,NA,NA,KERALA,MANIPUR,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,RAJASTHAN,HIMACHAL PRADESH,NAGALAND,NA,NA,MAHARASHTRA,MAHARASHTRA,NA,NA,
,,SIKKIM,SOLAPUR_SOLAR,SKS Raigarh,GBHHPL,SHPPBPL,DGEN,SORANG_HEP,HP,JPL-2,ITCWIND,NHCPL_HP,A_A_Energy_MH_Bio,SHPPBPL,JHAJJAR,SEIL,JP BINA,RKM_POWER,JPNIGRIE_JNSTPP,SKS Raigarh,SINGOLI,IEPLBELA2022,SIMHAPURI,SKS Raigarh,KSEB,Manipur_Ben,HP,RKM_POWER,APL_Raipur TPP,SHPPBPL,RUVNL,SHPPBPL,Nagaland_Ben,RKM_POWER,KAMENG,JPL_DHULE,JPL_DHULE,JPL-2,SKS Raigarh,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,MES (Delhi),TPDDL,DIAPL,BAL234,BRPL,TPDDL,BRPL,BRPL,ITCLH,MES (Delhi),MES (Delhi),BAL184,TPDDL,TPDDL,TPDDL,NDMC,BRPL,NDMC,BYPL,BRPL,BRPL,BRPL,BRPL,BYPL,BYPL,BRPL,BRPL,BAL224,BYPL,DTCP,BYPL,NDMC,TPDDL,BRPL,TPDDL,TPDDL,BRPL,
,,East-North,West-North,West-North,North-North,North-North,West-North,North-North,North-North,West-North,South-West-North,North-North,West-North,North-North,North-North,South-West-North,West-North,West-North,West-North,West-North,North-North,West-North,South-West-North,West-North,South-East-North,North East-East-North,North-North,West-North,West-North,North-North,North-North,North-North,North East-East-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,
1,00:00-00:15,11.590000,0,48.290000,8.690000,0.880000,67.610000,19.320000,162.980000,0.000000,0.630000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,44.430000,0.000000,0.000000,82.090000,193.160000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1954.98

2,00:15-00:30,11.590000,0,48.290000,8.690000,0.880000,67.610000,19.320000,162.980000,0.000000,0.630000,1.930000,1.930000,0.350000,241.450000,24.140000,48.290000,43.900000,96.580000,14.630000,44.430000,0.000000,0.000000,82.090000,193.160000,14.490000,54.330000,70.500000,193.160000,0.520000,66.820000,0.480000,13.520000,43.900000,167.080000,0.000000,72.440000,96.580000,48.290000,1954.98
