Block,Time Block,UNCHAHAR3,UNCHAHAR4,DADRI_CRF,ANTA_GF,DADRI_RF,AURY_CRF,URI,AURY_RF,DADRI_LF,ANTA_CRF,VALLURNTECL,ANTA_RF,AURY_LF,DADRI_GF,URI2,ANTA_LF,AURY_GF,UNCHAHAR2,UNCHAHAR1,TANDA2,SINGRAULI,TALA,TANAKPUR,TEHRI,SIMHST1,TelanganaSTPP,SIMHST2,SINGRAULI_HYDRO,TALST2,PARBATI3,RAPPC,PARBATI2,RAMPUR,RIHAND1,RAPPB,RIHAND3,SASAN,RIHAND2,RSTPSU1TO6,RSTPSU7,SALAL,SEWA2,NTPL,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,NAPP,KISHANGANGA,KHSTPP-I,KGSU1AND2,KGSU3AND4,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KUDGI,MAPS,DHAULIGNGA,FSTPP I & II,CHAMERA2,BRBCL,DULHASTI,DADRT2,CHAMERA1,JHAJJAR,BSIUL,CHAMERA3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,26.63,1.63,0,0,12.1,0,44.63,17.72,0,0,0,11.06,0,0,38.14,0,0,42.33,20.82,3.84,144.62,0,0,12.49,0,0,0,0.96,0,16.23,66.35,10.82,3.15,93.54,0,125.85,391.86,119.86,0,0,38.59,18.17,0,0,0,79.78,0,0,0,49.28,8.24,44.11,0,0,10.02,142.26,0,0,0,0,0,0,14.72,46.91,19.25,38.13,663.04,40.57,479.95,18.83,22.43,0,0,0,0,0

2,00:15-00:30,26.63,1.63,0,0,0,0,44.63,0,0,0,0,0,0,0,38.14,0,0,42.33,20.82,3.84,144.62,0,0,12.49,0,0,0,0.96,0,16.23,66.35,10.82,1.69,93.54,0,125.85,391.98,119.86,0,0,38.59,18.17,0,0,0,43.06,0,0,0,49.28,8.24,44.11,0,0,10.02,142.26,0,0,0,0,0,0,14.72,46.91,17.56,38.13,663.04,40.57,479.95,18.83,22.43,0,0,0,0,0

3,00:30-00:45,26.63,1.63,0,0,0,0,44.63,0,0,0,0,0,0,0,38.14,0,0,42.33,20.82,5.26,144.62,0,0,0,0,0,0,0.96,0,4.13,66.35,8.66,1.69,93.54,0,125.85,391.98,119.86,0,0,38.59,18.17,0,0,0,43.06,0,0,0,49.28,8.24,44.11,0,0,10.02,142.26,0,0,0,0,0,0,14.72,46.91,16.36,38.13,663.04,40.57,479.95,18.83,22.43,0,0,0,0,0

4,00:45-01:00,26.63,1.63,0,0,0,0,44.63,0,0,0,0,0,0,0,38.14,0,0,42.33,20.82,5.26,144.62,0,0,0,0,0,0,0.96,0,4.13,66.35,8.66,1.69,93.54,0,125.85,391.98,119.86,0,0,38.59,18.17,0,0,0,43.06,0,0,0,49.28,8.24,44.11,0,0,10.02,142.26,0,0,0,0,0,0,14.72,46.91,13.99,38.13,663.04,40.57,479.95,18.83,22.43,0,0,0,0,0

5,01:00-01:15,26.63,1.63,0,0,0,0,44.63,0,0,0,0,0,0,0,38.14,0,0,42.33,19.96,5.26,144.62,0,0,0,0,0,0,0.96,0,4.13,66.35,8.66,1.69,93.54,0,125.85,391.98,119.86,0,0,38.59,18.17,0,0,0,43.06,0,0,0,49.28,8.24,44.11,0,0,10.02,142.26,0,0,0,0,0,0,14.72,46.91,13.38,38.13,663.04,40.57,479.95,18.83,22.43,0,0,0,0,0

6,01:15-01:30,26.63,1.63,0,0,0,0,44.63,0,0,0,0,0,0,0,38.14,0,0,42.33,19.96,5.26,144.62,0,0,0,0,0,0,0.96,0,4.13,66.35,8.66,1.69,93.54,0,125.85,391.98,119.86,0,0,44.74,18.17,0,0,0,43.06,0,0,0,49.28,8.24,44.11,0,0,10.02,142.26,0,0,0,0,0,0,14.72,46.91,13.42,38.13,663.04,30.39,479.95,18.83,22.43,0,0,0,0,0

