Block,Time,PARBATI3,KUDGI,RAPPB,TEHRI,DULHASTI,FSTPP I & II,SASAN,TALA,KHSTPP-II,KHSTPP-I,SEWA2,BRBCL,TANAKPUR,RIHAND1,ANTA_RF,SINGRAULI,NAPP,DADRI_GF,AURY_GF,RAPPC,CHAMERA3,NJPC,RIHAND3,AURY_RF,UNCHAHAR4,ANTA_CRF,DADRI_LF,RIHAND2,KOTESHWR,DHAULIGNGA,CHAMERA2,DADRI_CRF,UNCHAHAR1,SINGRAULI_HYDRO,AURY_LF,CHAMERA1,URI2,TANDA2,UNCHAHAR3,URI,ANTA_LF,KISHANGANGA,DADRI_RF,KOLDAM,ANTA_GF,DADRT2,BSIUL,UNCHAHAR2,SALAL,AURY_CRF,RAMPUR,JHAJJAR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,62.69,0.000000,0.000000,15.893853,10.710387,334.163081,0.000000,75.394290,33.127199,0.000000,19.290037,11.499027,88.734000,0.000000,132.015938,0.000000,0.000000,0.000000,50.181970,0.000000,0.000000,119.275495,0.000000,0.000000,0.000000,0.000000,113.931562,8.558973,0.000000,0.000000,0.000000,8.680500,0.553527,0.000000,0.000000,23.872995,0.000000,9.645000,47.916360,0.000000,0.000000,0.000000,0.000000,0.000000,170.716500,0.000000,15.432000,2.241498,0.000000,0.000000,117.669000,0,0,0,0,0

2,00:15-00:30,0.000000,60.76,0.000000,0.000000,15.893853,10.710387,334.199250,0.000000,75.394290,33.127199,0.000000,18.606596,11.499027,88.734000,0.000000,132.015938,0.000000,0.000000,0.000000,50.181970,0.000000,0.000000,119.275495,0.000000,0.000000,0.000000,0.000000,113.931562,8.558973,0.000000,0.000000,0.000000,8.680500,0.553527,0.000000,0.000000,23.872995,0.000000,9.645000,47.916360,0.000000,0.000000,0.000000,0.000000,0.000000,170.716500,0.000000,15.432000,2.241498,0.000000,0.000000,117.669000,0,0,0,0,0

3,00:30-00:45,0.000000,60.76,0.000000,0.000000,15.893853,5.787000,334.199250,0.000000,75.394290,33.127199,0.000000,18.684954,11.499027,88.734000,0.000000,132.015938,0.000000,0.000000,0.000000,50.181970,0.000000,0.000000,119.275495,0.000000,0.000000,0.000000,0.000000,113.931562,8.558973,0.000000,0.000000,0.000000,8.680500,0.553527,0.000000,0.000000,23.872995,0.000000,9.645000,6.388848,0.000000,0.000000,0.000000,0.000000,0.000000,170.716500,0.000000,15.432000,2.241498,0.000000,0.000000,117.669000,0,0,0,0,0

4,00:45-01:00,0.000000,58.83,0.000000,0.000000,15.893853,5.787000,334.199250,0.000000,75.394290,33.127199,0.000000,19.290037,11.499027,88.734000,0.000000,132.015938,0.000000,0.000000,0.000000,50.181970,0.000000,0.000000,119.275495,0.000000,0.000000,0.000000,0.000000,113.931562,8.558973,0.000000,0.000000,0.000000,8.680500,0.553527,0.000000,0.000000,23.872995,0.000000,9.645000,6.388848,0.000000,0.000000,0.000000,0.000000,0.000000,170.716500,0.000000,15.432000,2.241498,0.000000,0.000000,117.669000,0,0,0,0,0

5,01:00-01:15,0.000000,56.91,0.000000,0.000000,15.893853,5.787000,334.199250,0.000000,75.394290,33.127199,0.000000,17.544272,4.324336,88.734000,0.000000,132.015938,0.000000,0.000000,0.000000,50.181970,0.000000,0.000000,119.275495,0.000000,0.000000,0.000000,0.000000,113.931562,8.558973,0.000000,0.000000,0.000000,8.680500,0.553527,0.000000,0.000000,23.872995,0.000000,9.645000,6.388848,0.000000,0.000000,0.000000,0.000000,0.000000,170.716500,0.000000,15.432000,2.241498,0.000000,0.000000,117.669000,0,0,0,0,0

6,01:15-01:30,0.000000,56.91,0.000000,0.000000,15.893853,5.787000,334.199250,0.000000,75.394290,23.835760,0.000000,17.771682,4.324336,88.734000,0.000000,132.015938,0.000000,0.000000,0.000000,50.181970,0.000000,0.000000,119.275495,0.000000,0.000000,0.000000,0.000000,113.931562,8.558973,0.000000,0.000000,0.000000,8.680500,0.553527,0.000000,0.000000,23.872995,0.000000,9.645000,6.388848,0.000000,0.000000,0.000000,0.000000,0.000000,170.716500,0.000000,15.432000,2.241498,0.000000,0.000000,117.669000,0,0,0,0,0

7,01:30-01:45,0.000000,55.94,0.000000,0.000000,15.893853,5.787000,334.199250,0.000000,75.394290,21.687651,0.000000,15.274304,4.324336,88.734000,0.000000,132.015938,0.000000,0.000000,0.000000,50.181970,0.000000,0.000000,119.275495,0.000000,0.000000,0.000000,0.000000,113.931562,8.558973,0.000000,0.000000,0.000000,8.680500,0.553527,0.000000,0.000000,11.677009,0.000000,9.645000,6.388848,0.000000,0.000000,0.000000,0.000000,0.000000,180.361500,0.000000,15.432000,2.241498,0.000000,0.000000,117.669000,0,0,0,0,0

8,01:45-02:00,0.000000,54.98,0.000000,0.000000,15.893853,5.787000,334.199250,0.000000,75.394290,21.687651,0.000000,14.846208,4.324336,88.734000,0.000000,132.015938,0.000000,0.000000,0.000000,50.181970,0.000000,0.000000,119.275495,0.000000,0.000000,0.000000,0.000000,113.931562,8.558973,0.000000,0.000000,0.000000,8.680500,0.553527,0.000000,0.000000,11.677009,0.000000,9.645000,6.388848,0.000000,0.000000,0.000000,0.000000,0.000000,180.361500,0.000000,15.432000,2.241498,0.000000,0.000000,117.669000,0,0,0,0,0

9,02:00-02:15,0.000000,56.91,0.000000,0.000000,15.893853,5.787000,334.199250,0.000000,75.394290,21.687651,0.000000,15.698569,11.499027,88.734000,0.000000,132.015938,0.000000,0.000000,0.000000,50.181970,0.000000,18.267630,119.275495,0.000000,0.000000,0.000000,0.000000,113.931562,8.558973,0.000000,0.000000,0.000000,8.680500,0.553527,0.000000,0.000000,11.677009,0.000000,9.645000,6.388848,0.000000,0.000000,0.000000,0.000000,0.000000,190.006500,0.000000,15.432000,2.241498,0.000000,0.000000,117.669000,0,0,0,0,0

10,02:15-02:30,0.000000,54.98,0.000000,0.000000,15.893853,5.787000,334.199250,0.000000,75.394290,21.687651,0.000000,16.587233,11.499027,88.734000,0.000000,132.015938,0.000000,0.000000,0.000000,50.181970,0.000000,18.267630,119.275495,0.000000,0.000000,0.000000,0.000000,113.931562,8.558973,0.000000,0.000000,0.000000,8.680500,0.553527,0.000000,0.000000,11.677009,0.000000,9.645000,6.388848,0.000000,0.000000,0.000000,0.000000,0.000000,190.006500,0.000000,15.432000,2.241498,0.000000,0.000000,117.669000,0,0,0,0,0

