Block,Time,NR/01102023/30042040/GNA_LT_36,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,NR/30102023/30102023/ID20231030NR21522,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,0.000000,2.780000,101.260000,0.000000,2.410000,132.640000,2.310000,0.000000,0.000000,117.950000,0.000000,237.830000,74.130000,27.070000,26.090000,26.090000,6.67,6,4,0,0,0,20,10,0,6.66,0,10,0,0,0,0,0,0,0

2,00:15-00:30,0.000000,2.780000,101.260000,0.000000,2.410000,132.640000,2.310000,0.000000,0.000000,96.680000,0.000000,237.830000,74.130000,27.070000,26.090000,26.090000,6.67,6,4,0,0,0,20,10,0,6.66,0,10,0,0,0,0,0,0,0

3,00:30-00:45,0.000000,2.780000,101.260000,0.000000,2.410000,132.640000,2.310000,0.000000,0.000000,96.680000,0.000000,237.830000,74.130000,27.070000,26.090000,26.090000,6.67,6,4,0,0,0,20,10,0,6.66,0,10,0,0,0,0,0,0,0

4,00:45-01:00,0.000000,2.780000,101.260000,0.000000,2.410000,132.640000,2.310000,0.000000,0.000000,96.680000,0.000000,237.830000,74.130000,27.070000,26.090000,26.090000,6.67,6,4,0,0,0,20,10,0,6.66,0,10,0,0,0,0,0,0,0

5,01:00-01:15,0.000000,2.780000,101.260000,0.000000,2.410000,132.640000,2.310000,0.000000,0.000000,79.300000,0.000000,237.830000,74.130000,27.070000,26.090000,26.090000,6.67,6,4,0,0,0,20,10,0,6.66,0,10,0,0,0,0,0,0,0

6,01:15-01:30,0.000000,2.780000,101.260000,0.000000,2.410000,132.640000,2.310000,0.000000,0.000000,71.930000,0.000000,237.830000,74.130000,27.070000,26.090000,26.090000,6.67,6,4,0,0,0,20,10,0,6.66,0,10,0,0,0,0,0,0,0

7,01:30-01:45,0.000000,2.780000,101.260000,0.000000,2.410000,132.640000,2.310000,0.000000,0.000000,71.930000,0.000000,237.830000,74.130000,26.100000,26.090000,26.090000,6.67,6,4,0,0,0,20,10,0,6.66,0,10,0,0,0,0,0,0,0

8,01:45-02:00,0.000000,2.780000,101.260000,0.000000,2.410000,132.640000,2.310000,0.000000,0.000000,71.930000,0.000000,237.830000,74.130000,26.100000,26.090000,26.090000,6.67,6,4,0,0,0,20,10,0,6.66,0,10,0,0,0,0,0,0,0

9,02:00-02:15,0.000000,2.780000,101.260000,0.000000,2.410000,132.640000,2.230000,0.000000,0.000000,71.930000,0.000000,237.830000,74.130000,26.100000,26.090000,26.090000,6.67,6,4,0,0,0,20,10,0,6.66,0,10,0,0,0,0,0,0,0

10,02:15-02:30,0.000000,2.780000,101.260000,0.000000,2.410000,132.640000,2.230000,0.000000,0.000000,71.930000,0.000000,237.830000,74.130000,26.100000,26.090000,26.090000,6.67,6,4,0,0,0,20,10,0,6.66,0,10,0,0,0,0,0,0,0

11,02:30-02:45,0.000000,2.780000,101.260000,0.000000,2.410000,132.640000,2.230000,0.000000,0.000000,71.930000,0.000000,237.830000,59.120000,26.100000,26.090000,26.090000,6.67,6,4,0,0,0,20,10,0,6.66,0,10,0,0,0,0,0,0,0

12,02:45-03:00,0.000000,2.780000,101.260000,0.000000,2.410000,132.640000,2.230000,0.000000,0.000000,71.930000,0.000000,237.830000,59.120000,26.100000,26.090000,26.090000,6.67,6,4,0,0,0,20,10,0,6.66,0,10,0,0,0,0,0,0,0

13,03:00-03:15,0.000000,2.780000,101.260000,0.000000,2.330000,132.640000,2.230000,0.000000,0.000000,71.930000,0.000000,237.830000,59.120000,26.100000,26.090000,26.090000,6.67,6,4,0,0,0,20,10,0,6.66,0,10,0,0,0,0,0,0,0

14,03:15-03:30,0.000000,2.780000,101.260000,0.000000,2.330000,132.640000,2.230000,0.000000,0.000000,71.930000,0.000000,237.830000,59.120000,26.100000,26.090000,26.090000,6.67,6,4,0,0,0,20,10,0,6.66,0,10,0,0,0,0,0,0,0

15,03:30-03:45,0.000000,2.780000,101.260000,0.000000,2.330000,132.640000,2.230000,0.000000,0.000000,71.930000,0.000000,237.830000,59.120000,26.100000,26.090000,26.090000,6.67,6,4,0,0,0,20,10,0,6.66,0,10,0,0,0,0,0,0,0

