Block,Time,KKNPPU2,KOTESHWR,KUDGI,NJPC,PARBATI2,SEWA2,UNCHAHAR1,ANTA_GF,ANTA_LF,DADRI_CRF,DADRI_RF,CHAMERA1,CHAMERA2,JHAJJAR,KOLDAM,RAMPUR,SALAL,SASAN,TelanganaSTPP,ANTA_RF,AURY_LF,BRBCL,DHAULIGNGA,NAPP,NNTPP,RIHAND1,RIHAND3,TALST2,UNCHAHAR4,AURY_CRF,KGSU3AND4,RAPPB,SIMHST2,KKNP,NLCEXP,RAPPC,RSTPSU1TO6,SIMHST1,TALA,TEHRI,TEHRIPSP,URI,VALLURNTECL,AURY_GF,DADRT2,FSTPP I & II,KGSU1AND2,KHSTPP-II,KISHANGANGA,MAPS,NLCIIST1,NLCIIST2,NLCTS2EXP,RAPPD,RIHAND2,SINGRAULI,TANAKPUR,TANDA2,URI2,ANTA_CRF,DADRI_LF,CHAMERA3,DULHASTI,KHSTPP-I,SINGRAULI_HYDRO,UNCHAHAR2,DADRI_GF,BSIUL,NTPL,PARBATI3,RSTPSU7,UNCHAHAR3,AURY_RF
1,00:00-00:15,0,10.44,0,181.16,58.05,0,21.83,0,0,0,76.68,42.15,48.9,670.85,10.65,7.04,85.41,416.25,0,49.95,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,25.58,40.21,59.06,52.36,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,12.17,7.07,40.23,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

2,00:15-00:30,0,10.44,0,181.16,58.05,0,21.83,0,0,0,76.68,42.15,48.9,670.85,10.65,7.04,85.41,416.25,0,49.95,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,25.58,40.21,59.06,52.36,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,12.17,7.07,40.23,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

3,00:30-00:45,0,10.44,0,181.16,58.05,0,21.83,0,0,0,76.68,42.15,48.9,670.85,10.65,7.04,85.41,416.25,0,49.95,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,25.87,40.21,59.06,52.36,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,12.17,7.07,40.23,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

4,00:45-01:00,0,10.44,0,181.16,58.05,0,21.83,0,0,0,76.68,42.15,48.9,670.85,10.65,7.04,85.41,416.25,0,49.95,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,25.87,40.21,59.06,52.36,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,12.17,7.07,40.23,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

5,01:00-01:15,0,10.44,0,181.16,58.05,0,21.83,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,85.41,416.25,0,51.27,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,25.87,40.21,59.06,41.95,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,12.17,7.07,32.18,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

6,01:15-01:30,0,10.44,0,181.16,58.05,0,21.83,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,85.41,416.25,0,51.27,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,25.87,40.21,59.06,41.95,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,12.17,7.07,32.18,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

7,01:30-01:45,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,85.41,416.25,0,51.27,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,25.87,40.21,59.06,41.95,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,12.17,7.07,32.18,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

8,01:45-02:00,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,85.41,416.25,0,51.27,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,25.87,40.21,59.06,41.95,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,12.17,7.07,32.18,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

9,02:00-02:15,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,85.41,416.25,0,51.93,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,25.87,40.21,59.06,44.16,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,12.17,7.07,32.18,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

10,02:15-02:30,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,85.41,416.25,0,51.93,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,25.87,40.21,59.06,44.16,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,12.17,7.07,32.18,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

11,02:30-02:45,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,85.41,416.25,0,51.93,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,25.87,40.21,59.06,44.16,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,12.17,7.07,32.18,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

12,02:45-03:00,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,85.41,416.25,0,51.93,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,25.87,40.21,0,44.16,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,12.17,7.07,32.18,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

13,03:00-03:15,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,52.32,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,25.87,40.21,0,46.37,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,7.07,35.41,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

14,03:15-03:30,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,52.32,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,25.87,40.21,0,46.37,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,7.07,35.41,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

15,03:30-03:45,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,52.32,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,25.87,40.21,0,44.16,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,7.07,35.41,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

16,03:45-04:00,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,52.32,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,25.87,40.21,0,44.16,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,7.07,35.41,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

17,04:00-04:15,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,52.32,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,30.46,40.21,0,44.16,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,35.41,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

18,04:15-04:30,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,52.32,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,30.46,40.21,0,44.16,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,35.41,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

19,04:30-04:45,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,52.32,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,30.46,40.21,0,44.16,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,35.41,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

20,04:45-05:00,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,52.32,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,30.46,40.21,0,44.16,0,0,590.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,35.41,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

21,05:00-05:15,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,52.32,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,30.46,30.15,0,44.16,0,0,690.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,35.41,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

22,05:15-05:30,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,52.32,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,30.16,20.11,0,44.16,0,0,690.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,35.41,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

23,05:30-05:45,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,52.32,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,30.16,20.11,0,44.16,0,0,690.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,35.41,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

24,05:45-06:00,0,10.44,0,181.16,58.05,0,20.33,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,52.32,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,30.16,10.05,0,44.16,0,0,690.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,35.41,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

25,06:00-06:15,0,10.44,0,181.16,58.05,0,21.83,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,52.32,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,29.54,0,0,46.37,0,0,690.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,35.41,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

26,06:15-06:30,0,10.44,0,181.16,58.05,0,21.83,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,52.32,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,29.54,0,0,46.37,0,0,690.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,35.41,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

27,06:30-06:45,0,10.44,0,181.16,58.05,0,21.83,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,52.32,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,29.54,0,0,46.37,0,0,690.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,33.8,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

28,06:45-07:00,0,10.44,0,181.16,58.05,0,21.83,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,52.32,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,29.54,0,0,46.37,0,0,690.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,33.8,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

29,07:00-07:15,0,10.44,0,181.16,58.05,0,21.83,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,51.93,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,28.95,0,0,46.37,0,0,690.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,33.8,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

30,07:15-07:30,0,10.44,0,181.16,58.05,0,21.83,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,51.93,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,29.73,0,0,46.37,0,0,690.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,33.8,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

31,07:30-07:45,0,10.44,0,181.16,58.05,0,21.83,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,51.93,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,31.66,0,0,46.37,0,0,690.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,33.8,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

32,07:45-08:00,0,10.44,0,181.16,58.05,0,21.83,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,51.93,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,31.66,0,0,46.37,0,0,690.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,33.8,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

33,08:00-08:15,0,10.44,0,181.16,58.05,0,21.83,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,51.27,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,31.66,0,0,46.37,0,0,690.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,33.8,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

34,08:15-08:30,0,10.44,0,181.16,58.05,0,21.83,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,51.27,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,31.66,0,0,46.37,0,0,690.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,33.8,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

35,08:30-08:45,0,10.44,0,181.16,58.05,0,21.83,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,51.27,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,31.66,0,0,52.36,0,0,690.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,33.8,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

36,08:45-09:00,0,10.44,0,181.16,58.05,0,21.83,0,0,0,58.89,42.15,48.9,670.85,10.65,7.04,81.92,416.25,0,51.27,0,24.99,43.85,24.89,0,93.3,132.37,0,3.98,0,0,0,0,0,0,68.56,0,0,31.66,0,0,52.36,0,0,690.85,20.8,0,148.3,8.76,0,0,0,0,26.14,126.8,155.58,11.91,5.63,33.8,0,0,35.09,58.17,45.53,1.16,45.62,0,13.04,0,59.18,0,27.99,82.27

