Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,GNA/NR/2025/04/01/9334,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/1831,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/7459,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,GNA/NR/2025/04/01/4565,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/5285,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/6216,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/01/7960,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/04/01/4420,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/8456
1,00:00-00:15,0,10.83,2.89,271.98,1.92,52.5,7.68,9.62,2.89,9.62,0,0,0,26.67,0,7.34,0,0,0,0,0,10.83,26.67,3,0,32.51,0,0,48.1,260.29,0,2.89,0,9.62,0,115.01,2.17,30.5,86.76,2.45,0,0,100.21,6.63,0,30.28,2.05,26.48,7.7

2,00:15-00:30,0,10.67,2.89,271.98,1.92,52.5,7.68,9.62,2.89,9.62,0,0,0,26.67,0,7.34,0,0,0,0,0,10.67,26.67,3,0,31.99,0,0,48.1,260.29,0,2.89,0,9.62,0,115.01,2.17,30.5,86.76,2.45,0,0,100.21,6.63,0,30.28,2.05,26.48,7.7

3,00:30-00:45,0,10.5,2.89,271.98,1.92,52.5,7.68,9.62,2.89,9.62,0,0,0,26.67,0,7,0,0,0,0,0,10.5,26.67,3,0,31.5,0,0,48.1,260.29,0,2.89,0,9.62,0,115.01,2.17,30.5,86.76,2.45,0,0,100.21,6.63,0,30.28,2.05,26.48,7.7

4,00:45-01:00,0,8.83,2.89,271.98,1.92,52.5,7.68,9.62,2.89,9.62,0,0,0,26.33,0,6.66,0,0,0,0,0,8.83,26.33,3,0,26.51,0,0,48.1,260.29,0,2.89,0,9.62,0,115.01,2.17,30.5,86.76,2.45,0,0,100.21,6.63,0,30.78,2.05,26.48,7.7

5,01:00-01:15,0,8,2.89,271.98,1.92,52.5,7.68,9.62,2.89,9.62,0,0,0,26.33,0,6.66,0,0,0,0,0,8,26.33,3,0,24,0,0,48.1,260.29,0,2.89,0,9.62,0,115.01,2.17,30.5,86.76,2.3,0,0,100.21,6.63,0,31.29,2.05,26.48,7.7

6,01:15-01:30,0,7.17,2.89,271.98,1.92,52.5,7.68,9.62,2.89,9.62,0,0,0,26,0,6.66,0,0,0,0,0,7.17,26,3,0,21.49,0,0,48.1,260.29,0,2.89,0,9.62,0,66,2.17,30.5,86.76,2.3,0,0,100.21,6.63,0,31.29,2.05,26.48,7.7

7,01:30-01:45,0,7.17,2.89,271.98,1.92,52.5,7.68,9.62,2.89,9.62,0,0,0,25.67,0,6.34,0,0,0,0,0,7.17,25.67,3,0,21.49,0,0,48.1,260.29,0,2.89,0,9.62,0,66,2.17,26.96,86.76,2.3,0,0,100.21,6.63,0,30.78,2.05,26.48,7.7

8,01:45-02:00,0,7.17,2.89,271.98,1.92,52.5,7.68,9.62,2.89,9.62,0,0,0,25.33,0,6.34,0,0,0,0,0,7.17,25.33,3,0,21.49,0,0,48.1,260.29,0,2.89,0,9.62,0,66,2.17,26.96,86.76,2.3,0,0,100.21,6.63,0,30.78,2.05,26.48,7.7

9,02:00-02:15,0,7.17,2.89,250.09,1.92,0,7.68,9.62,2.89,9.62,0,0,0,25,0,6.34,0,0,0,0,0,7.17,25,3,0,21.49,0,0,48.1,228.85,0,2.89,0,9.62,0,66,2.1,26.96,74.58,2.3,0,0,100.21,6.63,0,30.78,2.05,26.96,7.7

10,02:15-02:30,0,7.17,2.89,271.98,1.92,0,7.68,9.62,2.89,9.62,0,0,0,24.33,0,6.34,0,0,0,0,0,7.17,24.33,3,0,21.49,0,0,48.1,228.85,0,2.89,0,9.62,0,66,2.1,26.96,74.58,2.3,0,0,100.21,6.63,0,30.78,2.05,26.96,7.7

11,02:30-02:45,0,7.17,2.89,271.98,1.92,0,7.68,9.62,2.89,9.62,0,0,0,24,0,6.34,0,0,0,0,0,7.17,24,3,0,21.49,0,0,48.1,228.85,0,2.89,0,9.62,0,66,2.1,26.96,74.58,2.3,0,0,100.21,6.63,0,30.78,2.05,26.96,7.7

