Column1,Block,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/2024/24065/C,NR/2024/23918/A/43949,NR/2024/24075/C,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/9042,WR/2024/24788/A/44088,GNA/NR/2024/11/01/5428,NR/2024/23420/A/43955,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/1868,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5444,NR/2024/23809/A/43950,NR/2024/23769/A/43951,GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/4503,NR/30092023/26122029/SH-06,Total
,,MANIKARAN,APPCPL,SJVNL,IEXL,SJVNL,PTC,NDMC,APPCPL,NDMC,ITCLH,DELHI,NDMC,BAWANA_GAS,NDMC,IEXL,IEXL,NDMC,PTC,NDMC,PUNJAB,
,,DELHI_UT,DELHI_UT,NA,NA,NA,DELHI_UT,NA,DELHI_UT,NA,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,NA,DELHI_UT,NA,KARNATAKA_STATE,KARNATAKA_STATE,NA,DELHI_UT,NA,DELHI_UT,
,,BRPL,BYPL,TPSL_BKN2,TESPL_BKN2,RSRPL_BKN,BRPL,JITPL,BRPL,RKM_POWER,ITCWIND,CHANJUII,SKS_Raigarh,BAWANA_GAS,RKM_POWER,NSLSTUNGBHDRA,NSLSUGAR,JPL2,BYPL,TRN_ENERGY,BAWANA_GAS,
,,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,PUNJAB_STATE,
,,AEML,AEML,NDMC,MES_Delhi,NDMC,HP,NDMC,GOA_Beneficiary,NDMC,ITCLH,TPDDL,NDMC,HARYANA,NDMC,MES_Delhi,MES_Delhi,NDMC,HP,NDMC,PUNJAB,
,,North-West,North-West,North-North,North-North,North-North,North-North,East-North,North-West,West-North,South-West-North,North-North,West-North,North-North,West-North,South-West-North,South-West-North,West-North,North-North,West-North,North-North,
1,00:00-00:15,0,0,0,0,0,142.69,17.29,0,25.93,0.48,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.95

2,00:15-00:30,0,0,0,0,0,142.69,17.29,0,25.93,0.48,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.95

3,00:30-00:45,0,0,0,0,0,142.69,17.29,0,25.93,0.48,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.95

4,00:45-01:00,0,0,0,0,0,142.69,17.29,0,25.93,0.48,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.95

5,01:00-01:15,0,0,0,0,0,142.69,17.29,0,25.93,0.48,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.95

6,01:15-01:30,0,0,0,0,0,142.69,17.29,0,25.93,0.48,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.95

7,01:30-01:45,0,0,0,0,0,142.69,17.29,0,25.93,0.48,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.95

8,01:45-02:00,0,0,0,0,0,142.69,17.29,0,25.93,0.48,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.95

9,02:00-02:15,0,0,0,0,0,142.69,17.29,0,25.93,0.48,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.95

10,02:15-02:30,0,0,0,0,0,142.69,17.29,0,25.93,0.48,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.95

11,02:30-02:45,0,0,0,0,0,142.69,17.29,0,25.93,0.48,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.95

12,02:45-03:00,0,0,0,0,0,142.69,17.29,0,25.93,0.48,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.95

13,03:00-03:15,0,0,0,0,0,142.69,17.29,0,25.93,0.43,2.3,8.64,0,25.93,4.8,5.76,25.93,47.56,8.64,0,315.90000000000003

