Column1,Block,NR/2024/23809/A/43365,NR/30092023/26122029/SH-06,WR/2024/24788/A/43508,NR/2024/23963/A/43483,NR/2024/23420/A/43369,NR/2024/23993/C,NR/2024/23994/C,GNA/NR/2024/11/01/9061,NR/2024/23769/A/43366,NR/2024/23918/A/43363,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/3646,GNA/WR/2024/11/01/4200,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5474,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/1868,Total
,,IEXL,PUNJAB,APPCPL,DIAPL,ITCLH,SJVNL,SJVNL,NDMC,IEXL,IEXL,NDMC,NDMC,PTC,MANIKARAN,DELHI,BAWANA_GAS,PTC,APPCPL,NDMC,NDMC,NDMC,
,,KARNATAKA_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,KARNATAKA_STATE,NA,NA,NA,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,
,,NSLSTUNGBHDRA,BAWANA_GAS,BRPL,GBHHPL,ITCWIND,RSRPL_BKN,TPSL_BKN2,JPL2,NSLSUGAR,TESPL_BKN2,JITPL,RKM_POWER,BYPL,BRPL,CHANJUII,BAWANA_GAS,BRPL,BYPL,TRN_ENERGY,RKM_POWER,SKS_Raigarh,
,,DELHI_UT,PUNJAB_STATE,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,MSEB_State,DELHI_UT,HARYANA_STATE,HIMACHAL_STATE,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,PUNJAB,GOA_Beneficiary,DIAPL,ITCLH,NDMC,NDMC,NDMC,MES_Delhi,MES_Delhi,NDMC,NDMC,HP,AEML,TPDDL,HARYANA,HP,AEML,NDMC,NDMC,NDMC,
,,South-West-North,North-North,North-West,North-North,South-West-North,North-North,North-North,West-North,South-West-North,North-North,East-North,West-North,North-North,North-West,North-North,North-North,North-North,North-West,West-North,West-North,West-North,
1,00:00-00:15,4.8,32,0,0,0.48,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,411.69999999999993

2,00:15-00:30,4.8,32,0,0,0.48,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,411.69999999999993

3,00:30-00:45,4.8,32,0,0,0.48,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,411.69999999999993

4,00:45-01:00,4.8,32,0,0,0.48,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,411.69999999999993

5,01:00-01:15,4.8,32,0,0,0.48,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,411.69999999999993

6,01:15-01:30,4.8,32,0,0,0.48,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,411.69999999999993

7,01:30-01:45,4.8,32,0,0,0.48,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,411.69999999999993

8,01:45-02:00,4.8,32,0,0,0.48,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,411.69999999999993

9,02:00-02:15,4.8,32,0,0,0.48,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,411.69999999999993

10,02:15-02:30,4.8,32,0,0,0.48,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,411.69999999999993

11,02:30-02:45,4.8,32,0,0,0.48,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,411.69999999999993

12,02:45-03:00,4.8,32,0,0,0.48,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,411.69999999999993

13,03:00-03:15,4.8,32,0,0,0.43,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,411.6499999999999

14,03:15-03:30,4.8,32,0,0,0.43,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,411.6499999999999

15,03:30-03:45,4.8,32,0,0,0.43,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,411.6499999999999

16,03:45-04:00,4.8,32,0,0,0.43,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.57,0,190.26,0,8.65,25.94,8.65,411.6499999999999

17,04:00-04:15,4.8,32,0,0,0.43,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.48,0,190.26,0,8.65,25.94,8.65,411.5599999999999

18,04:15-04:30,4.8,32,0,0,0.43,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.48,0,190.26,0,8.65,25.94,8.65,411.5599999999999

19,04:30-04:45,4.8,32,0,0,0.43,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.48,0,190.26,0,8.65,25.94,8.65,411.5599999999999

20,04:45-05:00,4.8,32,0,0,0.43,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.48,0,190.26,0,8.65,25.94,8.65,411.5599999999999

21,05:00-05:15,4.8,32,0,0,0.43,0,0,25.94,5.76,0,17.29,25.94,63.42,0,2.48,0,190.26,0,8.65,25.94,8.65,411.5599999999999

