Column1,Block,NR/2025/25475/C,NR/2025/25476/C,NR/30092023/31122025/SH-07,WR/2025/26427/A/56012,WR/2025/26582/A/56233,NR/2025/25159/A/56007,WR/2025/26499/A/56235,WR/2025/26426/A/56009,GNA/WR/2025/01/01/9606,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/9482,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/8625,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/5143,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/6891,GNARE/NR/2024/12/20/3668,Total
,,SJVNL,SJVNL,BAWANA_GAS,KEIPL,APPCPL,ITCLH,APPCPL,KEIPL,APPCPL,DELHI,NDMC,NDMC,NDMC,NDMC,NDMC,NDMC,APPCPL,TPTCL,APPCPL,PTC,PUNJAB,PTC,SECI_Trader,
,,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,
,,TPSL_BKN2,RSRPL_BKN,BAWANA_GAS,BRPL,BRPL,ITCWIND,BRPL,BYPL,BYPL,CHANJUII,SKS_Raigarh,TRN_ENERGY,RKM_POWER,JPL2,RKM_POWER,JIPL,BRPL,BYPL,BYPL,BRPL,BAWANA_GAS,BYPL,APSEPL_FTG,
,,DELHI_UT,DELHI_UT,HARYANA_STATE,CSEB_State,CSEB_State,DELHI_UT,MSEB_State,CSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,KERALA_State,HIMACHAL_STATE,PUNJAB_STATE,HIMACHAL_STATE,DELHI_UT,
,,NDMC,NDMC,HARYANA,CSEB_Beneficiary,CSEB_Beneficiary,ITCLH,AEML,CSEB_Beneficiary,AEML,TPDDL,NDMC,NDMC,NDMC,NDMC,NDMC,NDMC,AEML,TPC_MSEB,KSEB,HP,PUNJAB,HP,TPDDL,
,,North-North,North-North,North-North,North-West,North-West,South-West-North,North-West,North-West,North-West,North-North,West-North,West-North,West-North,West-North,West-North,East-North,North-West,North-West,North-West-South,North-North,North-North,North-North,North-North,
1,00:00-00:15,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.95,5.76,8.63,23.02,22.06,23.02,17.27,42,0,200,190.26,26.87,63.42,0,916.9099999999999

2,00:15-00:30,0,0,26.87,47.96,47.96,0.43,0,167.43,0,3.95,5.76,8.63,23.02,22.06,23.02,17.27,42,0,200,190.26,26.87,63.42,0,916.9099999999999

