Block,Time,CHAMERA2,KHSTPP-I,KKNPPU2,KUDGI,NLCIIST1,SIMHST1,SINGRAULI,TANDA2,UNCHAHAR2,UNCHAHAR3,ANTA_LF,AURY_RF,BRBCL,NJPC,NLCIIST2,NTPL,RAPPB,SASAN,TALST2,URI,DADRI_CRF,BSIUL,RSTPSU7,SINGRAULI_HYDRO,TANAKPUR,TEHRI,TelanganaSTPP,ANTA_CRF,DULHASTI,KOLDAM,MAPS,NLCTS2EXP,RAMPUR,RIHAND2,SEWA2,FSTPP I & II,NLCEXP,SIMHST2,TALA,ANTA_GF,ANTA_RF,CHAMERA1,DADRT2,DHAULIGNGA,RAPPC,RIHAND1,UNCHAHAR4,AURY_GF,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNP,KOTESHWR,NNTPP,RIHAND3,RSTPSU1TO6,SALAL,UNCHAHAR1,URI2,VALLURNTECL,AURY_CRF,DADRI_GF,DADRI_LF,DADRI_RF,CHAMERA3,KISHANGANGA,NAPP,PARBATI3,AURY_LF
1,00:00-00:15,0,45.83,0,0,0,0,104.15,0,42.39,26.4,0,68.96,20,0,0,0,0,418.77,0,35.33,0,13.04,0,0.71,0,0,0,0,16.48,0,0,0,0,118.76,0,15.99,0,0,0,0,42.84,0,683.14,0,51.4,92,0,0,559.57,0,0,148.3,0,6.41,0,124.33,0,26.73,20.85,33.23,0,0,0,0,59.73,0,0,42.61,0,0

2,00:15-00:30,0,45.83,0,0,0,0,104.15,0,42.39,26.4,0,68.96,20,0,0,0,0,418.77,0,35.33,0,13.04,0,0.71,0,0,0,0,16.48,0,0,0,0,118.76,0,15.99,0,0,0,0,42.84,0,683.14,0,51.4,92,0,0,559.57,0,0,148.3,0,6.41,0,124.33,0,70.88,20.85,33.23,0,0,0,0,59.73,0,0,42.61,0,0

3,00:30-00:45,0,45.83,0,0,0,0,104.15,0,42.39,26.4,0,68.96,20,0,0,0,0,418.77,0,35.33,0,13.04,0,0.71,0,0,0,0,16.48,0,0,0,0,118.76,0,15.99,0,0,0,0,42.84,0,683.14,0,51.4,92,0,0,559.57,0,0,148.3,0,6.41,0,124.33,0,70.88,20.85,33.23,0,0,0,0,59.73,0,0,42.61,0,0

4,00:45-01:00,0,45.83,0,0,0,0,104.15,0,42.39,26.4,0,68.96,20,0,0,0,0,418.77,0,35.33,0,13.04,0,0.71,0,0,0,0,16.48,0,0,0,0,118.76,0,15.99,0,0,0,0,42.84,0,683.14,0,51.4,92,0,0,559.57,0,0,148.3,0,6.41,0,124.33,0,70.88,20.85,33.23,0,0,0,0,59.73,0,0,42.61,0,0

5,01:00-01:15,0,45.83,0,0,0,0,104.15,0,42.39,26.4,0,68.96,20,0,0,0,0,418.77,0,34.78,0,13.04,0,0.71,0,0,0,0,16.48,0,0,0,0,118.76,0,15.99,0,0,0,0,42.84,0,683.14,0,51.4,92,0,0,559.57,0,0,148.3,0,6.41,0,124.33,0,70.88,20.85,33.23,0,0,0,0,59.73,0,0,42.61,0,0

