Block,Time,BSIUL,CHAMERA2,DULHASTI,NTPL,TANAKPUR,UNCHAHAR1,KGSU1AND2,KGSU3AND4,UNCHAHAR3,CHAMERA1,DADRT2,KHSTPP-I,KKNP,NLCEXP,RAMPUR,SINGRAULI_HYDRO,TALA,UNCHAHAR2,AURY_CRF,DADRI_GF,DADRI_RF,KISHANGANGA,KKNPPU2,MAPS,NLCIIST1,NLCIIST2,TALST2,TelanganaSTPP,URI,ANTA_GF,BRBCL,NJPC,NNTPP,SEWA2,SIMHST1,SINGRAULI,TEHRI,ANTA_RF,AURY_LF,DADRI_LF,FSTPP I & II,KOLDAM,NAPP,RAPPB,TANDA2,URI2,ANTA_CRF,ANTA_LF,AURY_GF,DHAULIGNGA,KHSTPP-II,RIHAND1,RIHAND2,RIHAND3,RSTPSU1TO6,RSTPSU7,SALAL,SASAN,SIMHST2,CHAMERA3,JHAJJAR,KOTESHWR,KUDGI,NLCTS2EXP,PARBATI3,RAPPC,UNCHAHAR4,VALLURNTECL,AURY_RF,DADRI_CRF
1,00:00-00:15,6.52,44.22,53.79,0,13,20.96,0,0,0,28.1,686.07,44.92,0,0,2.74,0,1.18,43.05,0,0,101.73,0,0,0,0,0,0,0,27.6,0,15,127.78,0,0,0,116.85,70.87,48.26,0,0,20.8,4.01,46.18,0,2.89,36.35,0,0,0,30.23,98.87,47.33,121.71,127.6,0,0,63.92,154.12,0,21.37,469.31,38.64,0,0,3.51,60.53,1.62,0,78.06,0

2,00:15-00:30,6.52,28.34,53.79,0,13,20.96,0,0,0,28.1,686.07,44.92,0,0,2.74,0,1.18,43.05,0,0,101.73,0,0,0,0,0,0,0,27.6,0,15,127.78,0,0,0,116.85,70.87,48.26,0,0,20.8,4.01,46.18,0,2.89,36.35,0,0,0,30.23,98.87,47.33,121.71,127.6,0,0,63.92,154.12,0,21.37,469.31,38.64,0,0,3.51,60.53,1.62,0,78.06,0

3,00:30-00:45,6.52,28.34,53.79,0,13,20.96,0,0,0,28.1,686.07,44.92,0,0,2.74,0,1.47,43.05,0,0,101.73,0,0,0,0,0,0,0,27.6,0,15,127.78,0,0,0,116.85,70.87,48.26,0,0,20.8,4.01,46.18,0,2.89,36.35,0,0,0,30.23,98.87,47.33,121.71,127.6,0,0,79.38,154.12,0,21.37,469.31,38.64,0,0,3.51,60.53,1.62,0,78.06,0

4,00:45-01:00,6.52,28.34,53.79,0,13,20.96,0,0,0,28.1,686.07,44.92,0,0,2.74,0,1.47,43.05,0,0,101.73,0,0,0,0,0,0,0,27.6,0,15,127.78,0,0,0,116.85,70.87,48.26,0,0,20.8,4.01,46.18,0,2.89,36.35,0,0,0,30.23,98.87,47.33,121.71,127.6,0,0,79.38,154.12,0,21.37,469.31,38.64,0,0,3.51,60.53,1.62,0,78.06,0

5,01:00-01:15,6.52,28.34,53.79,0,13,20.96,0,0,0,28.1,343.03,44.92,0,0,2.74,0,1.47,43.05,0,0,101.73,0,0,0,0,0,0,0,27.6,0,15,127.78,0,0,0,109.06,70.87,48.26,0,0,20.8,4.01,46.18,0,2.89,20.68,0,0,0,30.23,98.87,47.33,121.71,127.6,0,0,79.38,154.12,0,21.37,469.31,28.98,0,0,3.51,60.53,1.62,0,78.06,0

6,01:15-01:30,6.52,28.34,53.79,0,13,20.96,0,0,0,28.1,343.03,44.92,0,0,2.74,0,1.47,43.05,0,0,101.73,0,0,0,0,0,0,0,27.6,0,15,127.78,0,0,0,101.27,70.87,48.26,0,0,20.8,4.01,46.18,0,2.89,20.68,0,0,0,30.23,98.87,47.33,121.71,127.6,0,0,79.38,154.12,0,21.37,469.31,28.98,0,0,3.51,60.53,1.62,0,78.06,0

7,01:30-01:45,6.52,28.34,53.79,0,13,20.96,0,0,0,28.1,343.03,44.92,0,0,2.74,0,1.47,43.05,0,0,101.73,0,0,0,0,0,0,0,50.23,0,15,127.78,0,0,0,93.48,70.87,48.26,0,0,20.8,4.01,46.18,0,2.89,20.68,0,0,0,30.23,98.87,47.33,121.71,127.6,0,0,79.38,154.12,0,21.37,469.31,28.98,0,0,3.51,60.53,1.62,0,78.06,0

8,01:45-02:00,6.52,28.34,53.79,0,13,20.96,0,0,0,28.1,343.03,44.92,0,0,2.74,0,1.47,43.05,0,0,101.73,0,0,0,0,0,0,0,50.23,0,15,127.78,0,0,0,93.48,70.87,48.26,0,0,20.8,4.01,46.18,0,2.89,20.68,0,0,0,30.23,98.87,47.33,121.71,127.6,0,0,79.38,154.12,0,21.37,469.31,28.98,0,0,3.51,60.53,1.62,0,78.06,0

9,02:00-02:15,6.52,28.34,53.79,0,13,20.96,0,0,0,28.1,343.03,44.92,0,0,2.74,0,1.47,43.05,0,0,101.73,0,0,0,0,0,0,0,22.08,0,15,127.78,0,0,0,93.48,70.87,48.26,0,0,20.8,4.01,46.18,0,2.89,20.68,0,0,0,30.23,98.87,47.33,121.71,127.6,0,0,51.13,154.12,0,21.37,469.31,28.98,0,0,2.81,60.53,1.62,0,78.06,0

10,02:15-02:30,6.52,28.34,53.79,0,13,20.96,0,0,0,28.1,343.03,44.92,0,0,2.74,0,1.47,43.05,0,0,101.73,0,0,0,0,0,0,0,22.08,0,15,127.78,0,0,0,93.48,70.87,48.26,0,0,20.8,4.01,46.18,0,2.89,20.68,0,0,0,30.23,98.87,47.33,121.71,127.6,0,0,38.35,154.12,0,21.37,469.31,28.98,0,0,2.81,60.53,1.62,0,78.06,0

