Time,Block,NR/2023/17496/F,NR/2023/17344/F,NR/2023/17165/A,WR/2023/19090/A,NR/2023/17263/F,NR/2023/17402/F,NR/2023/14875/A,NR/2023/17772/C,NR/2023/17771/C,Total
,,IEXL,ITCLH,NVVNL,TPTCL,APPCPL,MANIKARAN,APPCPL,NVVNL,TPDDL,Total

,,KARNATAKA,ANDHRA PRADESH,NA,DELHI,DELHI,DELHI,DELHI,NA,HIMACHAL PRADESH,
,,NSLSUGAR,ITCWIND,SKS Raigarh,BYPL,BRPL,BRPL,BYPL,SOLAPUR_SOLAR,CHANJUII,
,,DELHI,DELHI,DELHI,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,
,,MES (Delhi),ITCLH,NDMC,TPC MSEB,HP,HP,HP,MES (Delhi),TPDDL,
,,South-East-North,South-West-North,West-North,North-West,North-North,North-North,North-North,West-North,North-North,
1,00:00-00:15,6.780000,0.580000,43.560000,0.000000,159.210000,0.000000,68.340000,0,5.630000,284.1

2,00:15-00:30,6.780000,0.580000,43.560000,0.000000,159.210000,0.000000,68.340000,0,5.630000,284.1

3,00:30-00:45,6.780000,0.580000,43.560000,0.000000,159.210000,0.000000,68.340000,0,5.630000,284.1

4,00:45-01:00,6.780000,0.580000,43.560000,0.000000,159.210000,0.000000,68.340000,0,5.630000,284.1

5,01:00-01:15,6.780000,0.530000,43.560000,0.000000,159.210000,0.000000,68.340000,0,5.630000,284.05

6,01:15-01:30,6.780000,0.530000,43.560000,0.000000,159.210000,0.000000,68.340000,0,5.630000,284.05

7,01:30-01:45,6.780000,0.530000,43.560000,0.000000,159.210000,0.000000,68.340000,0,5.630000,284.05

8,01:45-02:00,6.780000,0.530000,43.560000,0.000000,159.210000,0.000000,68.340000,0,5.630000,284.05

9,02:00-02:15,6.780000,0.530000,43.560000,0.000000,159.210000,0.000000,68.340000,0,5.550000,283.97

10,02:15-02:30,6.780000,0.530000,43.560000,0.000000,159.210000,0.000000,68.340000,0,5.550000,283.97

11,02:30-02:45,6.780000,0.530000,43.560000,0.000000,159.210000,0.000000,68.340000,0,5.550000,283.97

12,02:45-03:00,6.780000,0.530000,43.560000,0.000000,159.210000,0.000000,68.340000,0,5.550000,283.97

13,03:00-03:15,6.780000,0.530000,43.560000,0.000000,159.210000,0.000000,68.340000,0,5.550000,283.97

14,03:15-03:30,6.780000,0.530000,43.560000,0.000000,159.210000,0.000000,68.340000,0,5.550000,283.97

15,03:30-03:45,6.780000,0.530000,43.560000,0.000000,159.210000,0.000000,68.340000,0,5.550000,283.97

16,03:45-04:00,6.780000,0.530000,43.560000,0.000000,159.210000,0.000000,68.340000,0,5.550000,283.97

