Block,Time,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,NR/01062024/15062024/1000011005-GOHP-BRPL,NR/01062024/15062024/1000011003-KWHPS-BRPL(DISCOM),NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01042024/31072024/LT_MEJA_DELHI,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/30092023/31122025/SH-07,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01062024/30062024/IEPL01,NR/01102023/30042040/GNA_LT_36,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01062024/30062024/R2,NR/01102023/22052037/LT-59,SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/14082046/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16
1,00:00-00:15,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,30.880000,29.010000,24.120000,16.080000,48.240000,0.000000,24.120000,24.120000,30.880000,24.120000,272.830000,261.970000,6.490000,6.290000,100.520000,115.360000,28.260000,38.600000,0.000000,38.600000,12.710000,24.120000,5.630000,40.01,0,0,0,18.66,56.67,0,25,56.67,0,0,0,0,25,0,0,0,75,0,0,0

2,00:15-00:30,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,30.880000,29.010000,24.120000,16.080000,48.240000,0.000000,24.120000,24.120000,30.880000,24.120000,272.830000,261.970000,6.490000,6.290000,100.520000,115.360000,28.260000,38.600000,0.000000,38.600000,12.710000,24.120000,5.630000,39.61,0,0,0,18.66,57.33,0,24.67,57.33,0,0,0,0,24.66,0,0,0,74,0,0,0

3,00:30-00:45,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,30.880000,29.010000,24.120000,15.800000,48.240000,0.000000,24.120000,24.120000,30.880000,24.120000,272.830000,261.970000,5.570000,6.290000,100.520000,115.360000,29.280000,38.600000,0.000000,38.600000,12.710000,24.120000,5.630000,39.21,0,0,0,18.66,57.67,0,24.17,57.67,0,0,0,0,24.16,0,0,0,72.5,0,0,0

4,00:45-01:00,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,30.880000,29.010000,24.120000,15.800000,48.240000,0.000000,24.120000,24.120000,30.880000,24.120000,272.830000,261.970000,5.570000,6.290000,100.520000,115.360000,29.280000,38.600000,0.000000,38.600000,12.710000,24.120000,5.630000,39.01,0,0,0,21.66,58,0,23.67,58,0,0,0,0,23.66,0,0,0,71,0,0,0

5,01:00-01:15,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,30.880000,29.010000,24.120000,15.800000,48.240000,0.000000,24.120000,24.120000,30.880000,24.120000,272.830000,261.970000,5.570000,6.140000,100.520000,115.360000,29.280000,38.600000,0.000000,38.600000,12.620000,24.120000,5.630000,39.01,0,0,0,21.34,58,0,26.33,58,0,0,0,0,26.34,0,0,0,79,0,0,0

6,01:15-01:30,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,30.880000,29.010000,24.120000,15.800000,48.240000,0.000000,24.120000,24.120000,30.880000,24.120000,272.830000,261.970000,5.570000,6.140000,100.520000,115.360000,29.280000,38.600000,0.000000,38.600000,12.620000,24.120000,5.630000,39.01,0,0,0,20.66,58,0,26.33,58,0,0,0,0,26.34,0,0,0,79,0,0,0

7,01:30-01:45,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,30.880000,29.010000,24.120000,15.800000,48.240000,0.000000,24.120000,24.120000,30.880000,24.120000,272.830000,261.970000,5.570000,6.140000,100.520000,115.360000,29.280000,38.600000,0.000000,38.600000,12.620000,24.120000,5.630000,38.21,0,0,0,17.66,57.33,0,23,57.33,0,0,0,0,23,0,0,0,69,0,0,0

8,01:45-02:00,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,30.880000,29.010000,24.120000,15.800000,48.240000,0.000000,24.120000,24.120000,30.880000,24.120000,272.830000,261.970000,5.570000,6.140000,100.520000,115.360000,29.280000,38.600000,0.000000,38.600000,12.620000,24.120000,5.630000,37.02,0,0,0,17.66,56.67,0,23,56.67,0,0,0,0,23,0,0,0,69,0,0,0

9,02:00-02:15,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,9.990000,24.660000,24.120000,11.780000,48.240000,0.000000,24.120000,24.120000,30.880000,24.120000,272.830000,261.970000,5.380000,6.140000,100.520000,109.120000,29.280000,38.600000,0.000000,38.600000,12.520000,24.120000,5.630000,37.02,0,0,0,17.66,55,0,22.67,55,0,0,0,0,22.66,0,0,0,68,0,0,0

10,02:15-02:30,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,9.990000,24.660000,24.120000,11.780000,48.240000,0.000000,24.120000,24.120000,30.880000,24.120000,272.830000,261.970000,5.380000,6.140000,100.520000,109.120000,29.280000,38.600000,0.000000,38.600000,12.520000,24.120000,5.630000,37.02,0,0,0,17.66,54.33,0,22.33,54.33,0,0,0,0,22.34,0,0,0,67,0,0,0

11,02:30-02:45,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,9.990000,24.660000,24.120000,11.780000,48.240000,0.000000,24.120000,24.120000,30.880000,24.120000,272.830000,261.970000,5.380000,6.140000,100.520000,109.120000,29.280000,38.600000,0.000000,38.600000,12.520000,24.120000,5.630000,37.02,0,0,0,17.34,54.33,0,22,54.33,0,0,0,0,22,0,0,0,66,0,0,0

12,02:45-03:00,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,9.990000,24.660000,24.120000,11.780000,48.240000,0.000000,24.120000,24.120000,30.880000,24.120000,272.830000,261.970000,5.380000,6.140000,100.520000,109.120000,28.260000,38.600000,0.000000,38.600000,12.520000,24.120000,5.630000,36.02,0,0,0,17,54,0,21.67,54,0,0,0,0,21.66,0,0,0,65,0,0,0

13,03:00-03:15,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,9.990000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,30.880000,24.120000,272.830000,261.970000,5.290000,5.910000,100.520000,109.120000,28.260000,38.600000,0.000000,0.000000,12.440000,24.120000,5.630000,35.02,0,0,0,16.66,54,0,21.33,54,0,0,0,0,21.34,0,0,0,64,0,0,0

14,03:15-03:30,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,18.380000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,30.880000,24.120000,272.830000,261.970000,5.290000,5.910000,100.520000,109.120000,27.260000,38.600000,0.000000,0.000000,12.440000,24.120000,5.630000,34.02,0,0,0,15,53,0,21.33,53,0,0,0,0,21.34,0,0,0,64,0,0,0

15,03:30-03:45,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,18.380000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,30.880000,24.120000,272.830000,261.970000,5.290000,5.910000,100.520000,109.120000,27.260000,38.600000,0.000000,0.000000,12.440000,24.120000,5.630000,36.02,0,0,0,14.66,52.67,0,21.33,52.67,0,0,0,0,21.34,0,0,0,64,0,0,0

16,03:45-04:00,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,18.380000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,30.880000,24.120000,272.830000,261.970000,5.290000,5.910000,100.520000,109.120000,27.260000,38.600000,0.000000,0.000000,12.440000,24.120000,5.630000,35.02,0,0,0,14.34,52.67,0,21.33,52.67,0,0,0,0,21.34,0,0,0,64,0,0,0

17,04:00-04:15,0.000000,0.000000,87.030000,48.240000,24.120000,48.240000,0.000000,22.950000,24.660000,24.120000,7.660000,48.240000,0.000000,24.120000,24.120000,22.950000,24.120000,272.830000,261.970000,5.200000,5.610000,100.520000,112.530000,27.260000,38.600000,0.000000,0.000000,12.340000,24.120000,5.630000,34.02,0,0,0,17.66,56.33,0,23.83,56.33,0,0,0,0,23.84,0,0,0,71.5,0,0,0

