Block,Time,UNCHAHAR1,RIHAND1,DADRT2,TANAKPUR,URI2,JHAJJAR,ANTA_RF,CHAMERA1,PARBATI3,SEWA2,NJPC,TANDA2,AURY_LF,DADRI_LF,DHAULIGNGA,RIHAND2,URI,RIHAND3,ANTA_LF,ANTA_GF,DULHASTI,KOLDAM,RAPPC,DADRI_GF,UNCHAHAR2,KOTESHWR,DADRI_CRF,SINGRAULI,AURY_CRF,RAPPB,KISHANGANGA,CHAMERA2,DADRI_RF,SINGRAULI_HYDRO,CHAMERA3,BSIUL,UNCHAHAR4,NAPP,TEHRI,AURY_RF,SALAL,AURY_GF,UNCHAHAR3,KHSTPP-II,ANTA_CRF,RAMPUR,FSTPP I & II,KHSTPP-I,TALA,BRBCL,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,19.370762,93.591046,588.379699,0.000000,36.537827,339.113163,0.000000,0.000000,0.000000,18.166133,0.000000,5.166805,0.000000,0.000000,0.000000,119.939634,31.937616,125.918390,0.000000,0.000000,19.020948,0.000000,33.186518,0.000000,38.707581,10.004919,0.000000,144.634344,0.000000,0.000000,5.297584,31.178923,0.000000,0.751835,11.184643,12.576015,2.979687,49.511732,23.512026,0.000000,12.885941,0.000000,24.044435,143.005690,0.000000,0.000000,17.855750,33.557640,0.000000,19.286000,403.503572,0,0,0,0,0

2,00:15-00:30,19.370762,93.591046,588.379699,0.000000,36.537827,358.399163,0.000000,0.000000,0.000000,18.166133,0.000000,5.166805,0.000000,0.000000,0.000000,119.939634,31.937616,125.918390,0.000000,0.000000,19.020948,0.000000,33.186518,0.000000,38.707581,10.004919,0.000000,144.634344,0.000000,0.000000,5.297584,31.178923,0.000000,0.751835,11.184643,12.576015,2.979687,49.511732,23.512026,0.000000,12.885941,0.000000,24.044435,143.005690,0.000000,0.000000,17.855750,33.557640,0.000000,19.286000,403.819911,0,0,0,0,0

3,00:30-00:45,19.370762,93.591046,588.379699,0.000000,36.537827,300.541163,0.000000,0.000000,0.000000,12.110756,0.000000,5.166805,0.000000,0.000000,0.000000,119.939634,31.937616,125.918390,0.000000,0.000000,19.020948,0.000000,33.186518,0.000000,43.303458,10.004919,0.000000,144.634344,0.000000,0.000000,5.297584,31.178923,0.000000,0.751835,11.184643,12.576015,2.979687,49.511732,23.512026,0.000000,12.885941,0.000000,24.044435,143.005690,0.000000,0.000000,20.057440,33.557640,0.000000,17.819685,403.819911,0,0,0,0,0

4,00:45-01:00,19.370762,93.591046,588.379699,0.000000,36.537827,255.219063,0.000000,0.000000,0.000000,12.110756,0.000000,5.166805,0.000000,0.000000,0.000000,119.939634,31.937616,125.918390,0.000000,0.000000,19.020948,0.000000,33.186518,0.000000,43.303458,10.004919,0.000000,144.634344,0.000000,0.000000,5.297584,31.178923,0.000000,0.751835,11.184643,12.576015,2.979687,49.511732,23.512026,0.000000,12.885941,0.000000,24.044435,143.005690,0.000000,0.000000,20.057440,33.557640,0.000000,14.691004,403.819911,0,0,0,0,0

5,01:00-01:15,19.370762,93.591046,588.379699,0.000000,36.537827,255.219063,0.000000,0.000000,0.000000,12.110756,0.000000,5.166805,0.000000,0.000000,0.000000,119.939634,31.937616,125.918390,0.000000,0.000000,19.020948,0.000000,33.186518,0.000000,43.303458,20.009838,0.000000,144.634344,0.000000,0.000000,5.297584,15.589461,0.000000,0.751835,11.184643,18.864022,2.979687,49.511732,23.512026,0.000000,12.885941,0.000000,24.044435,143.005690,0.000000,0.000000,20.057440,33.557640,0.000000,14.465208,403.819911,0,0,0,0,0

6,01:15-01:30,19.370762,93.591046,588.379699,0.000000,36.537827,255.219063,0.000000,0.000000,0.000000,12.110756,0.000000,5.166805,0.000000,0.000000,0.000000,119.939634,31.937616,125.918390,0.000000,0.000000,19.020948,0.000000,33.186518,0.000000,43.303458,20.009838,0.000000,144.634344,0.000000,0.000000,5.297584,15.589461,0.000000,0.751835,11.184643,18.864022,2.979687,49.511732,23.512026,0.000000,12.885941,0.000000,24.044435,143.005690,0.000000,0.000000,20.057440,33.557640,0.000000,12.765531,403.819911,0,0,0,0,0

