Block,Time,CHAMERA1,CHAMERA2,BSIUL,UNCHAHAR4,URI2,SEWA2,SINGRAULI,TANAKPUR,TANDA2,TEHRI,UNCHAHAR2,UNCHAHAR3,UNCHAHAR1,SINGRAULI_HYDRO,URI,KOTESHWR,NAPP,NJPC,RAMPUR,RAPPC,RIHAND1,RIHAND2,SALAL,DADRT2,DHAULIGNGA,JHAJJAR,KISHANGANGA,DULHASTI,RAPPB,RIHAND3,CHAMERA3,PARBATI3,KOLDAM,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,VSTPS I,VSTPS II,VSTPS III,VSTPS IV,VSTPS V,LARA-I,MOUDA,SIPAT I,SIPAT II,SOLAPUR,MOUDA_II,TAPS-II,SASAN,GADARWARA-I,KHARGONE-I,KSTPS I&II,KSTPS7,KAPS,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas
1,00:00-00:15,42.14808,43.63516,0,1.427606,35.360464,17.179062,144.026761,3.0744,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,17.425726,44.386683,112.615393,2.169514,59.009958,79.966942,120.694688,79.3646,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,4.255859,0,26.824566,18.660568,0,0,72.0861,0,0,0,89.995196,0,0,3.03,2.38,1.04,0.44,0.82,0.14,2,1.09,1.62,0,1.85,6.05,1.94,0,7.94,0.24,0.82,1.32,20.0018,20.73185,0,147.515625,43.704,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,2.780976,2.793398,345.375,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008547,0.014864,0,0,0.005274,0,0.015341

2,00:15-00:30,42.14808,43.63516,0,1.427606,35.360464,17.179062,144.026761,3.0744,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,17.425726,44.386683,81.902104,1.575901,59.009958,79.966942,120.694688,79.3646,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,4.255859,0,26.824566,18.660568,0,0,72.0861,0,0,0,89.995196,0,0,3.03,2.38,1.04,0.44,0.82,0.14,2,1.09,1.62,0,1.85,6.05,1.94,0,7.94,0.24,0.82,1.32,20.0018,20.73185,0,147.515625,43.704,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,2.780976,2.793398,345.375,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008547,0.014864,0,0,0.005274,0,0.015341

3,00:30-00:45,42.14808,43.63516,0,1.427606,35.360464,17.179062,144.026761,3.0744,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,17.425726,44.386683,61.426578,1.187226,59.009958,79.966942,120.694688,79.3646,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,3.191894,0,26.824566,18.660568,0,0,72.0861,0,0,0,89.995196,0,0,3.03,2.38,1.04,0.44,0.82,0.14,2,1.09,1.62,0,1.83,6.05,1.94,0,7.94,0.24,0.82,1.32,20.0018,20.73185,0,147.515625,43.704,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,2.780976,2.793398,345.375,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008547,0.014864,0,0,0.005274,0,0.015341

4,00:45-01:00,42.14808,43.63516,0,1.427606,35.360464,17.179062,144.026761,3.0744,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,17.425726,44.386683,40.951052,0.791483,59.009958,79.966942,120.694688,79.3646,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,2.12793,0,26.824566,18.660568,0,0,72.0861,0,0,0,89.995196,0,0,3.03,2.38,1.04,0.44,0.82,0.14,2,1.09,1.62,0,1.83,6.05,1.94,0,7.94,0.24,0.82,1.32,20.0018,20.73185,0,147.515625,43.704,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,2.780976,2.793398,345.375,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008547,0.014864,0,0,0.005274,0,0.015341

5,01:00-01:15,42.14808,43.63516,0,1.427606,35.360464,17.179062,144.026761,3.0744,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,17.425726,44.386683,40.951052,0.791483,59.009958,79.966942,120.694688,79.3646,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,1.063965,0,26.824566,18.660568,0,0,72.0861,0,0,0,89.995196,0,0,3.03,2.38,1.04,0.44,0.82,0.14,2,1.09,1.62,0,1.85,6.05,1.94,0,7.94,0.24,0.82,1.32,20.0018,20.73185,0,147.515625,43.704,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,2.780976,2.793398,345.375,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008732,0.014864,0,0,0.005274,0,0.015341

6,01:15-01:30,42.14808,43.63516,0,1.427606,35.360464,17.179062,144.026761,3.0744,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,17.425726,44.386683,40.951052,0.791483,59.009958,79.966942,120.694688,79.3646,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,18.660568,0,0,72.0861,0,0,0,89.995196,0,0,3.03,2.38,1.04,0.44,0.82,0.14,2,1.09,1.62,0,1.85,6.05,1.94,0,7.94,0.24,0.82,1.32,20.0018,20.73185,0,147.515625,43.704,2.352264,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,2.780976,2.793398,345.375,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008732,0.014864,0,0,0.005274,0,0.015341

7,01:30-01:45,42.14808,43.63516,0,1.427606,32.876464,17.179062,144.026761,3.0744,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,52.992,17.425726,44.386683,40.951052,0.791483,59.009958,79.966942,120.694688,79.3646,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,18.660568,0,0,72.0861,0,0,0,89.995196,0,0,3.03,2.38,1.04,0.44,0.82,0.14,2,1.09,1.62,0,1.85,6.05,1.94,0,7.94,0.24,0.82,1.32,17.93568,20.73185,0,147.515625,43.704,2.319893,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,2.780976,2.793398,351,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008732,0.014864,0,0,0.005274,0,0.015341

8,01:45-02:00,42.14808,43.63516,0,1.427606,32.876464,17.179062,144.026761,3.0744,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,52.992,17.425726,44.386683,40.951052,0.791483,59.009958,79.966942,120.694688,79.3646,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,18.660568,0,0,72.0861,0,0,0,89.995196,0,0,3.03,2.38,1.04,0.44,0.82,0.14,2,1.09,1.62,0,1.84,6.05,1.94,0,7.94,0.24,0.82,1.32,15.6058,20.73185,0,147.515625,43.704,2.319893,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,2.780976,2.793398,351,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008732,0.014864,0,0,0.005274,0,0.015341

9,02:00-02:15,42.14808,43.63516,0,1.427606,32.145876,17.179062,144.026761,3.7149,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,17.425726,44.386683,40.951052,0.791483,59.009958,79.966942,120.694688,66.234,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,19.826854,0,0,72.0861,0,0,0,89.995196,0,0,3.03,2.38,1.04,0.44,0.82,0.14,2,1.09,1.62,0,1.84,6.05,1.94,0,7.94,0.24,0.82,1.32,15.6058,20.73185,0,147.515625,43.704,2.319893,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,2.780976,2.793398,351,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008732,0.014864,0,0,0.005274,0,0.015341

10,02:15-02:30,42.14808,43.63516,0,1.427606,32.145876,17.179062,144.026761,3.7149,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,8.712863,44.386683,40.951052,0.791483,59.009958,79.966942,120.694688,66.234,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,19.826854,0,0,72.0861,0,0,0,89.995196,0,0,3.03,2.38,1.04,0.44,0.82,0.14,2,1.09,1.62,0,1.85,6.05,1.94,0,7.94,0.24,0.82,1.32,15.6058,20.73185,0,147.515625,43.704,2.319893,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,2.780976,2.793398,351,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008732,0.014864,0,0,0.005274,0,0.015341

11,02:30-02:45,42.14808,43.63516,0,1.427606,32.145876,17.179062,144.026761,3.7149,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,8.712863,44.386683,40.951052,0.791483,59.009958,79.966942,120.694688,66.234,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,19.826854,0,0,72.0861,0,0,0,89.995196,0,0,3.03,2.38,1.04,0.44,0.82,0.14,2,1.09,1.62,0,1.85,6.05,1.94,0,7.94,0.24,0.82,1.32,15.6058,20.73185,0,147.515625,43.704,2.319893,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,2.780976,2.793398,376.875,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008919,0.014864,0,0,0.005274,0,0.015341

12,02:45-03:00,42.14808,43.63516,0,1.427606,32.145876,17.179062,144.026761,3.7149,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,8.712863,44.386683,40.951052,0.791483,59.009958,79.966942,120.694688,66.234,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,19.826854,0,0,72.0861,0,0,0,89.995196,0,0,3.03,2.38,1.04,0.44,0.82,0.14,2,1.09,1.62,0,1.85,6.05,1.94,0,7.94,0.24,0.82,1.32,15.6058,20.73185,0,147.515625,43.704,2.319893,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,2.780976,2.793398,382.5,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008919,0.014864,0,0,0.005274,0,0.015341

13,03:00-03:15,42.14808,43.63516,0,1.427606,35.360464,17.179062,144.026761,3.7149,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,8.712863,44.386683,40.951052,0.791483,59.009958,79.966942,120.694688,66.234,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,19.826854,0,0,72.0861,0,0,0,89.995196,0,0,3.03,2.38,1.04,0.44,0.82,0.14,2,1.09,1.62,0,1.85,6.05,1.94,0,7.94,0.24,0.82,1.32,15.6058,20.73185,0,147.515625,43.704,2.319893,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,2.780976,2.793398,388.125,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008919,0.014864,0,0,0.005274,0,0.015341

14,03:15-03:30,42.14808,43.63516,0,1.427606,35.360464,17.179062,144.026761,3.7149,2.525983,27.555228,43.545976,26.963602,22.193777,1.014488,49.128,8.712863,44.386683,40.951052,0.791483,59.009958,79.966942,120.694688,66.234,689.346318,9.915136,661.459879,2.551477,53.905351,0,126.520838,31.709734,0,0,0,26.824566,19.826854,0,0,72.0861,0,0,0,89.995196,0,0,3.03,2.38,1.04,0.44,0.82,0.14,2,1.09,1.62,0,1.84,6.05,1.94,0,7.94,0.24,0.82,1.32,15.6058,20.73185,0,147.515625,43.704,2.319893,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,0.935114,3.542468,2.780976,2.793398,393.75,4.2939,3.542468,2.969334,1.341844,0.821304,0,0,0.008919,0.014864,0,0,0.005274,0,0.015341

