Time,Block,WR/2024/21740/A/6559,WR/2024/21675/A/6511,NR/2024/18731/C,SR/2024/12025/C,NR/2024/18388/A/6319,WR/2024/21710/A/6554,NR/2024/18691/A/6555,NER/2024/2023/A/6508,Total
,,MANIKARAN,APPCPL,NVVNL,HPXL,ITCLH,MANIKARAN,MANIKARAN,APPCPL,Total

,,DELHI,DELHI,NA,DELHI,ANDHRA PRADESH,DELHI,DELHI,DELHI,
,,BYPL,BRPL,SOLAPUR_SOLAR,BYPL,ITCWIND,BRPL,BRPL,BRPL,
,,MAHARASHTRA,GOA,DELHI,TAMIL NADU,DELHI,GOA,HIMACHAL PRADESH,MANIPUR,
,,AEML,GOA_Beneficiary,MES (Delhi),TANGEDCO,ITCLH,GOA_Beneficiary,HP,Manipur_Ben,
,,North-West,North-West,West-North,North-East-South,South-West-North,North-West,North-North,North-East-North East,
1,00:00-00:15,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

2,00:15-00:30,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

3,00:30-00:45,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

4,00:45-01:00,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

5,01:00-01:15,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

6,01:15-01:30,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

7,01:30-01:45,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

8,01:45-02:00,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

9,02:00-02:15,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

10,02:15-02:30,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

11,02:30-02:45,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

12,02:45-03:00,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

13,03:00-03:15,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

14,03:15-03:30,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

15,03:30-03:45,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

16,03:45-04:00,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

17,04:00-04:15,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

18,04:15-04:30,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

19,04:30-04:45,100.000000,0.000000,0,100.00,0.390000,0.000000,0.000000,25.000000,225.39

