Block,Time,LT-59,L_NR_2012_02,L_NR_2023_04,L_NR_2012_01,LT-35,L_NR_2018_61,L_NR_2019_11,SH-07,L_NR_2012_04,L_NR_2012_07,L_NR_2020_02,LT-31,SH-06,LT-05,LT-36,L_NR_2022_09,L_NR_2023_10,L_NR_2021_12,L_NR_2021_14,L_NR_2019_05,L_NR_2021_13,L_NR_2021_16,L_NR_2019_06,L_NR_2021_15,L_NR_2019_19,L_NR_2021_17,L_NR_2022_10,L_NR_2019_07,L_NR_2020_07,L_NR_2020_06,L_NR_2022_08,L_NR_2023_07,L_NR_2020_05
1,00:00-00:15,10.390000,223.450000,30.620000,101.320000,0.000000,9.13,10.780000,30.950000,272.050000,74.170000,10.320000,0.000000,30.950000,116.090000,0.000000,72.95,0,0,0,0,0,0,0,0,0,0,72.95,0,35.85,35.83,26.56,0,107.5

2,00:15-00:30,10.390000,223.450000,30.620000,101.320000,0.000000,8.93,10.780000,30.950000,272.050000,74.170000,10.320000,0.000000,30.950000,116.090000,0.000000,73.77,0,0,0,0,0,0,0,0,0,0,73.77,0,36.32,36.31,26.88,0,108.94

3,00:30-00:45,10.390000,223.450000,30.620000,101.320000,0.000000,8.67,10.780000,30.950000,272.050000,74.170000,10.320000,0.000000,30.950000,116.090000,0.000000,78.55,0,0,0,0,0,0,0,0,0,0,78.55,0,35.89,35.89,31.78,0,107.68

4,00:45-01:00,10.390000,223.450000,30.620000,101.320000,0.000000,8.47,10.780000,30.950000,272.050000,74.170000,10.320000,0.000000,30.950000,116.090000,0.000000,77.75,0,0,0,0,0,0,0,0,0,0,77.75,0,35.69,35.69,31.62,0,107.07

5,01:00-01:15,10.390000,223.450000,30.620000,101.320000,0.000000,8.36,10.780000,30.950000,272.050000,74.170000,10.140000,0.000000,30.950000,116.090000,0.000000,77.66,0,0,0,0,0,0,0,0,0,0,77.66,0,36.11,36.1,31.42,0,108.32

6,01:15-01:30,10.390000,223.450000,30.620000,101.320000,0.000000,8.17,10.780000,30.950000,272.050000,74.170000,10.140000,0.000000,30.950000,116.090000,0.000000,77.48,0,0,0,0,0,0,0,0,0,0,77.48,0,36.5,36.49,31.24,0,109.47

7,01:30-01:45,10.390000,174.110000,30.620000,101.320000,0.000000,7.94,10.780000,30.950000,272.050000,74.170000,10.140000,0.000000,30.950000,116.090000,0.000000,77.22,0,0,0,0,0,0,0,0,0,0,77.22,0,36.61,36.61,31.48,0,109.83

8,01:45-02:00,10.390000,174.110000,30.620000,101.320000,0.000000,7.84,10.780000,30.950000,272.050000,74.170000,10.140000,0.000000,30.950000,116.090000,0.000000,77.62,0,0,0,0,0,0,0,0,0,0,77.62,0,37.15,37.14,30.94,0,111.43

9,02:00-02:15,10.390000,174.110000,30.620000,101.320000,0.000000,7.75,10.780000,30.950000,272.050000,74.170000,9.950000,0.000000,30.950000,116.090000,0.000000,80.27,0,0,0,0,0,0,0,0,0,0,80.27,0,38.39,38.38,31.71,0,115.14

10,02:15-02:30,10.390000,174.110000,30.620000,101.320000,0.000000,7.48,10.780000,30.950000,272.050000,74.170000,9.950000,0.000000,30.950000,116.090000,0.000000,80.54,0,0,0,0,0,0,0,0,0,0,80.54,0,38.33,38.33,31.77,0,114.99

11,02:30-02:45,10.390000,223.450000,30.620000,101.320000,0.000000,7.56,10.780000,30.950000,272.050000,56.100000,9.950000,0.000000,30.950000,116.090000,0.000000,80.91,0,0,0,0,0,0,0,0,0,0,80.91,0,38.04,38.02,31.83,0,114.07

