Column1,Block,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/2563,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/8036,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/9482,GNA/SR/2025/03/01/7500,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/25159/A/59271,WR/2025/26499/A/59380,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/6891,WR/2025/26426/A/59314,GNA/WR/2025/03/01/6406,GNARE/NR/2024/12/20/3668,WR/2025/26427/A/59315,WR/2025/26582/A/59378,NR/2025/25518/A/59350,NR/2025/25692/C,NR/2025/25691/C,NR/2025/25516/A/59328,NR/2025/25517/A/59344,GNA/NR/2025/03/01/5143,Total
,,PUNJAB,NDMC,BAWANA_GAS,NDMC,NDMC,NDMC,NDMC,TPTCL,NDMC,APPCPL,DELHI,ITCLH,APPCPL,APPCPL,PTC,KEIPL,APPCPL,SECI_Trader,KEIPL,APPCPL,OIDLWM3_AEROCITY,SJVNL,SJVNL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,PTC,
,,DELHI_UT,NA,DELHI_UT,NA,NA,NA,NA,DELHI_UT,NA,DELHI_UT,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,DELHI_UT,
,,BAWANA_GAS,RKM_POWER,BAWANA_GAS,SKS_Raigarh,TRN_ENERGY,JPL2,RKM_POWER,BYPL,JIPL,BYPL,CHANJUII,ITCWIND,BRPL,BYPL,BYPL,BYPL,BRPL,APSEPL_FTG,BRPL,BRPL,TCSPL_BKN2,RSRPL_BKN,TPSL_BKN2,TCSPL_BKN2,TCSPL_BKN2,BRPL,
,,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,HIMACHAL_STATE,CSEB_State,MSEB_State,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,
,,PUNJAB,NDMC,HARYANA,NDMC,NDMC,NDMC,NDMC,TPC_MSEB,NDMC,KSEB,TPDDL,ITCLH,AEML,AEML,HP,CSEB_Beneficiary,AEML,TPDDL,CSEB_Beneficiary,CSEB_Beneficiary,OIDLWM3_AEROCITY,NDMC,NDMC,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,HP,
,,North-North,West-North,North-North,West-North,West-North,West-North,West-North,North-West,East-North,North-West-South,North-North,South-West-North,North-West,North-West,North-North,North-West,North-West,North-North,North-West,North-West,North-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,200,5.07,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,937.96

2,00:15-00:30,26.99,23.41,26.99,6.75,8.67,23.41,23.41,0,17.35,200,5.07,0.43,0,0,79.27,168.21,42,0,24.09,24.09,0,0,0,0,0,237.82,937.96

