Block,Time Block,CHAMERA3,CHAMERA2,DADRT2,DHAULIGNGA,FSTPP I & II,DULHASTI,BSIUL,BRBCL,CHAMERA1,KHSTPP-I,KHSTPP-II,KKNP,KISHANGANGA,TALA,SINGRAULI_HYDRO,SASAN,SINGRAULI,SIMHST1,SIMHST2,TALST2,SALAL,SEWA2,AURY_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,KGSU3AND4,KGSU1AND2,RAMPUR,RIHAND3,NLCTS2EXP,RAPPC,NNTPP,RIHAND2,NTPL,PARBATI3,PARBATI2,RIHAND1,RAPPB,RSTPSU1TO6,RAPPD,RSTPSU7,NLCIIST2,TelanganaSTPP,TEHRIPSP,KUDGI,MAPS,KOTESHWR,NLCEXP,NLCIIST1,NJPC,NAPP,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,ANTA_GF,URI2,UNCHAHAR3,ANTA_CRF,ANTA_RF,AURY_CRF,UNCHAHAR2,URI,ANTA_LF,TEHRI,TANDA2,TANAKPUR,JHAJJAR,KKNPPU2,KOLDAM,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,32.63,45.3,462.71,40.82,13.36,53.24,18.8,13.78,40.52,44.06,93.77,0,6.78,10.42,0.75,335.24,109.36,0,0,0,69.27,11.75,0,0,0,0,0,0,0,0,0,5.48,125.79,0,62.89,0,120.43,0,64.32,10.14,45.21,0,0,23.84,0,0,0,79.97,0,0,39,0,0,169,23.67,20.47,3.1,0,0,37.47,26.62,0,0,0,43.26,50.34,0,57.82,5.34,12.56,553,0,8.29,0,0,0,0,0

2,00:15-00:30,32.63,45.3,414.64,40.82,13.36,53.24,18.8,12.12,40.52,44.06,93.77,0,6.78,10.42,0.75,335.51,109.36,0,0,0,69.27,11.75,0,0,0,0,0,0,0,0,0,5.48,125.79,0,62.89,0,120.43,0,64.32,10.14,45.21,0,0,23.84,0,0,0,79.97,0,0,39,0,0,169,23.67,20.81,3.1,0,0,37.47,26.62,0,0,0,43.26,50.34,0,57.82,5.34,12.56,466.47,0,8.29,0,0,0,0,0

3,00:30-00:45,32.63,45.3,378.24,40.82,13.36,53.24,18.8,12.89,40.52,44.06,93.77,0,6.78,10.42,0.75,335.51,109.36,0,0,0,69.27,11.75,0,0,0,0,0,0,0,0,0,5.48,125.79,0,62.89,0,120.43,0,64.32,10.14,45.21,0,0,23.84,0,0,0,79.97,0,0,39,0,0,169,23.67,20.81,3.1,0,0,37.47,26.62,0,0,0,43.26,40.33,0,57.82,5.34,12.56,387.51,0,8.29,0,0,0,0,0

4,00:45-01:00,32.63,45.3,271.95,40.82,13.36,53.24,18.8,12.08,40.52,44.06,93.77,0,6.78,10.42,0.75,335.51,109.36,0,0,0,69.27,11.75,0,0,0,0,0,0,0,0,0,5.48,125.79,0,62.89,0,120.43,0,64.32,10.14,45.21,0,0,23.84,0,0,0,79.97,0,0,39,0,0,169,23.67,20.81,3.1,0,0,37.47,26.62,0,0,0,43.26,40.33,0,57.82,5.34,12.56,310.6,0,8.29,0,0,0,0,0

5,01:00-01:15,32.63,45.3,234.03,40.82,13.36,53.24,18.8,10.82,40.52,44.06,93.77,0,6.78,10.42,0.75,335.51,109.36,0,0,0,69.27,11.75,0,0,0,0,0,0,0,0,0,5.48,125.79,0,62.89,0,120.43,0,57.89,10.14,45.21,0,0,23.84,0,0,0,79.97,0,0,39,0,0,169,23.67,20.81,3.1,0,0,37.47,26.62,0,0,0,43.26,40.33,0,57.82,5.34,12.56,269.02,0,8.29,0,0,0,0,0

