Column1,Block,NR/2024/23943/C,NR/2024/23950/C,NR/2024/23918/A/43110,WR/2024/24788/A/43147,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/9042,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5428,NR/2024/23948/C,GNA/NR/2024/11/01/9061,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/1868,NR/2024/23420/A/43002,NR/2024/23909/A/43119,NR/2024/23809/A/43004,NR/2024/23769/A/43006,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/3646,Total
,,NVVNL,SJVNL,IEXL,APPCPL,NDMC,PTC,NDMC,NDMC,DELHI,BAWANA_GAS,NDMC,SJVNL,NDMC,PUNJAB,NDMC,ITCLH,DIAPL,IEXL,IEXL,MANIKARAN,APPCPL,PTC,
,,NA,NA,NA,DELHI_UT,NA,DELHI_UT,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,DELHI_UT,NA,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,KARNATAKA_STATE,KARNATAKA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,
,,SOLAPUR_SOLAR,RSRPL_BKN,TESPL_BKN2,BRPL,TRN_ENERGY,BRPL,RKM_POWER,JITPL,CHANJUII,BAWANA_GAS,RKM_POWER,TPSL_BKN2,JPL2,BAWANA_GAS,SKS_Raigarh,ITCWIND,GBHHPL,NSLSTUNGBHDRA,NSLSUGAR,BRPL,BYPL,BYPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,HIMACHAL_STATE,
,,MES_Delhi,NDMC,MES_Delhi,GOA_Beneficiary,NDMC,HP,NDMC,NDMC,TPDDL,HARYANA,NDMC,NDMC,NDMC,PUNJAB,NDMC,ITCLH,DIAPL,MES_Delhi,MES_Delhi,AEML,AEML,HP,
,,West-North,North-North,North-North,North-West,West-North,North-North,West-North,East-North,North-North,North-North,West-North,North-North,West-North,North-North,West-North,South-West-North,North-North,South-West-North,South-West-North,North-West,North-West,North-North,
1,00:00-00:15,0,0,0,0,8.68,261.61,26.03,17.35,3.13,0,26.03,0,26.03,0,8.68,0.48,0,4.82,5.78,0,0,87.2,475.82

2,00:15-00:30,0,0,0,0,8.68,261.61,26.03,17.35,3.13,0,26.03,0,26.03,0,8.68,0.48,0,4.82,5.78,0,0,87.2,475.82

3,00:30-00:45,0,0,0,0,8.68,261.61,26.03,17.35,3.13,0,26.03,0,26.03,0,8.68,0.48,0,4.82,5.78,0,0,87.2,475.82

4,00:45-01:00,0,0,0,0,8.68,261.61,26.03,17.35,3.13,0,26.03,0,26.03,0,8.68,0.48,0,4.82,5.78,0,0,87.2,475.82

5,01:00-01:15,0,0,0,0,8.68,261.61,26.03,17.35,3.13,0,26.03,0,26.03,0,8.68,0.48,0,4.82,5.78,0,0,87.2,475.82

6,01:15-01:30,0,0,0,0,8.68,261.61,26.03,17.35,3.13,0,26.03,0,26.03,0,8.68,0.48,0,4.82,5.78,0,0,87.2,475.82

7,01:30-01:45,0,0,0,0,8.68,261.61,26.03,17.35,3.13,0,26.03,0,26.03,0,8.68,0.48,0,4.82,5.78,0,0,87.2,475.82

8,01:45-02:00,0,0,0,0,8.68,261.61,26.03,17.35,3.13,0,26.03,0,26.03,0,8.68,0.48,0,4.82,5.78,0,0,87.2,475.82

9,02:00-02:15,0,0,0,0,8.68,261.61,26.03,17.35,3.13,0,26.03,0,26.03,0,8.68,0.48,0,4.82,5.78,0,0,87.2,475.82

10,02:15-02:30,0,0,0,0,8.68,261.61,26.03,17.35,3.13,0,26.03,0,26.03,0,8.68,0.48,0,4.82,5.78,0,0,87.2,475.82

11,02:30-02:45,0,0,0,0,8.68,261.61,26.03,17.35,3.13,0,26.03,0,26.03,0,8.68,0.48,0,4.82,5.78,0,0,87.2,475.82

12,02:45-03:00,0,0,0,0,8.68,261.61,26.03,17.35,3.13,0,26.03,0,26.03,0,8.68,0.48,0,4.82,5.78,0,0,87.2,475.82

13,03:00-03:15,0,0,0,0,8.68,261.61,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.43,0,4.82,5.78,0,0,87.2,475.68000000000006

14,03:15-03:30,0,0,0,0,8.68,261.61,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.43,0,4.82,5.78,0,0,87.2,475.68000000000006

15,03:30-03:45,0,0,0,0,8.68,261.61,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.43,0,4.82,5.78,0,0,87.2,475.68000000000006

16,03:45-04:00,0,0,0,0,8.68,261.61,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.43,0,4.82,5.78,0,0,87.2,475.68000000000006

17,04:00-04:15,0,0,0,0,8.68,261.61,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.43,0,4.82,5.78,0,0,87.2,475.68000000000006

18,04:15-04:30,0,0,0,0,8.68,261.61,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.43,0,4.82,5.78,0,0,87.2,475.68000000000006

19,04:30-04:45,0,0,0,0,8.68,261.61,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.43,0,4.82,5.78,0,0,87.2,475.68000000000006

20,04:45-05:00,0,0,0,0,8.68,261.61,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.43,0,4.82,5.78,0,0,87.2,475.68000000000006

21,05:00-05:15,0,0,0,0,8.68,261.61,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.43,0,4.82,5.78,0,0,87.2,475.68000000000006

22,05:15-05:30,0,0,0,0,8.68,261.61,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.43,0,4.82,5.78,0,0,87.2,475.68000000000006

23,05:30-05:45,0.01,0,0,0,8.68,261.61,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.43,0,4.82,5.78,0,0,87.2,475.69000000000005

24,05:45-06:00,0.03,0,0,0,8.68,261.61,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.43,0,4.82,5.78,0,0,87.2,475.71000000000004

25,06:00-06:15,0.04,0,0,0,8.68,0,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.43,0,4.82,5.78,0,0,0,126.91

26,06:15-06:30,0.06,0,0,0,8.68,0,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.43,0,4.82,5.78,0,0,0,126.93

27,06:30-06:45,0.07,0,0,0,8.68,0,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.43,0,4.82,5.78,0,0,0,126.94

28,06:45-07:00,0.33,0,0,0,8.68,0,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.43,0,4.82,5.78,0,0,0,127.20000000000002

29,07:00-07:15,0.67,0,0,0,8.68,0,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.58,0,4.82,5.78,0,0,0,127.69000000000003

30,07:15-07:30,1.05,0,0,0,8.68,0,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.58,0,4.82,5.78,0,0,0,128.07000000000002

31,07:30-07:45,1.5,0,0,0,8.68,0,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.58,0,4.82,5.78,0,0,0,128.52

32,07:45-08:00,2.02,0,0,0,8.68,0,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.58,0,4.82,5.78,0,0,0,129.04000000000002

33,08:00-08:15,2.46,0,0,0,8.68,0,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.96,0,4.82,5.78,0,0,0,129.86

34,08:15-08:30,2.99,0,0,0,8.68,0,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.96,0,4.82,5.78,0,0,0,130.39000000000001

35,08:30-08:45,3.58,0,0,0,8.68,0,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.96,0,4.82,5.78,0,0,0,130.98000000000002

36,08:45-09:00,3.69,0,0,0,8.68,0,26.03,17.35,3.04,0,26.03,0,26.03,0,8.68,0.96,0,4.82,5.78,0,0,0,131.09

37,09:00-09:15,3.58,24.1,3.86,0,8.68,0,26.03,17.35,3.04,0,26.03,28.92,26.03,0,8.68,0.87,0,4.82,5.78,0,0,0,187.77

38,09:15-09:30,4.05,24.1,3.86,0,8.68,0,26.03,17.35,3.04,0,26.03,28.92,26.03,0,8.68,0.87,0,4.82,5.78,0,0,0,188.24

39,09:30-09:45,4.69,24.1,3.86,0,8.68,0,26.03,17.35,3.04,0,26.03,28.92,26.03,0,8.68,0.87,0,4.82,5.78,0,0,0,188.88000000000002

40,09:45-10:00,4.18,24.1,3.86,0,8.68,0,26.03,17.35,3.04,0,26.03,28.92,26.03,0,8.68,0.87,0,4.82,5.78,0,0,0,188.37

41,10:00-10:15,6.57,24.1,4.82,0,8.68,0,26.03,17.35,3.04,0,26.03,28.92,26.03,0,8.68,0.87,0,4.82,5.78,0,0,0,191.72000000000003

42,10:15-10:30,6.7,24.1,4.82,0,8.68,0,26.03,17.35,3.04,0,26.03,28.92,26.03,0,8.68,0.87,0,4.82,5.78,0,0,0,191.85000000000002

43,10:30-10:45,6.94,24.1,4.82,0,8.68,0,26.03,17.35,3.04,0,26.03,28.92,26.03,0,8.68,0.87,0,4.82,5.78,0,0,0,192.09

44,10:45-11:00,7.25,24.1,4.82,0,8.68,0,26.03,17.35,3.04,0,26.03,28.92,26.03,0,8.68,0.87,0,4.82,5.78,0,0,0,192.4

45,11:00-11:15,7.32,24.1,6.75,0,8.68,0,26.03,17.35,3.04,0,26.03,28.92,26.03,0,8.68,0.87,0,4.82,5.78,0,0,0,194.4

46,11:15-11:30,7.5,24.1,6.75,0,8.68,0,26.03,17.35,3.04,0,26.03,28.92,26.03,0,8.68,0.87,0,4.82,5.78,0,0,0,194.58

47,11:30-11:45,7.67,24.1,6.75,0,8.68,0,26.03,17.35,3.04,0,26.03,28.92,26.03,0,8.68,0.87,0,4.82,5.78,0,0,0,194.75000000000003

48,11:45-12:00,7.76,24.1,6.75,0,8.68,0,26.03,17.35,3.04,0,26.03,28.92,26.03,0,8.68,0.87,0,4.82,5.78,0,0,0,194.84

49,12:00-12:15,7.75,24.1,6.75,0,8.68,0,26.03,17.35,2.94,0,26.03,28.92,26.03,0,8.68,0.87,0,4.82,5.78,0,0,0,194.73000000000002

50,12:15-12:30,7.78,24.1,6.75,0,8.68,0,26.03,17.35,2.94,0,26.03,28.92,26.03,0,8.68,0.87,0,4.82,5.78,0,0,0,194.76

51,12:30-12:45,7.66,24.1,6.75,0,8.68,0,26.03,17.35,2.94,0,26.03,28.92,26.03,0,8.68,0.87,0,4.82,5.78,0,0,0,194.64

52,12:45-13:00,7.54,24.1,6.75,0,8.68,0,26.03,17.35,2.94,0,26.03,28.92,26.03,0,8.68,0.87,0,4.82,5.78,0,0,0,194.51999999999998

