Column1,Time,GNA/SR/2024/12/01/6968,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1475,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/1899,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/12/01/1599,GNA/WR/2024/10/15/7089,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/12/01/7739,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08
1,00:00-00:15,150,1.66,0.77,1.92,0,0,0,0,0,30,0,0,90,0,0,0,0,0,25.97,25.97,8.66,25.97,0,70.13,8.66,74.78,0,1.14,0,24.73,0,57.41,95.13,0,151.95,31.71,0,0,30,80,0,33.61,80,30

2,00:15-00:30,150,1.66,0.77,1.92,0,0,0,0,0,29.83,0,0,89.51,0,0,0,0,0,25.97,25.97,8.66,25.97,0,70.13,8.66,74.78,0,1.14,0,24.73,0,57.41,95.13,0,127.91,31.71,0,0,29.83,80.67,0,33.61,80.66,29.33

3,00:30-00:45,150,1.66,0.77,1.92,0,0,0,0,0,29.67,0,0,88.99,0,0,0,0,0,25.97,25.97,8.66,25.97,0,70.13,8.66,74.78,0,1.14,0,24.73,0,57.41,95.13,0,115.4,31.71,0,0,29.67,81.33,0,33.41,81.34,29

4,00:45-01:00,150,1.66,0.77,1.92,0,0,0,0,0,29.33,0,0,88.01,0,0,0,0,0,25.97,25.97,8.66,25.97,0,70.13,8.66,74.78,0,1.14,0,24.73,0,57.41,95.13,0,115.4,31.71,0,0,29.33,82,0,32.81,82,28.33

5,01:00-01:15,150,1.66,0.77,1.92,0,0,0,0,0,34.17,0,0,102.49,0,0,0,0,0,25.97,25.97,8.66,25.97,0,70.13,8.66,74.78,0,1.14,0,0,0,57.41,95.13,0,115.4,31.71,0,0,34.17,82.33,0,32.61,82.34,28.33

6,01:15-01:30,150,1.66,0.77,1.92,0,0,0,0,0,34,0,0,102,0,0,0,0,0,25.97,25.97,8.66,25.97,0,70.13,8.66,74.78,0,1.14,0,0,0,57.41,95.13,0,115.4,31.71,0,0,34,80,0,32.41,80,28.33

7,01:30-01:45,150,1.66,0.77,1.92,0,0,0,0,0,34.5,0,0,103.5,0,0,0,0,0,25.97,25.97,8.66,25.97,0,70.13,8.66,74.78,0,1.14,0,0,0,57.41,95.13,0,115.4,31.71,0,0,34.5,80.67,0,32.41,80.66,28

8,01:45-02:00,150,1.66,0.77,1.92,0,0,0,0,0,34.33,0,0,103.01,0,0,0,0,0,25.97,25.97,8.66,25.97,0,70.13,8.66,74.78,0,1.14,0,0,0,57.41,95.13,0,115.4,31.71,0,0,34.33,81.33,0,32.21,81.34,28

9,02:00-02:15,150,1.66,0.69,1.92,0,0,0,0,0,30.83,0,0,92.51,0,0,0,0,0,25.97,25.97,8.66,25.97,0,70.13,8.66,74.78,0,1.14,0,0,0,57.41,95.13,0,115.4,31.71,0,0,30.83,70,0,37.82,70,29

10,02:15-02:30,150,1.66,0.69,1.92,0,0,0,0,0,31,0,0,93,0,0,0,0,0,25.97,25.97,8.66,25.97,0,70.13,8.66,74.78,0,1.14,0,0,0,57.41,95.13,0,115.4,31.71,0,0,31,68,0,37.82,68,30

