Column1,Time,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,GNARE/NR/2024/12/20/3668,GNA/NR/2025/03/01/2563,GNA/WR/2025/01/01/9606,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/1906,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/07/1198,GNA/WR/2025/01/01/8625,GNARE/SR/2025/01/13/4532,L_NR_2019_19,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17
1,00:00-00:15,0,0,0,23.02,0,200,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,65.82,1.26,0.93,26.99,1,0,86.52,0,271.21,259.56,26.74,0,0,4.68,32,0,15.83,49,0,0,47.51,11.67,0,15.83,0,49,0,0,0,0

2,00:15-00:30,0,0,0,23.02,0,200,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,65.82,1.26,0.93,26.99,1,0,86.52,0,271.21,259.56,26.74,0,0,4.68,32,0,15.83,49,0,0,47.51,11.67,0,15.83,0,49,0,0,0,0

3,00:30-00:45,0,0,0,23.02,0,200,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,65.82,1.26,0.93,26.99,1,0,86.52,0,271.21,259.56,27.25,0,0,4.68,26.99,0,18.83,49,0,0,56.51,14,0,18.83,0,49,0,0,0,0

4,00:45-01:00,0,0,0,23.02,0,200,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,65.82,1.26,0.93,26.99,1,0,86.52,0,271.21,259.56,27.76,0,0,4.68,26.99,0,18.67,49,0,0,55.99,13.67,0,18.67,0,49,0,0,0,0

5,01:00-01:15,0,0,0,23.02,0,200,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,69.95,1.26,0.93,26.99,1,0,86.52,0,271.21,259.56,27.76,0,0,4.68,26.99,0,18.67,47.66,0,0,55.99,13.67,0,18.67,0,47.67,0,0,0,0

6,01:15-01:30,0,0,0,23.02,0,200,8.63,23.02,22.06,42,5.76,190.26,63.42,17.27,0,0,6,0,69.95,1.26,0.93,26.99,1,0,86.52,0,271.21,259.56,27.76,0,0,4.68,26.99,0,18.67,46,0,0,55.99,13.33,0,18.67,0,46,0,0,0,0

