Block,Time,TANAKPUR,BSIUL,ANTA_LF,NAPP,RIHAND2,NJPC,AURY_RF,TEHRI,SINGRAULI,KOTESHWR,SINGRAULI_HYDRO,SEWA2,RAPPB,DADRI_RF,UNCHAHAR1,DULHASTI,ANTA_GF,DADRI_LF,AURY_GF,TANDA2,DADRI_GF,UNCHAHAR4,UNCHAHAR3,CHAMERA1,JHAJJAR,UNCHAHAR2,RAPPC,DADRT2,KUDGI,KHSTPP-I,FSTPP I & II,KHSTPP-II,BRBCL,TALA,SASAN,ANTA_CRF,KOLDAM,RIHAND1,SALAL,AURY_LF,DHAULIGNGA,RAMPUR,AURY_CRF,CHAMERA3,URI2,KISHANGANGA,PARBATI3,URI,CHAMERA2,ANTA_RF,DADRI_CRF,RIHAND3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,11.776425,12.684225,0.000000,40.100403,115.727243,142.096822,0.000000,25.034071,137.413400,16.142168,0.574580,16.053045,0.000000,0.000000,13.984523,50.308022,0.000000,0.000000,0.000000,1.347745,0.000000,0.783837,22.207954,40.786697,636.640056,41.659485,53.274796,656.914532,74.51,41.015418,11.283382,142.750749,15.557053,17.070228,405.243729,0.000000,2.350658,90.305764,78.150484,0.000000,37.049944,1.592521,0.000000,29.586066,33.462286,2.113900,3.239850,45.938654,40.512341,0.000000,0.000000,121.248253,0,0,0,0,0

2,00:15-00:30,11.776425,12.684225,0.000000,40.100403,115.727243,142.096822,0.000000,25.034071,137.413400,16.142168,0.574580,16.053045,0.000000,0.000000,13.984523,50.308022,0.000000,0.000000,0.000000,1.347745,0.000000,0.783837,18.088314,40.786697,636.640056,41.659485,53.274796,656.914532,74.51,41.117573,11.283382,142.750749,12.873433,17.070228,405.243729,0.000000,2.350658,90.305764,78.150484,0.000000,37.049944,1.592521,0.000000,29.586066,33.462286,2.113900,3.239850,45.938654,40.512341,0.000000,0.000000,121.248253,0,0,0,0,0

3,00:30-00:45,4.958495,12.684225,0.000000,40.100403,115.727243,142.096822,18.701577,25.034071,137.413400,16.142168,0.574580,16.053045,0.000000,19.354000,20.084614,50.308022,0.000000,0.000000,0.000000,1.347745,0.000000,0.783837,20.816426,40.786697,636.640056,41.659485,53.274796,665.623832,74.51,41.117573,11.283382,142.750749,12.123926,17.070228,405.243729,0.000000,2.350658,90.305764,78.150484,0.000000,37.049944,1.592521,0.000000,29.586066,33.462286,2.113900,3.239850,45.938654,40.512341,0.000000,0.000000,121.248253,0,0,0,0,0

4,00:45-01:00,4.958495,12.684225,0.000000,40.100403,115.727243,142.096822,18.701577,25.034071,137.413400,16.142168,0.574580,16.053045,0.000000,19.354000,20.084614,50.308022,0.000000,0.000000,0.000000,1.347745,0.000000,0.783837,23.745792,40.786697,636.640056,41.659485,53.274796,666.018571,74.51,41.117573,11.283382,142.750749,9.781082,17.070228,405.243729,0.000000,2.350658,90.305764,78.150484,0.000000,37.049944,1.592521,0.000000,29.586066,33.462286,2.113900,3.239850,45.938654,40.512341,0.000000,0.000000,121.248253,0,0,0,0,0

5,01:00-01:15,4.958495,12.684225,0.000000,40.100403,115.727243,142.096822,19.023434,25.034071,137.413400,16.142168,0.995939,16.053045,0.000000,19.354000,20.084614,50.308022,0.000000,0.000000,0.000000,1.347745,0.000000,0.783837,25.854802,40.786697,636.640056,41.659485,53.274796,666.018571,74.51,41.117573,11.283382,142.750749,7.702830,17.070228,405.243729,0.000000,2.350658,90.305764,78.150484,0.000000,37.049944,1.592521,0.000000,29.586066,33.462286,2.113900,3.239850,45.938654,40.512341,0.000000,0.000000,121.248253,0,0,0,0,0

6,01:15-01:30,4.958495,12.684225,0.000000,40.100403,115.727243,142.096822,19.023434,25.034071,137.413400,16.142168,0.995939,16.053045,0.000000,19.354000,20.084614,50.308022,0.000000,0.000000,0.000000,1.347745,0.000000,0.783837,25.854802,40.786697,636.640056,41.659485,53.274796,666.018571,74.51,41.117573,11.283382,142.750749,9.853554,17.070228,405.243729,0.000000,2.350658,90.305764,78.150484,0.000000,37.049944,1.592521,0.000000,29.586066,33.462286,2.113900,3.239850,45.938654,40.512341,0.000000,0.000000,121.248253,0,0,0,0,0

