Block,Time Block,KOTESHWR,SINGRAULI,SINGRAULI_HYDRO,SIMHST2,DULHASTI,DADRT2,CHAMERA1,JHAJJAR,CHAMERA3,BSIUL,KGSU1AND2,CHAMERA2,DHAULIGNGA,FSTPP I & II,BRBCL,KUDGI,NLCEXP,NLCIIST1,MAPS,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,NAPP,NTPL,PARBATI3,RAPPB,RIHAND1,RAMPUR,RAPPC,TALA,TANDA2,TALST2,TANAKPUR,TEHRI,KOLDAM,RIHAND2,RSTPSU1TO6,RSTPSU7,SALAL,RIHAND3,KKNPPU2,KISHANGANGA,KKNP,KHSTPP-I,KHSTPP-II,KGSU3AND4,UNCHAHAR2,TelanganaSTPP,URI,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,URI2,ANTA_LF,VALLURNTECL,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,SASAN,SIMHST1,SEWA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,8.55,134.65,0,0,31.77,327.25,0,404.24,9.33,0,0,11.57,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,12.59,14.39,0,55.25,0,0,12.32,57.84,0,0,0,43.89,142.96,0,40.87,0,3.19,20.09,0,0,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,327.16,0,0,0,0,0,0,0

2,00:15-00:30,8.55,134.65,0,0,31.77,327.25,0,302.02,9.33,0,0,11.57,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,12.59,14.39,0,55.27,0,0,12.32,57.86,0,0,0,43.89,142.96,0,40.87,0,3.19,20.09,0,0,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,330.77,0,0,0,0,0,0,0

3,00:30-00:45,8.55,134.65,0,0,31.77,327.25,0,202.48,9.33,0,0,11.57,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.64,14.39,0,55.27,0,0,12.32,57.86,0,0,0,43.89,142.96,0,40.87,0,2.13,20.09,0,0,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,330.77,0,0,0,0,0,0,0

4,00:45-01:00,8.55,134.65,0,0,31.77,327.25,0,202.48,9.33,0,0,11.57,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.64,14.39,0,55.27,0,0,12.32,57.86,0,0,0,43.89,142.96,0,40.87,0,2.13,20.09,0,0,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,330.77,0,0,0,0,0,0,0

5,01:00-01:15,8.55,134.65,0,0,31.77,327.25,0,202.48,0,0,0,11.57,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.64,14.39,0,55.27,0,0,12.32,57.86,0,0,0,43.89,142.96,0,40.87,0,2.13,20.09,0,0,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,249.43,0,0,0,0,0,0,0

6,01:15-01:30,8.55,134.65,0,0,31.77,327.25,0,202.48,0,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.64,14.39,0,55.27,0,0,25.77,57.86,0,0,0,43.89,142.96,0,40.87,0,2.13,20.09,0,0,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,249.43,0,0,0,0,0,0,0

7,01:30-01:45,8.55,134.65,0,0,31.77,327.25,0,202.48,0,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.64,14.39,0,55.27,0,0,76.52,57.86,0,0,0,43.89,142.96,0,40.87,0,2.13,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,249.43,0,0,0,0,0,0,0

8,01:45-02:00,8.55,134.65,0,0,31.77,327.25,0,202.48,0,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.64,14.39,0,55.27,0,0,76.52,57.86,0,0,0,43.89,142.96,0,40.87,0,2.13,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,249.43,0,0,0,0,0,0,0

9,02:00-02:15,8.55,134.65,0,0,31.77,327.25,0,202.48,0,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,12.59,14.39,0,55.27,0,0,76.52,57.86,0,0,0,43.89,142.96,0,40.87,0,2.13,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,249.43,0,0,0,0,0,0,0

10,02:15-02:30,8.55,134.65,0,0,31.77,327.25,0,202.48,0,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,12.59,14.39,0,55.27,0,0,76.52,57.86,0,0,0,43.89,142.96,0,40.87,0,2.13,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,249.43,0,0,0,0,0,0,0

11,02:30-02:45,8.55,134.65,0,0,31.77,327.25,0,202.48,0,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,9.26,14.39,0,55.27,0,0,25.77,57.86,0,0,0,43.89,142.96,0,40.87,0,2.13,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,255.22,0,0,0,0,0,0,0

12,02:45-03:00,8.55,134.65,0,0,31.77,327.25,0,202.48,0,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,9.26,14.39,0,55.27,0,0,12.32,57.86,0,0,0,43.89,142.96,0,35.23,0,2.13,17.48,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

13,03:00-03:15,8.55,134.65,0,0,31.77,327.25,0,202.48,0,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,9.26,14.39,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,35.23,0,2.13,17.32,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

14,03:15-03:30,8.55,134.65,0,0,31.77,327.25,0,202.48,0,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,9.26,14.39,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,35.23,0,2.13,17.32,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

15,03:30-03:45,8.55,134.65,0,0,31.77,327.25,0,202.48,0,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,9.26,14.39,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,40.87,0,3.84,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

16,03:45-04:00,8.55,134.65,0,0,31.77,327.25,0,202.48,0,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,9.26,14.39,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,40.87,0,3.84,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

17,04:00-04:15,8.55,134.65,0,0,31.77,327.25,0,202.48,0,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.89,14.39,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,40.87,0,3.84,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

18,04:15-04:30,8.55,134.65,0,0,31.77,327.25,0,202.48,0,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.89,14.39,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,40.87,0,3.84,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

19,04:30-04:45,8.55,134.65,0,0,31.77,327.25,0,202.48,0,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.89,14.39,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,40.87,0,3.84,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

20,04:45-05:00,8.55,134.65,0,0,31.77,327.25,0,202.48,0,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.89,14.39,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,40.87,0,3.84,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

21,05:00-05:15,8.55,134.65,0,0,47.65,327.25,0,202.48,9.33,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.89,14.39,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,40.87,0,3.84,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

22,05:15-05:30,8.55,134.65,0,0,47.65,327.25,0,202.48,9.33,0,0,2.31,8.78,20.05,14.46,0,0,0,0,41.09,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.89,14.39,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,40.87,0,3.84,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

23,05:30-05:45,8.55,134.65,0,0,47.65,327.25,0,202.48,9.33,1.06,0,12.7,17.57,20.05,14.46,0,0,0,0,67.64,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.89,14.39,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,40.87,0,2.13,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

24,05:45-06:00,8.55,134.65,0,0,47.65,327.25,11.42,202.48,18.66,6.29,0,25.7,26.49,20.05,14.46,0,0,0,0,85.73,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.89,14.39,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,40.87,0,2.13,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

25,06:00-06:15,9.51,134.65,0,0,48.13,327.25,13.54,202.48,29.46,18.86,0,39.32,36.29,20.05,14.46,0,0,0,0,112.74,0,0,0,40.26,0,3.68,0,88.69,0,49.92,0,0,0,12.59,30.01,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,40.87,0,2.13,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

26,06:15-06:30,9.51,134.65,0,0,48.13,327.25,13.54,202.48,29.46,18.86,0,39.32,36.29,20.05,14.46,0,0,0,0,112.74,0,0,0,40.26,0,31.91,0,88.69,0,49.92,0,0,0,12.59,30.01,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,40.87,0,6.39,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

27,06:30-06:45,9.51,134.65,0,0,48.13,327.25,13.54,202.48,29.46,18.86,0,39.32,36.29,20.05,14.46,0,0,0,0,112.74,0,0,0,40.26,0,31.91,0,88.69,0,49.92,0,0,0,11.11,30.01,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,40.87,0,41.5,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

28,06:45-07:00,9.51,134.65,0,0,48.13,327.25,13.54,202.48,29.46,18.86,0,39.32,36.29,20.05,14.46,0,0,0,0,112.74,0,0,0,40.26,0,31.91,0,88.69,0,49.92,0,0,0,11.11,29.58,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,40.87,0,41.5,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

29,07:00-07:15,8.55,134.65,0,0,31.77,327.25,11.42,202.48,18.66,6.29,0,38.09,26.49,20.05,14.46,0,0,0,0,112.74,0,0,0,40.26,0,31.91,0,88.69,0,49.92,0,0,0,8.64,14.39,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,40.87,0,6.39,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

30,07:15-07:30,8.55,134.65,0,0,31.77,327.25,0,202.48,9.33,6.29,0,25.39,17.57,20.05,14.46,0,0,0,0,85.54,0,0,0,40.26,0,31.91,0,88.69,0,49.92,0,0,0,8.64,0,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,40.87,0,4.25,20.09,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

31,07:30-07:45,8.55,134.65,0,0,31.77,327.25,0,202.48,9.33,6.29,0,11.57,8.78,17.28,14.46,0,0,0,0,85.54,0,0,0,40.26,0,31.91,0,88.69,0,49.92,0,0,0,8.64,0,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,35.23,0,4.25,17.32,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

32,07:45-08:00,8.55,134.65,0,0,31.77,327.25,0,202.48,9.33,6.29,0,2.31,8.78,17.28,14.46,0,0,0,0,67.64,0,0,0,40.26,0,4.91,0,88.69,0,49.92,0,0,0,8.64,0,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,35.23,0,4.25,17.32,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

33,08:00-08:15,8.55,134.65,0,0,31.77,327.25,0,202.48,9.33,6.29,0,11.57,8.78,17.28,14.46,0,0,0,0,38.35,0,0,0,40.26,0,2.46,0,88.69,0,49.92,0,0,0,8.64,0,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,35.23,0,4.25,17.32,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

34,08:15-08:30,8.55,134.65,0,0,31.77,327.25,0,202.48,9.33,1.06,0,11.57,8.78,17.28,14.46,0,0,0,0,38.35,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.64,0,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,35.23,0,4.25,17.32,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

35,08:30-08:45,8.55,130.14,0,0,31.77,327.25,0,202.48,9.33,0,0,11.57,8.78,17.28,14.46,0,0,0,0,38.35,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.64,0,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,35.23,0,41.5,17.32,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

36,08:45-09:00,8.55,126.53,0,0,31.77,327.25,0,202.48,9.33,0,0,11.57,8.78,17.28,14.46,0,0,0,0,38.35,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,8.64,0,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,35.23,0,41.5,17.32,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

37,09:00-09:15,8.55,122.91,0,0,31.77,327.25,0,202.48,9.33,0,0,11.57,8.78,17.28,14.46,0,0,0,0,38.35,0,0,0,40.26,0,0,0,88.69,0,49.92,0,0,0,12.59,0,0,55.27,0,0,12.32,57.6,0,0,0,43.89,142.96,0,35.23,0,6.39,17.32,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,258.11,0,0,0,0,0,0,0

