Block,Time,CHAMERA2,DADRT2,CHAMERA3,DHAULIGNGA,URI2,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,SEWA2,NJPC,RIHAND1,KISHANGANGA,RAPPC,NAPP,JHAJJAR,KOTESHWR,SINGRAULI_HYDRO,DULHASTI,RIHAND3,TEHRI,KOLDAM,PARBATI3,SINGRAULI,RAMPUR,RIHAND2,TANDA2,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,RSTPSU7,KGSU3AND4,TALST2,VALLURNTECL,SIMHST2,NNTPP,NTPL,RSTPSU1TO6,SIMHST1,KGSU1AND2,NLCTS2EXP,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,41.864567,688.249014,30.573593,19.143301,34.579194,43.050737,20.755001,0.814833,14.680103,16.588865,122.366456,93.324175,1.456306,54.915375,40.872774,657.89409,8.443451,1.00939,51.987209,125.295291,25.869661,1.82184,3.34799,131.491575,1.391564,119.5917,1.44175,42.14808,6.5538,37.536,11.529,84.9422,0,0,86.178824,0,0,0,40.189399,0,0,0,66.809429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,19.1226,20.73185,0,147.515625,43.704,418.77

2,00:15-00:30,41.864567,688.249014,30.573593,19.143301,34.579194,43.050737,20.755001,0.814833,14.680103,16.588865,122.366456,93.324175,1.456306,54.915375,40.872774,657.89409,8.443451,1.00939,51.987209,125.295291,25.869661,1.21456,3.34799,131.491575,1.391564,119.5917,1.44175,42.14808,6.5538,37.536,11.529,84.9422,0,0,86.178824,0,0,0,40.189399,0,0,0,66.809429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,17.584,20.73185,0,147.515625,43.704,418.77

3,00:30-00:45,41.864567,688.249014,30.573593,19.143301,34.579194,43.050737,20.755001,0.814833,14.680103,16.588865,97.893164,93.324175,1.456306,54.915375,40.872774,657.89409,8.443451,1.00939,51.987209,125.295291,25.869661,1.21456,3.34799,111.614941,1.113252,119.5917,1.44175,42.14808,6.5538,37.536,11.529,84.9422,0,0,86.178824,0,0,0,40.189399,0,0,0,66.809429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,17.584,20.73185,0,147.515625,43.704,418.77

4,00:45-01:00,41.864567,688.249014,30.573593,19.143301,34.579194,43.050737,20.755001,0.814833,14.680103,16.588865,73.419873,93.324175,1.456306,54.915375,40.872774,657.89409,8.443451,1.00939,51.987209,125.295291,25.869661,1.21456,3.34799,111.614941,0.834938,119.5917,1.44175,42.14808,6.5538,37.536,11.529,84.9422,0,0,86.178824,0,0,0,40.189399,0,0,0,66.809429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,17.584,20.73185,0,147.515625,43.704,418.77

5,01:00-01:15,41.864567,688.249014,30.573593,19.143301,34.579194,43.050737,20.755001,0.814833,14.680103,16.588865,73.419873,93.324175,1.456306,54.915375,40.872774,657.89409,8.443451,1.00939,51.987209,125.295291,25.869661,0.60728,3.34799,112.379427,0.834938,119.5917,1.44175,42.14808,13.1076,37.536,11.529,84.9422,0,0,86.178824,0,0,0,41.305771,0,0,0,67.961315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,17.584,20.73185,0,147.515625,43.704,418.77

6,01:15-01:30,41.864567,688.249014,30.573593,19.143301,34.579194,43.050737,20.755001,0.814833,14.680103,16.588865,73.419873,93.324175,1.456306,54.915375,40.872774,657.89409,8.443451,1.00939,51.987209,125.295291,25.869661,0.60728,3.34799,112.379427,0.834938,119.5917,1.44175,42.14808,13.1076,37.536,3.843,84.9422,0,0,86.178824,0,0,0,41.305771,0,0,0,67.961315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,17.584,20.73185,0,147.515625,43.704,418.77

7,01:30-01:45,41.864567,688.249014,30.573593,19.143301,34.579194,43.050737,20.755001,0.814833,14.680103,16.588865,73.419873,93.324175,1.456306,54.915375,40.872774,657.89409,8.443451,1.00939,51.987209,125.295291,25.869661,0,3.34799,112.379427,0.834938,119.5917,1.44175,42.14808,13.1076,37.536,3.843,84.9422,0,0,86.178824,0,0,0,41.305771,0,0,0,67.961315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,17.584,20.73185,0,147.515625,43.704,418.77

8,01:45-02:00,41.864567,688.249014,30.573593,9.57165,34.579194,43.050737,20.755001,0.814833,14.680103,16.588865,73.419873,93.324175,1.456306,54.915375,40.872774,657.89409,8.443451,1.00939,51.987209,125.295291,25.869661,0,3.34799,112.379427,0.834938,119.5917,1.44175,42.14808,13.1076,37.536,3.843,84.9422,0,0,86.178824,0,0,0,41.305771,0,0,0,67.961315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,17.584,20.73185,0,147.515625,43.704,418.77

9,02:00-02:15,41.864567,688.249014,30.573593,9.57165,34.579194,43.050737,20.755001,0.814833,14.680103,16.588865,73.419873,93.324175,1.456306,54.915375,40.872774,657.89409,8.443451,1.00939,51.987209,125.295291,25.869661,0,3.34799,112.379427,0.834938,119.5917,1.44175,14.04936,13.1076,37.536,3.843,84.9422,0,0,86.178824,0,0,0,41.305771,0,0,0,67.961315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,17.584,20.73185,0,147.515625,43.704,418.77

10,02:15-02:30,41.864567,688.249014,30.573593,9.57165,34.579194,43.050737,20.755001,0.814833,14.680103,16.588865,73.419873,93.324175,1.456306,54.915375,40.872774,657.89409,8.443451,1.00939,51.987209,125.295291,25.869661,0,3.34799,112.379427,0.834938,119.5917,1.44175,14.04936,13.1076,39.744,3.843,84.9422,0,0,86.178824,0,0,0,41.305771,0,0,0,67.961315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,17.584,20.73185,0,147.515625,43.704,418.77

11,02:30-02:45,41.864567,688.249014,30.573593,19.143301,34.579194,43.050737,20.755001,0.814833,14.680103,16.588865,73.419873,93.324175,1.456306,54.915375,40.872774,657.89409,8.443451,1.00939,51.987209,125.295291,25.869661,0,3.34799,112.379427,0.834938,119.5917,1.44175,14.04936,13.1076,46.368,3.843,84.9422,0,0,86.178824,0,0,0,41.305771,0,0,0,67.961315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,17.584,20.73185,0,147.515625,43.704,418.77

12,02:45-03:00,41.864567,688.249014,30.573593,19.143301,34.579194,43.050737,20.755001,0.814833,14.680103,16.588865,73.419873,93.324175,1.456306,54.915375,40.872774,657.89409,8.443451,1.00939,51.987209,125.295291,25.869661,0,3.34799,112.379427,0.834938,119.5917,1.44175,14.04936,13.1076,46.368,3.843,84.9422,0,0,86.178824,0,0,0,41.305771,0,0,0,67.961315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,17.584,20.73185,0,147.515625,43.704,418.77

13,03:00-03:15,41.864567,688.249014,30.573593,19.143301,33.873497,43.050737,20.755001,0.814833,14.680103,16.588865,73.419873,93.324175,1.456306,54.915375,40.872774,657.89409,8.443451,1.00939,51.987209,125.295291,25.869661,0,3.34799,112.379427,0.834938,119.5917,1.44175,14.04936,13.1076,46.368,3.843,83.083,0,0,86.178824,0,0,0,41.305771,0,0,0,69.113202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,17.584,20.73185,0,147.515625,43.704,418.77

