Block,Time,CHAMERA1,DHAULIGNGA,PARBATI3,SALAL,SASAN,SEWA2,TALA,KGSU1AND2,KKNP,KOLDAM,NLCIIST1,NNTPP,RIHAND1,RSTPSU7,ANTA_RF,DADRI_RF,BRBCL,DULHASTI,KISHANGANGA,MAPS,RAPPC,TANAKPUR,TANDA2,UNCHAHAR4,ANTA_LF,CHAMERA2,JHAJJAR,KGSU3AND4,KOTESHWR,NLCEXP,NLCIIST2,NTPL,UNCHAHAR2,VALLURNTECL,AURY_CRF,FSTPP I & II,KHSTPP-I,KKNPPU2,RAMPUR,RIHAND3,RSTPSU1TO6,TALST2,UNCHAHAR1,UNCHAHAR3,ANTA_CRF,AURY_LF,DADRI_CRF,DADRI_GF,CHAMERA3,NAPP,RAPPB,SIMHST2,TEHRI,DADRI_LF,KHSTPP-II,KUDGI,NLCTS2EXP,RIHAND2,SINGRAULI_HYDRO,URI,URI2,ANTA_GF,AURY_GF,BSIUL,DADRT2,NJPC,SIMHST1,SINGRAULI,TelanganaSTPP,AURY_RF
1,00:00-00:15,28.1,40.4,21.08,83.67,342.56,0,10.29,0,0,5.35,0,0,90.54,0,48.150000000000006,74.61,20.01,53.79,1.44,0,60.23,11.15,2.89,1.62,0,44.22,413.81,0,28.98,0,0,0,43.71,0,0,20.8,44.31,0,3.54,127.6,0,0,9.9,27.05,0,0,0,0,32.08,44.86,0,0,34.01,0,98.87,0,0,121.71,0,40.85,36.05,0,0,13.04,686.07,167.1,0,89.59,0,61.5

2,00:15-00:30,28.1,40.4,21.08,83.67,342.56,0,10.29,0,0,5.35,0,0,90.54,0,48.150000000000006,74.61,20.01,53.79,1.44,0,60.23,11.15,2.89,1.62,0,44.22,413.81,0,28.98,0,0,0,43.71,0,0,20.8,44.31,0,3.54,127.6,0,0,9.9,27.05,0,0,0,0,32.08,44.86,0,0,34.01,0,98.87,0,0,121.71,0,40.85,36.05,0,0,13.04,686.07,167.1,0,89.59,0,61.5

3,00:30-00:45,0,40.4,15.46,83.67,342.56,0,10.29,0,0,5.35,0,0,90.54,0,48.150000000000006,74.61,20.01,53.79,1.44,0,60.23,11.15,2.89,1.62,0,44.22,413.81,0,28.98,0,0,0,43.71,0,0,20.8,44.31,0,3.54,127.6,0,0,9.9,27.05,0,0,0,0,32.08,44.86,0,0,34.01,0,98.87,0,0,121.71,0,39.75,36.05,0,0,13.04,686.07,167.1,0,89.59,0,61.5

4,00:45-01:00,0,40.4,15.46,83.67,342.56,0,10.44,0,0,5.35,0,0,90.54,0,48.150000000000006,74.61,20.01,53.79,1.44,0,60.23,11.15,2.89,1.62,0,44.22,413.81,0,28.98,0,0,0,43.71,0,0,20.8,44.31,0,3.54,127.6,0,0,9.9,27.05,0,0,0,0,32.08,44.86,0,0,34.01,0,98.87,0,0,121.71,0,39.75,36.05,0,0,13.04,686.07,167.1,0,89.59,0,61.5

5,01:00-01:15,0,40.4,15.46,83.67,342.56,0,10.44,0,0,5.35,0,0,90.54,0,48.150000000000006,74.61,20.01,53.79,1.44,0,60.23,11.15,2.89,1.62,0,44.22,413.81,0,28.98,0,0,0,43.71,0,0,20.8,44.31,0,3.54,127.6,0,0,9.9,27.05,0,0,0,0,32.08,44.86,0,0,34.01,0,98.87,0,0,121.71,0,39.75,36.05,0,0,6.52,686.07,167.1,0,89.59,0,61.5

6,01:15-01:30,0,40.4,15.46,83.67,342.56,0,10.44,0,0,5.35,0,0,90.54,0,48.150000000000006,74.61,20.01,53.79,1.44,0,60.23,11.15,2.89,1.62,0,44.22,413.81,0,28.98,0,0,0,43.71,0,0,20.8,44.31,0,3.54,127.6,0,0,9.9,27.05,0,0,0,0,32.08,44.86,0,0,34.01,0,98.87,0,0,121.71,0,39.75,36.05,0,0,6.52,686.07,167.1,0,89.59,0,61.5

7,01:30-01:45,0,40.4,16.87,83.67,342.56,0,10.58,0,0,5.35,0,0,90.54,0,48.150000000000006,74.61,20.01,53.79,1.44,0,60.23,11.15,2.89,1.62,0,44.22,413.81,0,28.98,0,0,0,43.71,0,0,20.8,44.31,0,3.54,127.6,0,0,9.9,27.05,0,0,0,0,32.08,44.86,0,0,34.01,0,98.87,0,0,121.71,0,39.75,32.51,0,0,6.52,686.07,167.1,0,89.59,0,61.5

8,01:45-02:00,0,40.4,16.87,83.67,342.56,0,10.58,0,0,5.35,0,0,90.54,0,48.150000000000006,74.61,20.01,53.79,1.44,0,60.23,11.15,2.89,1.62,0,44.22,413.81,0,28.98,0,0,0,43.71,0,0,20.8,44.31,0,3.54,127.6,0,0,9.9,27.05,0,0,0,0,32.08,44.86,0,0,34.01,0,98.87,0,0,121.71,0,39.75,32.51,0,0,6.52,686.07,167.1,0,89.59,0,61.5

