Block,Time,FSTPP I & II,TALA,KHSTPP-I,BRBCL,KHSTPP-II,SASAN,CHAMERA1,URI2,RIHAND2,TEHRI,AURY_GF,DADRT2,RIHAND1,KISHANGANGA,SEWA2,NJPC,AURY_CRF,NAPP,CHAMERA3,UNCHAHAR4,DADRI_GF,ANTA_LF,UNCHAHAR2,RAPPC,DADRI_CRF,URI,PARBATI3,UNCHAHAR3,CHAMERA2,TANAKPUR,JHAJJAR,UNCHAHAR1,KOLDAM,RIHAND3,TANDA2,SALAL,SINGRAULI,DADRI_LF,KOTESHWR,AURY_RF,RAPPB,RAMPUR,SINGRAULI_HYDRO,ANTA_CRF,DADRI_RF,DULHASTI,BSIUL,DHAULIGNGA,AURY_LF,ANTA_RF,ANTA_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,20.065760,0.000000,42.745857,19.281788,140.779829,401.556375,40.660253,36.552984,119.989386,0.000000,0.000000,663.819717,93.527665,8.046226,12.085185,173.609779,0.000000,45.985202,33.601710,2.980923,0.000000,0.000000,42.454694,65.266898,0.000000,35.145950,16.190769,26.654661,46.787784,3.707342,407.527868,21.828074,8.834430,125.970622,5.168948,80.710661,144.676831,0.000000,0.000000,0.000000,0.000000,6.507399,1.086435,0.000000,0.000000,57.086511,6.290616,41.999311,0.000000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,20.065760,0.000000,42.745857,17.769774,140.779829,401.556375,40.660253,36.552984,119.989386,0.000000,0.000000,663.819717,93.527665,8.046226,12.085185,173.609779,0.000000,45.985202,33.601710,2.980923,0.000000,0.000000,42.682573,65.266898,0.000000,35.145950,16.190769,26.654661,46.787784,3.707342,407.527868,21.828074,8.472919,125.970622,5.168948,80.710661,144.676831,0.000000,0.000000,0.000000,0.000000,6.507399,1.086435,0.000000,0.000000,57.086511,6.290616,41.999311,0.000000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,20.065760,0.000000,42.745857,15.020379,140.779829,401.556375,40.660253,36.552984,119.989386,0.000000,0.000000,663.819717,93.527665,8.046226,12.085185,173.609779,0.000000,45.985202,33.601710,2.980923,0.000000,0.000000,42.682573,65.266898,0.000000,35.145950,18.398602,26.654661,46.787784,3.707342,407.527868,21.828074,8.472919,125.970622,5.168948,80.710661,144.676831,0.000000,0.000000,0.000000,0.000000,6.507399,1.086435,0.000000,0.000000,57.086511,6.290616,41.999311,0.000000,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,20.065760,0.000000,42.745857,11.721105,140.779829,401.556375,27.106835,36.552984,119.989386,0.000000,0.000000,663.819717,93.527665,8.046226,12.085185,173.609779,0.000000,45.985202,33.601710,2.980923,0.000000,0.000000,42.682573,65.266898,0.000000,35.145950,18.398602,26.654661,46.787784,3.707342,407.527868,21.828074,8.472919,125.970622,5.168948,80.710661,144.676831,0.000000,0.000000,0.000000,0.000000,6.507399,1.086435,0.000000,0.000000,57.086511,6.290616,41.999311,0.000000,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,20.065760,0.000000,42.745857,12.049103,140.779829,401.556375,27.106835,36.552984,119.989386,0.000000,0.000000,663.819717,93.527665,8.046226,12.085185,173.609779,0.000000,45.985202,33.601710,2.980923,0.000000,0.000000,42.682573,65.266898,0.000000,35.145950,18.398602,26.654661,46.787784,4.943123,407.527868,21.828074,5.648613,125.970622,5.168948,78.468698,137.508179,0.000000,0.000000,0.000000,0.000000,6.507399,1.086435,0.000000,0.000000,57.086511,6.290616,41.999311,0.000000,0.000000,0.000000,0,0,0,0,0

