Block,Time Block,VALLURNTECL,KGSU1AND2,KOTESHWR,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,JHAJJAR,KHSTPP-I,PARBATI3,NLCTS2EXP,PARBATI2,RAMPUR,NNTPP,NTPL,NLCIIST2,UNCHAHAR1,TEHRI,TelanganaSTPP,UNCHAHAR2,TEHRIPSP,URI,UNCHAHAR3,UNCHAHAR4,URI2,BRBCL,CHAMERA1,BSIUL,DADRT2,FSTPP I & II,DHAULIGNGA,DULHASTI,RIHAND2,SASAN,TANDA2,RIHAND1,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,SIMHST2,TALST2,RSTPSU7,SEWA2,SINGRAULI,TANAKPUR,SALAL,RIHAND3,TALA,CHAMERA3,CHAMERA2,DADRI_LF,DADRI_RF,AURY_GF,DADRI_CRF,ANTA_GF,AURY_CRF,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,NLCEXP,NJPC,NLCIIST1,NAPP,RAPPD,RAPPC,RAPPB,KUDGI,MAPS,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,43.52,0,47.71,0,0,8.33,6.73,430.77,43.95,31.57,0,37.37,5.48,0,0,0,20.49,73.55,0,41.65,185.89,27.71,25.77,1.76,36.11,18.25,40.69,18.88,380.69,19.6,40.99,36.99,96.23,401.77,2.94,45.65,0,0,0,0,0,0,17.7,95.33,12.66,81.89,126.3,23.27,32.77,45.48,0,0,0,0,0,0,0,0,0,0,0,0,0,169.7,0,23.51,38.58,63.16,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,43.52,0,47.71,0,0,8.33,6.73,417.5,43.95,31.57,0,37.37,5.48,0,0,0,20.49,73.55,0,41.65,185.89,27.71,25.77,1.76,36.11,14.6,40.69,18.88,381.02,19.6,40.99,36.99,101.54,401.81,2.94,45.65,0,0,0,0,0,0,17.7,95.33,12.66,81.89,126.3,23.27,32.77,45.48,0,0,0,0,0,0,0,0,0,0,0,0,0,169.7,0,23.51,38.58,63.16,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,43.52,0,47.71,0,0,8.33,6.73,385.7,43.95,31.57,0,37.37,5.48,0,0,0,20.49,73.55,0,41.65,185.89,29.84,25.77,1.71,36.11,12.92,40.69,18.88,355.38,19.6,40.99,36.99,107.96,401.81,2.94,45.65,0,0,0,0,0,0,17.7,95.33,12.66,81.89,126.3,23.39,32.77,45.48,0,0,0,0,0,0,0,0,0,0,0,0,0,169.7,0,23.51,38.58,63.16,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,43.52,0,47.71,0,0,8.33,6.73,360.78,43.95,31.57,0,37.37,5.48,0,0,0,20.49,73.55,0,41.65,185.89,29.84,25.77,1.71,36.11,13.14,40.69,18.88,344.76,19.6,40.99,36.99,114.38,401.81,2.94,45.65,0,0,0,0,0,0,17.7,95.33,12.66,81.89,126.3,23.41,32.77,45.48,0,0,0,0,0,0,0,0,0,0,0,0,0,169.7,0,23.51,38.58,63.16,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,43.52,0,47.71,0,0,8.33,6.73,316.12,43.95,32.3,0,37.37,5.48,0,0,0,20.49,73.55,0,41.65,185.89,29.84,25.77,1.71,36.11,12.59,40.69,18.88,303.75,19.6,40.99,36.99,120.14,401.81,2.94,45.65,0,0,0,0,0,0,17.7,95.33,12.66,81.89,126.3,23.52,32.77,45.48,0,0,0,0,0,0,0,0,0,0,0,0,0,169.7,0,23.51,38.58,63.16,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,43.52,0,47.71,0,0,8.33,6.73,287.96,43.95,32.3,0,37.37,5.48,0,0,0,20.49,73.55,0,41.65,185.89,29.84,25.77,1.71,36.11,11.21,40.69,18.88,241.77,19.6,40.99,36.99,120.92,401.81,2.94,45.65,0,0,0,0,0,0,17.7,95.33,12.66,81.89,126.3,23.55,32.77,45.48,0,0,0,0,0,0,0,0,0,0,0,0,0,169.7,0,23.51,38.58,63.16,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,43.52,0,47.71,0,0,8.33,4.49,269.14,43.95,32.3,0,37.37,5.48,0,0,0,20.49,73.55,0,41.65,185.89,27.71,25.77,1.71,36.11,11.01,40.69,18.88,176.73,19.6,40.99,36.99,120.92,401.81,2.94,45.65,0,0,0,0,0,0,17.7,95.33,12.66,81.89,126.3,23.59,32.77,45.48,0,0,0,0,0,0,0,0,0,0,0,0,0,169.7,0,23.51,38.58,63.16,0,0,0,0,0,0,0,0

