Column1,Block,GNA/NR/2025/04/01/6490,GNA/WR/2025/04/01/4420,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/6216,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/SR/2025/04/01/2597,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/62291,NR/2025/25791/A/62737,WR/2025/27369/A/62806,WR/2025/27350/A/62401,NR/2025/25901/C,WR/2025/27361/A/62834,NR/2025/25790/A/62739,NR/2025/25792/A/62736,NR/2025/25794/A/62733,NR/2025/25886/A/62432,NR/2025/25828/A/62403,NR/2025/25795/A/62732,Total
,,HPXL,IVPL_Trader,DELHI,IEXL,IEXL,IEXL,PXIL,IEXL,NDMC,IEXL,IEXL,BAWANA_GAS,PUNJAB,APPCPL,SECI_Trader,IEXL,APPCPL,MANIKARAN,KEIPL,TPDDL,APPCPL,APPCPL,APPCPL,APPCPL,DIAPL,DIAPL,APPCPL,
,,CSEB_State,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,SIKKIM_STATE,SIKKIM_STATE,UTTARPRADESH_STATE,SIKKIM_STATE,NA,HIMACHAL_STATE,SIKKIM_STATE,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,NA,
,,MSPLTD,BYPL,CHANJUII,RHPPL_HP,RCHEP,Kalez_Khola_HEP,LAPL_UP,MEYONGCHU_HEP,JPL2,KGEPL_HP,LLHEP1234,BAWANA_GAS,BAWANA_GAS,BYPL,APSEPL_FTG,TPSL_BKN2,JIPL,BYPL,BYPL,JHAJJAR,BYPL,SKS_Raigarh,RKM_POWER,RKM_POWER,GBHHPL,GBHHPL,TRN_ENERGY,
,,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,TPC_MSEB,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,HARYANA,PUNJAB,KSEB,TPDDL,MES_Delhi,NDMC,CSEB_Beneficiary,CSEB_Beneficiary,TPDDL,CSEB_Beneficiary,NDMC,NDMC,NDMC,DIAPL,DIAPL,NDMC,
,,West-North,North-West,North-North,North-North,East-North,East-North,North-North,East-North,West-North,North-North,East-North,North-North,North-North,North-West-South,North-North,North-North,East-North,North-West,North-West,North-North,North-West,West-North,West-North,West-North,North-North,North-North,West-North,
1,00:00-00:15,9.62,0,11.42,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,32,32,52.5,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,743.6499999999997

2,00:15-00:30,9.62,0,11.42,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,32,32,52.5,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,743.6499999999997

3,00:30-00:45,9.62,0,11.42,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,32,32,52.5,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,743.6499999999997

4,00:45-01:00,9.62,0,11.42,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,32,32,52.5,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,743.6499999999997

5,01:00-01:15,9.62,0,11.42,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,0,32,52.5,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,711.6499999999997

6,01:15-01:30,9.62,0,11.42,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,0,32,52.5,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,711.6499999999997

7,01:30-01:45,9.62,0,11.42,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,0,30.5,52.5,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,710.1499999999997

8,01:45-02:00,9.62,0,11.42,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,0,30.5,52.5,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,710.1499999999997

9,02:00-02:15,9.62,0,11.33,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,21.55,30.5,0,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,679.1099999999998

10,02:15-02:30,9.62,0,11.33,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,21.55,30.5,0,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,679.1099999999998

11,02:30-02:45,9.62,0,10.4,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,21.55,26.95,0,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,674.6299999999998

12,02:45-03:00,9.62,0,10.4,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,21.55,26.95,0,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,674.6299999999998

13,03:00-03:15,9.62,0,10.4,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,25.98,26.95,0,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,679.0599999999998

14,03:15-03:30,9.62,0,10.4,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,25.98,26.95,0,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,679.0599999999998

15,03:30-03:45,9.62,0,10.4,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,26.95,26.95,0,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,680.0299999999999

16,03:45-04:00,9.62,0,10.4,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,26.95,26.95,0,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,680.0299999999999

17,04:00-04:15,9.62,0,10.32,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,26.95,26.95,0,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,679.9499999999999

18,04:15-04:30,9.62,0,10.32,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,26.95,26.95,0,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,679.9499999999999

19,04:30-04:45,9.62,0,10.32,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,26.95,26.95,0,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,679.9499999999999

20,04:45-05:00,9.62,0,10.32,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,26.95,26.95,0,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,679.9499999999999

21,05:00-05:15,9.62,0,10.22,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,30.5,25.98,0,0,0,14.3,48.12,144.38,163.62,48.12,10.93,32.81,32.81,0,0,10.93,682.43

22,05:15-05:30,9.62,0,10.22,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,30.5,25.98,0,0,0,14.3,48.12,144.38,173.25,48.12,10.93,32.81,32.81,0,0,10.93,692.0599999999998

23,05:30-05:45,9.62,0,10.22,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,30.5,25.98,0,0,0,14.3,48.12,144.38,173.25,48.12,10.93,32.81,32.81,0,0,10.93,692.0599999999998

24,05:45-06:00,9.62,0,10.22,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,30.5,9.26,0,0,0,14.3,48.12,144.38,173.25,48.12,10.93,32.81,32.81,0,0,10.93,675.3399999999998

25,06:00-06:15,9.62,0,10.14,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,30.5,9.26,0,0,0,14.3,48.12,144.38,173.25,48.12,10.93,32.81,32.81,0,0,10.93,675.2599999999999

26,06:15-06:30,9.62,0,10.14,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,30.5,9.26,0,0.39,0,14.3,48.12,144.38,173.25,48.12,10.93,32.81,32.81,0,0,10.93,675.6499999999997

27,06:30-06:45,9.62,0,10.14,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,30.5,9.26,0,0.16,0,14.3,48.12,144.38,173.25,48.12,10.93,32.81,32.81,0,0,10.93,675.42

28,06:45-07:00,9.62,0,10.14,1.92,2.89,2.89,48.12,2.89,22.14,9.62,9.62,30.5,9.26,0,1.42,0,14.3,48.12,144.38,173.25,48.12,10.93,32.81,32.81,0,0,10.93,676.68

