Time,Block,NR/2023/11476/A,NR/2023/10487/A,NR/2023/11941/F,NR/2023/12197/D,NR/2023/12217/C,NR/2023/12215/C,NR/2023/11963/F,NR/2023/10613/A,NR/2023/12214/C,NR/2023/11958/F,NR/2023/12211/C,NR/2023/12201/D,NR/2023/10344/A,NR/2023/12205/C,NR/2023/12195/D,NR/2023/11960/F,NR/2023/11957/F,NR/2023/10236/A,NR/2023/11956/F,NR/2023/11862/F,NR/2023/11952/F,NR/2023/11961/F,NR/2023/10229/A,NR/2023/11947/F,NR/2023/11342/A,NR/2023/11962/F,NR/2023/11959/F,NR/2023/11955/F,NR/2023/12191/D,Total
,,IEXL,TPTCL,NVVNL,NVVNL,IEXL,TPDDL,SHPPBPL,APPCPL,PXIL,SHPPBPL,PXIL,TS1PL_BKN,BYPL,GBHHPL,TS1PL_BKN,SHPPBPL,SHPPBPL,NVVNL,SHPPBPL,APPCPL,KEIPL,SHPPBPL,NVVNL,HPXL,IEXL,SHPPBPL,SHPPBPL,SHPPBPL,NVVNL,Total

,,NA,NA,NA,NA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,NAGALAND,DELHI,HIMACHAL PRADESH,DELHI,NA,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MANIPUR,MEGHALAYA,HIMACHAL PRADESH,NA,MAHARASHTRA,TELANGANA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,
,,JSPL_DCPP,APNRL,SKS Raigarh,SOLAPUR_SOLAR,BYPL,CHANJUII,SHPPBPL,Nagaland_Ben,BYPL,SHPPBPL,BYPL,TS1PL_BKN,Meghalaya_Ben,GBHHPL,TS1PL_BKN,SHPPBPL,SHPPBPL,ILFS,SHPPBPL,Manipur_Ben,Meghalaya_Ben,SHPPBPL,JPNIGRIE_JNSTPP,B_S_ISPAT_MH,NAVABHARAT,SHPPBPL,SHPPBPL,SHPPBPL,KAMENG,
,,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,TPDDL,NDMC,MES (Delhi),AMBASTL,TPDDL,UHL,BYPL,TISCL_UP,AISHER,ASIL_UP,BRPL,BYPL,DIAPL,BYPL,MAX-HPTL,BAL234,BRPL,BAL224,STT,BYPL,JHPL-DL,BRPL,NDMC,BRPL,MHIL,BMDRC,BAL184,TPDDL,
,,West-North,East-North,West-North,West-North,North-North,North-North,North-North,North East-East-North,North-North,North-North,North-North,North-North,North East-East-North,North-North,North-North,North-North,North-North,South-West-North,North-North,North East-East-North,North East-East-North,North-North,West-North,West-North,South-West-North,North-North,North-North,North-North,North East-East-North,
1,00:00-00:15,48.320000,41.560000,62.820000,0,0.000000,15.040000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,710.97

2,00:15-00:30,48.320000,41.560000,62.820000,0,0.000000,15.040000,0.420000,12.660000,0.000000,0.560000,0.000000,0,12.250000,26.490000,0,0.640000,0.720000,214.830000,0.370000,2.900000,36.470000,0.700000,42.970000,6.770000,115.980000,0.420000,0.640000,0.360000,67.080000,710.97
