Block,Time,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_36,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07)
1,00:00-00:15,24.710000,0.000000,101.410000,74.240000,272.310000,212.040000,2.490000,0.000000,24.710000,2.930000,27.110000,0.000000,0.000000,2.390000,118.510000,0,0,0,0,8.49,10.16,0,30.49,0,0,30.21,5.01,0,30.21,0,0,10.17,0,0

2,00:15-00:30,24.710000,0.000000,101.410000,74.240000,272.310000,212.040000,2.490000,0.000000,24.710000,2.930000,27.110000,0.000000,0.000000,2.390000,118.510000,0,0,0,0,8.1,9.92,0,29.77,0,0,28.58,5.01,0,28.58,0,0,9.93,0,0

3,00:30-00:45,24.710000,0.000000,101.410000,74.240000,272.310000,212.040000,2.490000,0.000000,24.710000,2.930000,27.110000,0.000000,0.000000,2.390000,118.510000,0,0,0,0,7.99,9.74,0,29.23,0,0,27.54,5.01,0,27.54,0,0,9.74,0,0

4,00:45-01:00,24.710000,0.000000,101.410000,74.240000,272.310000,212.040000,2.490000,0.000000,24.710000,2.930000,27.110000,0.000000,0.000000,2.390000,118.510000,0,0,0,0,7.73,9.61,0,28.83,0,0,26.45,5.01,0,26.45,0,0,9.6,0,0

5,01:00-01:15,26.130000,0.000000,101.410000,74.240000,272.310000,212.040000,2.490000,0.000000,26.130000,2.930000,27.110000,0.000000,0.000000,2.390000,118.510000,0,0,0,0,7.49,9.37,0,28.11,0,0,24.49,5.01,0,24.49,0,0,9.36,0,0

6,01:15-01:30,26.130000,0.000000,101.410000,74.240000,272.310000,212.040000,2.490000,0.000000,26.130000,2.930000,27.110000,0.000000,0.000000,2.390000,96.820000,0,0,0,0,7.07,9.22,0,27.66,0,0,22.62,5.01,0,22.62,0,0,9.22,0,0

7,01:30-01:45,26.130000,0.000000,101.410000,74.240000,272.310000,212.040000,2.490000,0.000000,26.130000,2.930000,27.110000,0.000000,0.000000,2.390000,96.820000,0,0,0,0,7,8.74,0,26.23,0,0,20.16,5.01,0,20.16,0,0,8.74,0,0

8,01:45-02:00,26.130000,0.000000,101.410000,65.060000,272.310000,212.040000,2.490000,0.000000,26.130000,2.930000,27.110000,0.000000,0.000000,2.390000,96.820000,0,0,0,0,7,8.46,0,25.39,0,0,26.75,4,0,26.75,0,0,8.47,0,0

