Block,Time,CHAMERA3,DHAULIGNGA,CHAMERA2,DADRT2,JHAJJAR,DULHASTI,UNCHAHAR3,URI2,UNCHAHAR4,KOLDAM,PARBATI3,SINGRAULI,RAMPUR,RIHAND2,TANDA2,SEWA2,UNCHAHAR2,NJPC,RIHAND1,KISHANGANGA,RAPPC,NAPP,UNCHAHAR1,KOTESHWR,SINGRAULI_HYDRO,RIHAND3,TEHRI,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,SASAN
1,00:00-00:15,29.062808,36.5917,39.51012,686.749957,653.1525,49.436556,26.29091,20.178,0,0,0,139.3125,0,89.46,0,10.55736,21.196098,152.9405,92,0,51.0138,38.1276,19.985,26.622,0,123.665625,45.36,42.14808,1.1,26.496,13.3224,85.988,0,0,35.7,0,0,0,0,0,63.531,0,40.004,0,40.004,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,31.564,147.515625,24.99,16.0454,14.253199,414

2,00:15-00:30,29.062808,36.5917,39.51012,686.379957,653.1525,49.436556,26.39091,20.178,0,0,0,139.3125,0,89.46,0,10.55736,21.196098,152.9405,92,0,51.0138,38.1276,19.985,26.622,0,123.665625,45.36,42.14808,1.1,26.496,13.3224,85.988,0,0,35.7,0,0,0,0,0,63.531,0,40.004,0,40.004,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,31.564,147.515625,24.99,16.0454,14.253199,414

3,00:30-00:45,29.062808,36.5917,39.51012,686.779957,653.1525,49.436556,26.39091,20.178,0,0,0,139.3125,0,89.46,0,10.55736,21.196098,152.9405,92,0,51.0138,38.1276,19.985,26.622,0,123.665625,45.36,42.14808,1.1,26.496,13.3224,85.988,0,0,35.7,0,0,0,0,0,63.531,0,40.004,0,40.004,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,31.564,147.515625,24.99,16.0454,14.253199,414

4,00:45-01:00,29.062808,36.5917,39.51012,686.779957,653.1525,49.436556,26.39091,20.178,0,0,0,139.3125,0,89.46,0,10.55736,21.196098,152.9405,92,0,51.0138,38.1276,19.985,26.622,0,123.665625,45.36,42.14808,1.1,26.496,13.3224,85.988,0,0,35.7,0,0,0,0,0,63.531,0,40.004,0,40.004,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,31.564,147.515625,24.99,16.0454,14.253199,414

5,01:00-01:15,29.062808,36.5917,39.51012,686.779957,653.1525,49.436556,26.39091,20.178,0,0,0,139.3125,0,89.46,0,10.55736,21.196098,152.9405,92,0,51.0138,38.1276,19.985,26.622,0,123.665625,45.36,42.14808,6.5208,26.496,13.3224,85.988,0,0,35.7,0,0,0,0,0,63.531,0,40.004,0,40.004,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,31.564,147.515625,24.99,16.0454,14.253199,412.875

6,01:15-01:30,29.062808,36.5917,39.51012,686.779957,653.1525,49.436556,26.39091,20.178,0,0,0,139.3125,0,89.46,0,10.55736,21.196098,152.9405,92,0,51.0138,38.1276,19.985,26.622,0,123.665625,45.36,42.14808,6.5208,26.496,13.3224,85.988,0,0,35.7,0,0,0,0,0,63.531,0,40.004,0,40.004,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,31.564,147.515625,24.99,16.0454,14.253199,412.875

7,01:30-01:45,29.062808,36.5917,39.51012,686.779957,653.1525,49.436556,26.39091,20.178,0,0,0,139.3125,0,89.46,0,10.55736,21.196098,152.9405,92,0,51.0138,38.1276,19.985,26.622,0,123.665625,45.36,42.14808,6.5208,26.496,13.3224,85.988,0,0,35.7,0,0,0,0,0,63.531,0,40.004,0,40.004,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,31.564,147.515625,24.99,16.0454,14.253199,412.875

8,01:45-02:00,29.062808,36.5917,39.51012,686.779957,653.1525,49.436556,26.39091,20.178,0,0,0,139.3125,0,89.46,0,10.55736,21.196098,152.9405,92,0,51.0138,38.1276,19.985,26.622,0,123.665625,45.36,42.14808,6.5208,26.496,13.3224,85.988,0,0,35.7,0,0,0,0,0,63.531,0,40.004,0,40.004,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,31.564,147.515625,24.99,16.0454,14.253199,412.875

9,02:00-02:15,29.062808,36.5917,39.51012,686.779957,653.1525,49.436556,26.39091,20.178,0,0,0,139.3125,0,89.46,0,10.55736,21.196098,152.9405,92,0,51.0138,38.1276,19.985,26.622,0,123.665625,45.36,42.14808,6.5208,46.368,13.3224,85.988,0,0,36.75,0,0,0,0,0,63.531,0,40.004,0,40.004,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,31.564,147.515625,24.99,16.0454,14.253199,412.875

