Block,Time Block,KOLDAM,KISHANGANGA,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KUDGI,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,BSIUL,BRBCL,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,KHSTPP-I,URI,AURY_CRF,VALLURNTECL,UNCHAHAR4,ANTA_LF,ANTA_CRF,URI2,ANTA_GF,ANTA_RF,CHAMERA3,CHAMERA2,DADRT2,CHAMERA1,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,UNCHAHAR1,RIHAND3,RSTPSU7,SALAL,RIHAND2,RIHAND1,SEWA2,RSTPSU1TO6,RAPPC,SASAN,SIMHST1,RAPPB,TALST2,TANAKPUR,TALA,TEHRI,SINGRAULI_HYDRO,SIMHST2,TANDA2,SINGRAULI,NLCIIST2,NNTPP,MAPS,NAPP,NLCIIST1,NJPC,NLCEXP,NLCTS2EXP,NTPL,PARBATI3,RAMPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,8.51,114.16,0,0,0,0,10.96,15.79,345.07,0,0,0,19.16,0,0,0,0,0,0,0,22.55,1.06,0,0,0,0,0,4.13,0,0,0,0,404.73,0,13.9,0,22.33,5.52,119.1,0,1.34,91.58,60.67,0,0,24.79,398.01,0,0,0,5.52,0,0,0,0,0,110.24,0,0,0,42.35,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,8.51,93.57,0,0,0,0,10.96,15.79,345.07,0,0,0,19.16,0,0,0,0,0,0,0,18.34,1.06,0,0,0,0,0,4.13,0,0,0,0,364.04,0,13.9,0,22.33,5.52,119.1,0,1.34,91.58,60.67,0,0,24.79,398.77,0,0,0,5.52,0,0,0,0,0,110.24,0,0,0,42.35,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,8.51,78.14,0,0,0,0,10.96,15.79,345.07,0,0,0,19.16,0,0,0,0,0,0,0,18.34,1.06,0,0,0,0,0,4.13,0,0,0,0,264.41,0,13.9,0,22.33,5.52,119.1,0,1.34,113.76,60.67,0,0,24.79,398.77,0,0,0,5.52,0,0,0,0,0,110.24,0,0,0,42.35,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,8.51,78.14,0,0,0,0,10.96,15.79,345.07,0,0,0,17.72,0,0,0,0,0,0,0,18.34,1.06,0,0,0,0,0,4.13,0,0,0,0,264.41,0,13.9,0,22.33,5.52,119.1,0,1.34,113.76,60.67,0,0,24.79,398.77,0,0,0,5.52,0,0,0,0,0,110.24,0,0,0,42.35,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,8.51,78.14,0,0,0,0,10.96,15.79,345.07,0,0,0,16.87,0,0,0,0,0,0,0,18.34,1.06,0,0,0,0,0,4.13,0,0,0,0,264.41,0,13.9,0,22.33,5.52,119.1,0,1.34,113.76,88.14,0,0,24.79,398.77,0,0,0,5.52,0,0,0,0,0,110.24,0,0,0,42.35,0,0,0,0,0,0,0,0,0,0,0,0

