Column1,Block,NR/2024/23218/C,NR/2024/23038/A/38040,NR/2024/23209/C,NR/2024/23194/C,NR/2024/23210/C,NR/2024/23118/A/38303,NR/2024/22874/A/38312,NR/2024/23202/C,NR/2024/22754/A/38292,NR/2024/22820/A/38044,NR/2024/22803/A/38314,NR/2024/23119/A/38304,NR/2024/23017/A/38093,NR/2024/23121/A/38305,NR/2024/21658/A/38054,NR/2024/23122/A/38307,NR/2024/22848/A/38302,NR/2024/22835/A/38348,NR/2024/23116/A/38085,NR/2024/23115/A/38086,GNARE/SR/2024/09/21/2911,NR/2024/23208/C,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/21/4323,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/21/8479,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/16/2535,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,Total
,,IEXL,IEXL,NVVNL,TPDDL,NVVNL,NVVNL,NVVNL,TPDDL,PTC,IEXL,NVVNL,NVVNL,DIAPL,NVVNL,ITCLH,NVVNL,APPCPL,MANIKARAN,SJVNL,SJVNL,IEXL,NVVNL,DELHI,IEXL,PUNJAB,JITPL,APPCPL,MANIKARAN,HPXL,MANIKARAN,PTC,BAWANA_GAS,DELHI,INSTINCT,TPTCL,
,,MP_State,MSEB_State,NA,NA,NA,NA,MP_State,NA,HIMACHAL_STATE,KARNATAKA_STATE,NA,NA,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,NA,UTTARAKHAND_STATE,MSEB_State,NA,NA,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,Arunachal_State,MP_State,NA,ODISHA_STATE,HIMACHAL_STATE,DELHI_UT,HIMACHAL_STATE,NA,NA,
,,Continuum_WFDPL_MP,A_A_Energy_MH_Bio,Kameng,JHAJJAR,SORANG_HEP,TRN_ENERGY,JP_BINA,JHAJJAR,HP,NSLSUGAR,JPNIGRIE_JNSTPP,RKM_POWER,GBHHPL,RKM_POWER,ITCWIND,JPL2,UTTARAKHAND,AEML,TPSL_BKN2,RSRPL_BKN,HIRIYUR_OSTROKANNADA,SOLAPUR_SOLAR,SKS_Raigarh,HP,BAWANA_GAS,JITPL,Arunachal_Ben,BLAPOWER_MP,SINGOLI,MAADURGA_THERMAL,HP,BAWANA_GAS,CHANJUII,JPL2,JITPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,MES_Delhi,TPDDL,TPDDL,TPDDL,NDMC,TPDDL,TPDDL,BYPL,MES_Delhi,TPDDL,NDMC,DIAPL,NDMC,ITCLH,NDMC,BYPL,BYPL,NDMC,NDMC,BRPL,MES_Delhi,NDMC,BRPL,PUNJAB,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,TPDDL,BRPL,BRPL,
,,West-North,West-North,North East-East-North,North-North,North-North,West-North,West-North,North-North,North-North,South-West-North,West-North,West-North,North-North,West-North,South-West-North,West-North,North-North,West-North,North-North,North-North,South-East-North,West-North,West-North,North-North,North-North,East-North,North East-East-North,West-North,North-North,East-North,North-North,North-North,North-North,West-North,East-North,
1,00:00-00:15,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.87,26.43,84.49,91.1,0,0,0,0,8.81,0,30,17.52,32.95,18.51,0,2.13,145.38,0,11.11,82.38,20.6,1102.1

2,00:15-00:30,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.87,26.43,84.49,91.1,0,0,0,0,8.81,0,30,17.52,32.95,18.51,0,2.13,145.38,0,11.11,82.38,20.6,1102.1

3,00:30-00:45,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.87,26.43,84.49,91.1,0,0,0,0,8.81,0,30,17.52,32.95,18.51,0,2.13,145.38,30,11.11,82.38,20.6,1132.1

4,00:45-01:00,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.87,26.43,84.49,91.1,0,0,0,0,8.81,0,30,17.52,32.95,18.51,0,2.13,145.38,30,11.11,82.38,20.6,1132.1

5,01:00-01:15,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.68,26.43,84.49,91.1,0,0,0,0,8.81,0,30,17.52,32.95,18.51,0,2.13,145.38,30,10.91,82.38,20.6,1131.71

6,01:15-01:30,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.68,26.43,84.49,91.1,0,0,0,0,8.81,0,30,17.52,32.95,18.51,0,2.13,145.38,30,10.91,82.38,20.6,1131.71

7,01:30-01:45,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.68,26.43,84.49,91.1,0,0,0,0,8.81,0,30,17.52,32.95,18.51,0,2.13,145.38,30,10.91,82.38,20.6,1131.71

8,01:45-02:00,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.68,26.43,84.49,91.1,0,0,0,0,8.81,0,30,17.52,32.95,18.51,0,2.13,145.38,30,10.91,82.38,20.6,1131.71

9,02:00-02:15,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.68,26.43,84.49,91.1,0,0,0,0,8.81,0,0,17.52,32.95,18.51,0,2.13,145.38,32,10.83,82.38,20.6,1103.6299999999999

10,02:15-02:30,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.68,26.43,84.49,91.1,0,0,0,0,8.81,0,0,17.52,32.95,18.51,0,2.13,145.38,32,10.83,82.38,20.6,1103.6299999999999

11,02:30-02:45,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.68,26.43,84.49,91.1,0,0,0,0,8.81,0,3.4,17.52,32.95,18.51,0,2.13,145.38,3.4,10.83,82.38,20.6,1078.4299999999998

12,02:45-03:00,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.68,26.43,84.49,91.1,0,0,0,0,8.81,0,3.4,17.52,32.95,18.51,0,2.13,145.38,3.4,10.83,82.38,20.6,1078.4299999999998

13,03:00-03:15,0,3.88,163.36,0,30.05,8.81,32.44,127.93,48.46,4.85,48.46,26.43,8.72,26.43,0.63,26.43,84.49,91.1,0,0,0,0,8.81,0,3.4,17.52,0,18.51,0,2.13,145.38,3.4,10.73,82.38,20.6,1045.33

