Block,Time,WR/01102023/24112044/L_NR_2020_07,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01102023/31052040/LT-31,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/06022042/L_NR_2012_07,NR/01012024/31032024/ ChanjuII,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01012024/31012024/HP-28,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,NR/31012024/31012024/IEX-240130_06237,NR/01012024/31012024/HP-26,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,NR/01102023/05012040/L_NR_2020_02,NR/01102023/25122043/GNA_MEJA_DELHI,NR/05012024/31012024/SJVN050124NR1342,NR/05012024/31012024/SJVN050124NR1341,NR/01102023/06022042/L_NR_2012_02,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02012046/L_NR_2021_17,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/23072042/L_NR_2012_04,NR/01012024/31012024/HP-27,SR/01102023/07102043/L_NR_2018_61,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/30042040/GNA_LT_35,NR/31012024/31012024/HPX-TAMCTG-300124-05987,NR/01102023/02122045/L_NR_2021_13,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/31012024/31012024/IEX-240130-06234,NR/01012024/31012024/52,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/06012024/31012024/NVVN/OA/16855
1,00:00-00:15,15.06,0,0,0.000000,0,0,0,48.100000,57.350000,1.380000,18.280000,24.520000,45.17,11.91,0,0,0,8.180000,6.730000,15.04,0,0.000000,152.460000,53.870000,39.53,0,0,0,1.340000,0.000000,0,0,191.660000,39.53,0,65.980000,30.780000,0.950000,270.560000,57.290000,13.31,11.540000,0.000000,0.000000,0,0.650000,0.000000,30.780000,5.770000,0.000000,0.000000,23.090000,48.100000

2,00:15-00:30,14.47,0,0,0.000000,0,0,0,48.100000,40.220000,1.380000,18.280000,24.520000,43.42,11.7,0,0,0,8.180000,6.730000,14.47,0,0.000000,152.460000,53.870000,38.69,0,0,0,1.340000,0.000000,0,0,171.240000,38.69,0,65.980000,30.780000,0.950000,270.560000,57.290000,12.93,11.540000,0.000000,0.000000,0,0.650000,0.000000,30.780000,5.770000,0.000000,0.000000,23.090000,48.100000

3,00:30-00:45,14.08,0,0,0.000000,0,0,0,48.100000,40.220000,1.380000,18.280000,24.520000,42.24,11.71,0,0,0,8.180000,6.730000,14.07,0,0.000000,152.460000,53.870000,37.96,0,0,0,1.340000,0.000000,0,0,138.800000,37.96,0,70.130000,25.010000,0.950000,270.560000,57.290000,9.66,11.540000,0.000000,0.000000,0,0.650000,0.000000,25.010000,5.770000,0.000000,0.000000,23.090000,48.100000

4,00:45-01:00,13.72,0,0,0.000000,0,0,0,48.100000,40.220000,1.380000,18.280000,24.520000,41.17,11.73,0,0,0,8.180000,6.730000,13.73,0,0.000000,152.460000,53.870000,36.66,0,0,0,1.340000,0.000000,0,0,138.800000,36.66,0,70.130000,25.010000,0.950000,270.560000,57.290000,9.32,11.540000,0.000000,0.000000,0,0.650000,0.000000,25.010000,5.770000,0.000000,0.000000,23.090000,48.100000

5,01:00-01:15,13.36,0,0,0.000000,0,0,0,48.100000,40.220000,1.290000,18.280000,24.520000,40.09,11.62,0,0,0,8.180000,6.730000,13.37,0,0.000000,152.460000,53.870000,34.44,0,0,0,1.340000,0.000000,0,0,124.370000,34.44,0,70.130000,25.010000,0.950000,230.880000,57.290000,8.86,11.540000,0.000000,0.000000,0,0.650000,0.000000,25.010000,5.770000,0.000000,0.000000,23.090000,48.100000

6,01:15-01:30,12.96,0,0,0.000000,0,0,0,48.100000,40.220000,1.290000,18.280000,24.520000,38.89,11.53,0,0,0,8.180000,6.730000,12.97,0,0.000000,152.460000,53.870000,33.27,0,0,0,1.340000,0.000000,0,0,124.370000,33.27,0,70.130000,25.010000,0.950000,192.400000,57.290000,8.46,11.540000,0.000000,0.000000,0,0.650000,0.000000,25.010000,5.770000,0.000000,0.000000,23.090000,48.100000

7,01:30-01:45,12.57,0,0,0.000000,0,0,0,48.100000,40.220000,1.290000,18.280000,24.520000,37.72,11.44,0,0,0,8.180000,6.730000,12.57,0,0.000000,152.460000,53.870000,26.67,0,0,0,1.340000,0.000000,0,0,124.370000,26.67,0,70.130000,25.010000,0.950000,148.800000,57.290000,8.06,11.540000,0.000000,0.000000,0,0.650000,0.000000,25.010000,5.770000,0.000000,0.000000,23.090000,48.100000

