Block,Time Block,KGSU3AND4,KGSU1AND2,BRBCL,DADRT2,DHAULIGNGA,BSIUL,CHAMERA3,DULHASTI,FSTPP I & II,CHAMERA2,CHAMERA1,TALA,TEHRI,SEWA2,SINGRAULI,UNCHAHAR1,TANDA2,TALST2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,SIMHST1,SINGRAULI_HYDRO,UNCHAHAR2,SIMHST2,KHSTPP-I,KKNPPU2,KOTESHWR,KOLDAM,KISHANGANGA,KHSTPP-II,KKNP,SALAL,SASAN,AURY_CRF,URI,AURY_RF,DADRI_LF,ANTA_CRF,VALLURNTECL,ANTA_RF,UNCHAHAR4,AURY_LF,DADRI_GF,URI2,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,JHAJJAR,PARBATI3,RIHAND3,RAPPB,NLCEXP,RIHAND2,NLCIIST1,NLCIIST2,RIHAND1,NLCTS2EXP,RAMPUR,RSTPSU1TO6,NNTPP,RAPPC,NTPL,RSTPSU7,NAPP,KUDGI,MAPS,NJPC,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,19.21,265.29,0,0,0,15.83,10.99,0,0,0,0,0,110.16,5.76,0,0,13.94,5.53,0,0,0,22.39,0,20.41,0,8.53,0,0,93.85,0,1.34,335.27,0,1.07,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,345.85,0,119.43,0,0,114.08,0,0,88.38,0,0,0,0,51.21,0,0,41.67,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,19.21,265.29,0,0,0,15.83,10.99,0,0,0,0,0,110.16,5.76,0,0,13.94,5.53,0,0,0,22.39,0,20.41,0,8.53,0,0,93.85,0,1.34,335.27,0,1.07,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,345.85,0,119.43,0,0,114.08,0,0,88.38,0,0,0,0,51.21,0,0,41.67,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,17.45,265.29,0,0,0,15.83,10.99,0,0,0,0,0,110.16,5.76,0,0,13.94,5.53,0,0,0,22.39,0,20.41,0,8.53,0,0,93.85,0,1.34,335.27,0,1.07,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,345.85,0,119.43,0,0,114.08,0,0,88.38,0,0,0,0,51.21,0,0,41.67,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,15.58,265.29,0,0,0,15.83,10.99,0,0,0,0,0,110.16,5.76,0,0,13.94,5.53,0,0,0,22.39,0,20.41,0,8.53,0,0,93.85,0,1.34,335.27,0,1.07,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,345.85,0,119.43,0,0,114.08,0,0,88.38,0,0,0,0,51.21,0,0,41.67,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,15.86,265.29,0,0,0,15.83,10.99,0,0,0,0,0,110.16,5.76,0,0,13.94,5.53,0,0,0,22.39,0,18.39,0,8.53,0,0,93.85,0,1.34,335.27,0,1.07,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,345.85,0,119.43,0,0,114.08,0,0,88.38,0,0,0,0,51.21,0,0,41.67,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,16.57,265.29,0,0,0,15.83,10.99,0,0,0,0,0,110.16,5.76,0,0,13.94,5.53,0,0,0,22.39,0,18.39,0,8.53,0,0,93.85,0,1.34,335.27,0,1.07,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,345.85,0,119.43,0,0,114.08,0,0,88.38,0,0,0,0,51.21,0,0,41.67,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,14.18,265.29,0,0,0,15.83,10.99,0,0,0,0,0,110.16,5.76,0,0,13.94,0,0,0,0,22.39,0,18.39,0,8.53,0,0,93.85,0,1.34,335.27,0,1.07,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,345.85,0,119.43,0,0,114.08,0,0,88.38,0,0,0,0,51.21,0,0,41.67,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,13.27,265.29,0,0,0,15.83,10.99,0,0,0,0,0,110.16,5.76,0,0,13.94,0,0,0,0,22.39,0,18.39,0,8.53,0,0,93.85,0,1.34,335.27,0,1.07,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,345.85,0,119.43,0,0,114.08,0,0,88.38,0,0,0,0,51.21,0,0,41.67,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,12.5,265.29,0,0,0,15.83,10.99,0,0,0,0,0,110.16,5.76,0,0,13.94,0,0,0,0,22.39,0,18.39,0,8.53,0,0,93.85,0,1.34,335.27,0,1.07,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,345.85,0,119.43,0,0,114.08,0,0,88.38,0,0,0,0,51.21,0,0,41.67,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,12.04,265.29,0,0,0,15.83,10.99,0,0,0,0,0,110.16,5.76,0,0,13.94,0,0,0,0,22.39,0,18.39,0,8.53,0,0,93.85,0,1.34,335.27,0,1.07,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,345.85,0,119.43,0,0,114.08,0,0,88.38,0,0,0,0,51.21,0,0,41.67,0,0,0,0,0,0,0,0

