Column1,Time,NR/01102023/19072037/LT-05,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/01/20/4168,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/01/02/1250,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/01/20/9046,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/01/3925,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6528,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/5531,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/01/01/8058,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,GNARE/SR/2025/01/13/4532,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3733,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/3945,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/20/4698,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/20/9333
1,00:00-00:15,70.06,149.4,0,59.4,48.04,24.73,0,0,0.95,48.04,62.45,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,7.33,0,24.33,0,0,9.17,24.34,0,9.17,27.49,0,0,0,0,0,15.01,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0.61,1.34,0,0

2,00:15-00:30,70.06,149.4,0,59.4,48.04,25.23,0,0,0.95,48.04,62.45,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,7.33,0,25,0,0,9.5,25,0,9.5,28.5,0,0,0,0,0,14.21,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0.61,1.34,0,0

3,00:30-00:45,70.06,149.4,0,59.4,48.04,25.23,0,0,0.95,48.04,62.45,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,7.33,0,25.67,0,0,9.5,25.66,0,9.5,28.5,0,0,0,0,0,13.61,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0.61,1.34,0,0

4,00:45-01:00,70.06,149.4,0,59.4,48.04,25.74,0,0,0.95,48.04,62.45,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,7.33,0,26.33,0,0,9.5,26.34,0,9.5,28.5,0,0,0,0,0,13.01,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0.61,1.34,0,0

5,01:00-01:15,70.06,149.4,0,59.4,48.04,25.74,0,0,0.95,48.04,62.45,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,7.67,0,27,0,0,9.5,27,0,9.5,28.5,0,0,0,0,0,12.41,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0.61,1.34,0,0

6,01:15-01:30,70.06,149.4,0,59.4,48.04,25.74,0,0,0.95,48.04,62.45,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,7.67,0,27.67,0,0,9.83,27.66,0,9.83,29.51,0,0,0,0,0,11.61,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0.61,1.34,0,0

7,01:30-01:45,70.06,149.4,0,59.4,48.04,25.74,0,0,0.95,48.04,62.45,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,8,0,28.33,0,0,10.17,28.34,0,10.17,30.49,0,0,0,0,0,11.61,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,1.34,0,0

8,01:45-02:00,70.06,149.4,0,59.4,48.04,25.74,0,0,0.95,48.04,62.45,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,8,0,29,0,0,10.5,29,0,10.5,31.5,0,0,0,0,0,11.41,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,1.34,0,0

9,02:00-02:15,70.06,149.4,0,59.4,48.04,25.23,0,0,0.95,48.04,62.45,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,6.67,0,19.33,0,0,10.83,19.34,0,10.83,32.51,0,0,0,0,0,16.61,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0.61,1.34,0,0

10,02:15-02:30,70.06,149.4,0,59.4,48.04,25.23,0,0,0.95,48.04,62.45,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,6.67,0,20,0,0,11.33,20,0,11.33,34.01,0,0,0,0,0,16.21,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0.61,1.34,0,0

11,02:30-02:45,70.06,149.4,0,59.4,48.04,25.23,0,0,0.95,48.04,62.45,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,6.67,0,20.67,0,0,7.33,20.66,0,7.33,22.01,0,0,0,0,0,14.21,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0.61,1.34,0,0

12,02:45-03:00,70.06,149.4,0,59.4,48.04,25.23,0,0,0.95,48.04,62.45,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,6.67,0,21.33,0,0,7.33,21.34,0,7.33,22.01,0,0,0,0,0,13.61,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0.61,1.34,0,0

13,03:00-03:15,70.06,149.4,0,59.4,48.04,25.23,0,0,0.95,48.04,62.45,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,6.67,0,16.33,0,0,7.67,16.34,0,7.67,22.99,0,0,0,0,0,13.21,0,0,0,0,1.37,23.06,20.17,0,23.06,0,0,0,0,0.61,1.3,0,0

14,03:15-03:30,70.06,149.4,0,59.4,48.04,25.23,0,0,0.95,48.04,62.45,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,6.67,0,17,0,0,7.67,17,0,7.67,22.99,0,0,0,0,0,12.61,0,0,0,0,1.37,23.06,20.17,0,23.06,0,0,0,0,0.61,1.3,0,0

15,03:30-03:45,70.06,149.4,0,59.4,48.04,25.23,0,0,0.95,48.04,125.26,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,6.67,0,17,0,0,8,17,0,8,24,0,0,0,0,0,11,0,0,0,0,1.37,23.06,20.17,0,23.06,0,0,0,0,0.61,1.3,0,0

16,03:45-04:00,70.06,149.4,0,59.4,48.04,25.23,0,0,0.95,48.04,125.26,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,6.67,0,17.67,0,0,8,17.66,0,8,24,0,0,0,0,0,10.6,0,0,0,0,1.37,23.06,20.17,0,23.06,0,0,0,0,0.61,1.3,0,0

17,04:00-04:15,70.06,149.4,0,59.4,48.04,25.23,0,0,0.95,48.04,113.73,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,6.67,0,17.67,0,0,8.33,17.66,0,8.33,25.01,0,0,0,0,0,10.2,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,1.3,0,0

18,04:15-04:30,70.06,149.4,0,59.4,48.04,24.73,0,0,0.95,48.04,113.73,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,6.67,0,17.67,0,0,8.33,17.66,0,8.33,25.01,0,0,0,0,0,10,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,1.3,0,0

19,04:30-04:45,70.06,149.4,0,59.4,48.04,24.73,0,0,0.95,48.04,113.73,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,6.67,0,17.67,0,0,8.67,17.66,0,8.67,25.99,0,0,0,0,0,10,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0.61,1.3,0,0

20,04:45-05:00,70.06,192.14,0,59.4,48.04,24.73,0,0,0.95,48.04,113.73,19.21,8.65,0,0,48.04,23.06,28.82,0,0,62.68,26.9,6.67,0,17.67,0,0,8.67,17.66,0,8.67,25.99,0,0,0,0,0,9.8,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0.61,1.3,0,0

21,05:00-05:15,70.06,230.57,0,59.4,48.04,24.73,0,0,0.95,48.04,113.73,19.21,8.65,0,0,48.04,25.94,28.82,0,0,62.68,26.9,6.67,0,17.67,0,0,8.67,17.66,0,8.67,25.99,0,0,0,0,0,9.8,0,0,0,0,1.29,25.94,20.17,0,25.94,0,0,0,0,0.61,1.3,0,0

22,05:15-05:30,70.06,230.57,0,59.4,48.04,24.73,0,0,0.95,48.04,113.73,19.21,8.65,0,0,48.04,25.94,28.82,0,0,62.68,26.9,6.67,0,17.67,0,0,8.67,17.66,0,8.67,25.99,0,0,0,0,0,10,0,0,0,0,1.29,25.94,20.17,0,25.94,0,0,0,0,0.61,1.3,0,0

23,05:30-05:45,70.06,230.57,0,59.4,48.04,24.73,0,0,0.95,48.04,113.73,19.21,8.65,0,0,48.04,25.94,28.82,0,0,81.66,26.9,6.67,0,22.67,0,0,11.83,22.66,0,11.83,35.51,0,0,0,0,0,10,0,0,0,0,1.29,25.94,20.17,0,25.94,0,0,0,0,0.61,1.3,0,0

