Block,Time,CHAMERA2,KKNP,NAPP,NLCEXP,SASAN,SINGRAULI,UNCHAHAR3,CHAMERA1,DHAULIGNGA,KHSTPP-I,KOLDAM,MAPS,NNTPP,PARBATI3,RAPPB,RAPPC,TALA,TANAKPUR,UNCHAHAR1,ANTA_CRF,FSTPP I & II,JHAJJAR,KGSU1AND2,KISHANGANGA,RIHAND1,TALST2,VALLURNTECL,ANTA_GF,AURY_CRF,KOTESHWR,KUDGI,NTPL,RSTPSU7,SEWA2,SIMHST1,SIMHST2,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR2,URI,ANTA_LF,ANTA_RF,DADRI_GF,BSIUL,DULHASTI,NLCIIST1,NLCIIST2,UNCHAHAR4,AURY_GF,DADRI_LF,CHAMERA3,KKNPPU2,RAMPUR,RIHAND2,RSTPSU1TO6,URI2,DADRI_RF,BRBCL,KHSTPP-II,NJPC,NLCTS2EXP,TEHRI,DADRT2,KGSU3AND4,RIHAND3,SALAL,TANDA2,AURY_LF,AURY_RF,DADRI_CRF
1,00:00-00:15,0,0,43.68,0,418.77,125.96,26.39,0,0,45.22,0,0,0,0,0,53.68,0,6.27,20.56,44.83,18.2,654.3,0,0,92,0,0,0,71.13,8.88,0,0,0,0,0,0,0,0,42.39,1.33,0,0,0,0,16.48,0,0,0,0,23.57,0,0,0,118.75,0,4.44,5.48,15,148.3,0,0,0,683.14,0,61.34,1.4,0,0,0,64.12

2,00:15-00:30,0,0,43.68,0,418.77,125.96,26.39,0,0,45.22,0,0,0,0,0,53.68,0,6.27,20.56,44.83,18.2,654.3,0,0,92,0,0,0,71.13,8.88,0,0,0,0,0,0,0,0,42.39,1.33,0,0,0,0,16.48,0,0,0,0,23.57,0,0,0,118.75,0,18.83,5.48,15,148.3,0,0,0,683.14,0,61.34,1.4,0,0,0,64.12

3,00:30-00:45,0,0,43.68,0,418.77,125.96,26.39,0,0,45.22,0,0,0,0,0,53.68,0,6.27,20.56,44.83,18.2,654.3,0,0,92,0,0,0,71.13,8.88,0,0,0,0,0,0,0,0,42.39,1.33,0,0,0,0,16.48,0,0,0,0,23.57,0,0,0,118.75,0,18.83,5.48,15,148.3,0,0,0,683.14,0,61.34,1.4,0,0,0,64.12

4,00:45-01:00,0,0,43.68,0,418.77,125.96,26.39,0,0,45.22,0,0,0,0,0,53.68,0,6.27,20.56,44.83,18.2,654.3,0,0,92,0,0,0,71.13,8.88,0,0,0,0,0,0,0,0,42.39,1.33,0,0,0,0,16.48,0,0,0,0,23.57,0,0,0,118.75,0,18.83,5.48,15,148.3,0,0,0,683.14,0,61.34,1.4,0,0,0,64.12

5,01:00-01:15,0,0,43.68,0,418.77,125.96,26.39,0,0,45.22,0,0,0,0,0,53.68,0,0,20.56,44.83,18.2,654.3,0,0,92,0,0,0,71.13,8.88,0,0,0,0,0,0,0,0,42.39,1.33,0,0,0,0,16.48,0,0,0,0,23.57,0,0,0,118.75,0,18.83,5.48,15,148.3,0,0,0,683.14,0,61.34,1.4,0,0,0,64.12

