Block,Time,BRBCL,BSIUL,CHAMERA3,DADRT2,KKNPPU2,NJPC,PARBATI3,RAMPUR,SALAL,UNCHAHAR2,ANTA_CRF,CHAMERA1,DHAULIGNGA,FSTPP I & II,KHSTPP-I,NLCEXP,TelanganaSTPP,ANTA_LF,ANTA_RF,DADRI_CRF,DADRI_LF,CHAMERA2,JHAJJAR,NLCIIST1,RAPPD,RIHAND3,TEHRI,DADRI_GF,KGSU3AND4,PARBATI2,RAPPB,RSTPSU1TO6,SASAN,SINGRAULI_HYDRO,TANDA2,UNCHAHAR1,AURY_RF,DADRI_RF,KUDGI,NLCIIST2,NNTPP,RAPPC,ANTA_GF,AURY_CRF,KGSU1AND2,KHSTPP-II,KISHANGANGA,KKNP,KOTESHWR,NAPP,RIHAND1,RIHAND2,SIMHST1,TEHRIPSP,UNCHAHAR4,URI,URI2,MAPS,NTPL,RSTPSU7,SEWA2,SINGRAULI,TALA,TALST2,UNCHAHAR3,AURY_LF,DULHASTI,KOLDAM,NLCTS2EXP,SIMHST2,TANAKPUR,VALLURNTECL,AURY_GF
1,00:00-00:15,24.99,13.04,33.94,549.38,0,175.79,32.71,5.7,85.41,45,0,42.15,42.46,20.8,33.69,0,0,0,51.2,0,0,47.12,667.25,0,24.61,130.84,50.58,0,0,0,0,0,274.5,1.08,5.73,21.65,79.22,79.04,0,0,0,65.42,0,0,0,148.3,7.05,0,30.43,24.62,98.32,125.27,0,70.71,3.22,35.33,38.97,0,0,0,0,150.71,25.19,0,27.69,0,55.38,8.62,0,0,12.81,0,0

2,00:15-00:30,24.99,13.04,33.94,549.38,0,175.79,32.71,5.7,85.41,45,0,42.15,42.46,20.8,33.69,0,0,0,51.2,0,0,47.12,667.25,0,24.61,130.84,50.58,0,0,0,0,0,274.5,1.08,5.73,21.65,79.22,79.04,0,0,0,65.42,0,0,0,148.3,7.05,0,30.43,24.62,98.32,125.27,0,70.71,3.22,35.33,38.97,0,0,0,0,150.71,25.19,0,27.69,0,55.38,8.62,0,0,12.81,0,0

3,00:30-00:45,24.99,13.04,33.94,549.38,0,175.79,32.71,5.7,85.41,45,0,42.15,42.46,20.8,33.69,0,0,0,51.2,0,0,47.12,667.25,0,24.61,130.84,50.58,0,0,0,0,0,274.5,1.08,5.73,21.65,79.22,79.04,0,0,0,65.42,0,0,0,148.3,7.05,0,30.43,24.62,98.32,125.27,0,70.71,3.22,35.33,24.94,0,0,0,0,149.08,25.19,0,27.69,0,55.38,8.62,0,0,12.81,0,0

4,00:45-01:00,24.99,13.04,33.94,549.38,0,175.79,32.71,5.7,85.41,45,0,42.15,42.46,20.8,33.69,0,0,0,51.2,0,0,47.12,667.25,0,24.61,130.84,50.58,0,0,0,0,0,274.5,1.08,5.73,21.65,79.22,79.04,0,0,0,65.42,0,0,0,148.3,7.05,0,30.43,24.62,98.32,125.27,0,70.71,3.22,35.33,24.94,0,0,0,0,149.08,25.19,0,27.69,0,55.38,8.62,0,0,12.81,0,0

5,01:00-01:15,24.99,13.04,33.94,549.38,0,175.79,32.71,5.7,85.41,45,0,42.15,42.46,20.8,33.69,0,0,0,51.2,0,0,47.12,667.25,0,24.61,130.84,50.58,0,0,0,0,0,274.5,1.08,5.73,21.65,79.22,79.04,0,0,0,65.42,0,0,0,148.3,7.05,0,30.43,24.62,98.32,125.27,0,70.71,3.22,35.33,24.94,0,0,0,0,149.08,25.19,0,27.69,0,55.38,8.62,0,0,12.81,0,0

