Block,Time Block,KGSU1AND2,FSTPP I & II,DULHASTI,JHAJJAR,DHAULIGNGA,CHAMERA2,DADRT2,CHAMERA1,CHAMERA3,BRBCL,BSIUL,KHSTPP-I,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,RSTPSU1TO6,RSTPSU7,RIHAND3,SASAN,TALST2,TANAKPUR,SIMHST1,SINGRAULI_HYDRO,SIMHST2,TALA,SALAL,SEWA2,SINGRAULI,TANDA2,URI2,UNCHAHAR3,ANTA_LF,TelanganaSTPP,ANTA_GF,UNCHAHAR2,URI,TEHRI,ANTA_CRF,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,NTPL,RAMPUR,PARBATI3,NLCIIST2,NLCTS2EXP,NNTPP,RAPPB,RIHAND2,RIHAND1,RAPPC,KUDGI,MAPS,KOTESHWR,KKNP,KKNPPU2,KOLDAM,NJPC,NLCIIST1,NAPP,NLCEXP,KGSU3AND4,KHSTPP-II,KISHANGANGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,15.9,15.82,248.51,0,0,528.14,0,0,19.05,6.26,37.67,0,0,0,0,0,0,0,0,0,0,0,58.25,387.72,0,0,0,0,0,0,68.04,15.18,134.1,0,30.35,21.92,0,0,0,36.02,34.13,0,0,8.04,0,0,0,0,0,0,0,0,0,114.01,88.32,24.97,0,0,8.52,0,0,0,0,0,20,0,0,122.71,0,0,0,0,0,0

2,00:15-00:30,0,17.47,15.82,248.51,0,0,528.14,0,0,19.2,6.26,43.33,0,0,0,0,0,0,0,0,0,0,0,58.25,388.8,0,0,0,0,0,0,68.04,15.18,134.1,0,30.35,21.84,0,0,0,35.08,34.13,0,0,8.04,0,0,0,0,0,0,0,0,0,114.01,88.32,24.97,0,0,8.52,0,0,0,0,0,20,0,0,140.28,0,0,0,0,0,0

3,00:30-00:45,0,17.47,15.82,248.51,0,0,547.34,0,0,16.39,6.26,43.71,0,0,0,0,0,0,0,0,0,0,0,58.25,388.8,0,5.53,0,0,0,0,68.04,15.18,134.1,0,30.35,21.84,0,0,0,35.08,34.13,0,0,8.04,0,0,0,0,0,0,0,0,0,114.01,88.32,24.97,0,0,8.52,0,0,0,0,0,20,0,0,142.37,0,0,0,0,0,0

4,00:45-01:00,0,17.47,15.82,248.51,0,0,600.14,0,0,14.97,6.26,43.71,0,0,0,0,0,0,0,0,0,0,0,58.25,388.8,0,5.53,0,0,0,0,68.04,15.18,134.1,0,30.35,21.84,0,0,0,35.08,34.13,0,0,8.04,0,0,0,0,0,0,0,0,0,114.01,88.32,24.97,0,0,8.52,0,0,0,0,0,20,0,0,142.37,0,0,0,0,0,0

5,01:00-01:15,0,17.47,0,248.51,0,0,554.06,0,0,14.53,12.52,43.71,0,0,0,0,0,0,0,0,0,0,0,58.25,388.8,0,5.53,0,0.72,0,0,68.04,15.18,134.1,0,30.35,21.84,0,0,0,35.08,34.13,0,0,8.04,0,0,0,0,0,0,0,0,0,114.01,88.32,24.97,0,0,8.52,0,0,0,0,0,20,0,0,142.37,0,0,0,0,0,0

6,01:15-01:30,0,17.47,0,248.51,0,0,554.06,0,0,12.37,12.52,43.71,0,0,0,0,0,0,0,0,0,0,0,58.25,388.8,0,5.53,0,0.72,0,0,68.04,15.18,134.1,0,30.35,21.84,0,0,0,35.08,34.13,0,0,8.04,0,0,0,0,0,0,0,0,0,114.01,88.32,24.97,0,0,8.52,0,0,0,0,0,20,0,0,142.37,0,0,0,0,0,0

7,01:30-01:45,0,17.47,0,248.51,0,0,486.86,0,0,14.14,12.52,43.71,0,0,0,0,0,0,0,0,0,0,0,58.25,388.8,0,5.53,0,0.72,0,0,68.04,15.18,134.1,0,30.35,21.84,0,0,0,35.08,34.13,0,0,8.04,0,0,0,0,0,0,0,0,0,114.01,88.32,24.97,0,0,8.52,0,0,0,0,0,20,0,0,142.37,0,0,0,0,0,0

8,01:45-02:00,0,17.47,0,248.51,0,0,419.66,0,0,12.78,12.52,43.71,0,0,0,0,0,0,0,0,0,0,0,58.25,388.8,0,5.53,0,0.72,0,0,68.04,15.18,134.1,0,30.35,21.84,0,0,0,35.08,34.13,0,0,8.04,0,0,0,0,0,0,0,0,0,114.01,88.32,24.97,0,0,8.52,0,0,0,0,0,20,0,0,142.37,0,0,0,0,0,0

9,02:00-02:15,0,17.47,0,248.51,0,0,364.77,0,0,12.41,12.52,43.71,0,0,0,0,0,0,0,0,0,0,0,58.25,388.8,0,0.24,0,0.72,0,0,68.04,15.18,134.1,0,30.35,16.84,0,0,0,27.03,34.13,0,0,6.2,0,0,0,0,0,0,0,0,0,114.01,88.32,24.97,0,0,8.52,0,0,0,0,0,20,0,0,142.37,0,0,0,0,0,0

10,02:15-02:30,0,17.47,0,248.51,0,0,336.14,0,0,11.09,12.52,43.71,0,0,0,0,0,0,0,0,0,0,0,58.25,388.8,0,0.24,0,0.72,0,0,36.82,15.18,134.1,0,30.35,16.84,0,0,0,27.03,34.13,0,0,6.2,0,0,0,0,0,0,0,0,0,114.01,88.32,24.97,0,0,8.52,0,0,0,0,0,20,0,0,142.37,0,0,0,0,0,0

11,02:30-02:45,0,17.47,0,248.51,0,0,392.78,0,0,11.88,12.52,43.71,0,0,0,0,0,0,0,0,0,0,0,58.25,388.8,0,0.24,0,0.72,0,0,36.82,15.18,134.1,0,30.35,21.84,0,0,0,35.08,34.13,0,0,8.04,0,0,0,0,0,0,0,0,0,114.01,88.32,24.97,0,0,8.52,0,0,0,0,0,20,0,0,142.37,0,0,0,0,0,0

12,02:45-03:00,0,17.47,0,248.51,0,0,392.78,0,0,14.35,12.52,43.71,0,0,0,0,0,0,0,0,0,0,0,58.25,388.8,0,0.24,0,0.72,0,0,36.82,15.18,134.1,0,30.35,21.84,0,0,0,35.08,34.13,0,0,8.04,0,0,0,0,0,0,0,0,0,114.01,88.32,24.97,0,0,8.52,0,0,0,0,0,20,0,0,142.37,0,0,0,0,0,0

