Time,Block,NR/2023/11154/F,NR/2023/11341/F,NR/2023/11102/F,NR/2023/11099/F,NR/2023/10486/A,NR/2023/11781/C,NR/2023/11096/F,NR/2023/10181/A,NR/2023/11100/F,NR/2023/11097/F,NR/2023/11771/D,NR/2023/11785/C,NR/2023/10182/A,NR/2023/11792/C,NR/2023/11368/F,NR/2023/11786/C,NR/2023/11095/F,NR/2023/11343/F,NR/2023/11166/F,NR/2023/11369/F,NR/2023/11221/F,NR/2023/11791/C,NR/2023/10197/A,NR/2023/11104/F,NR/2023/11367/F,NR/2023/11775/D,NR/2023/11773/D,NER/2023/775/C,NR/2023/11776/D,Total
,,HPXL,IEXL,SHPPBPL,SHPPBPL,TPTCL,GBHHPL,SHPPBPL,NVVNL,SHPPBPL,SHPPBPL,SJVNL,HPXL,NVVNL,IEXL,SHPPBPL,IEXL,APPCPL,IEXL,IEXL,SHPPBPL,IEXL,TPDDL,TPTCL,SHPPBPL,SHPPBPL,TS1PL_BKN,TS1PL_BKN,IEXL,NVVNL,Total

,,KARNATAKA,TELANGANA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,WEST BENGAL,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MANIPUR,NA,KARNATAKA,HIMACHAL PRADESH,KARNATAKA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,DELHI,NA,
,,NIRANISUGAR,NAVABHARAT,SHPPBPL,SHPPBPL,APNRL,GBHHPL,SHPPBPL,ILFS,SHPPBPL,SHPPBPL,IPCL_WB,DIKCHU,JPNIGRIE_JNSTPP,Teesta_III,SHPPBPL,MALANA,Manipur_Ben,JSPL_DCPP,VISHWARAJSUGAR,SHPPBPL,KPRSUGAR,CHANJUII,JPL,SHPPBPL,SHPPBPL,TS1PL_BKN,TS1PL_BKN,BRPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,MEGHALAYA,DELHI,
,,BRPL,BRPL,JHPL-DL,UHL,TPDDL,DIAPL,MAX-HPTL,BRPL,BMDRC,MHIL,NDMC,BYPL,BRPL,BRPL,BAL224,BYPL,STT,BRPL,BRPL,BAL234,BRPL,TPDDL,BRPL,AISHER,BAL184,BRPL,BYPL,SCF MeSEB,MES (Delhi),
,,South-East-North,South-West-North,North-North,North-North,East-North,North-North,North-North,South-West-North,North-North,North-North,East-North,East-North,West-North,East-West-North,North-North,North-North,North East-East-North,West-North,South-West-North,North-North,South-West-North,North-North,West-North,North-North,North-North,North-North,North-North,North-East-North East,West-North,
1,00:00-00:15,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,40.440000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.770000,49.830000,0.450000,0.310000,0,0,0.000000,0,512.66

2,00:15-00:30,9.630000,115.550000,0.600000,0.360000,20.560000,28.530000,0.530000,99.660000,0.530000,0.360000,0.000000,40.440000,49.830000,0.000000,0.310000,0.000000,2.890000,48.140000,14.440000,0.610000,17.330000,11.770000,49.830000,0.450000,0.310000,0,0,0.000000,0,512.66
