Block,Time,CHAMERA1,DHAULIGNGA,KGSU3AND4,KISHANGANGA,KOLDAM,SINGRAULI,ANTA_LF,DADRI_RF,KHSTPP-II,KKNP,NLCTS2EXP,RIHAND2,SIMHST2,TALST2,TEHRI,UNCHAHAR2,ANTA_GF,DADRI_LF,DADRT2,KGSU1AND2,MAPS,NNTPP,RSTPSU7,TALA,UNCHAHAR3,UNCHAHAR4,AURY_CRF,AURY_GF,CHAMERA3,KKNPPU2,KUDGI,NLCEXP,NLCIIST1,RSTPSU1TO6,URI,ANTA_CRF,ANTA_RF,CHAMERA2,KHSTPP-I,PARBATI2,PARBATI3,RIHAND1,SIMHST1,TANAKPUR,AURY_LF,DADRI_GF,JHAJJAR,RAPPB,SALAL,SASAN,TANDA2,UNCHAHAR1,AURY_RF,BSIUL,NAPP,NJPC,NTPL,RAPPC,RIHAND3,URI2,VALLURNTECL,BRBCL,DULHASTI,FSTPP I & II,KOTESHWR,NLCIIST2,RAMPUR,RAPPD,SEWA2,SINGRAULI_HYDRO,TelanganaSTPP,DADRI_CRF
1,00:00-00:15,42.15,10.95,0,8.63,9.59,143.68,0,100.46,148.3,0,0,124.58,0,0,34.67,44.5,0,0,548.92,0,0,0,0,0,27.68,2.3,0,0,35,0,0,0,0,0,48.57,0,51.17,48.81,45.53,12.02,16.88,97.23,0,6.27,0,0,670.67,0,0,418.77,5.7,21.94,80.77,19.56,25.77,138.33,0,68.56,130.79,38.1,0,20,59.5,20.8,10.43,0,5.42,22.02,18.9,0.95,0,0

2,00:15-00:30,42.15,10.95,0,8.63,9.59,143.68,0,100.46,148.3,0,0,124.58,0,0,34.67,44.5,0,0,548.92,0,0,0,0,0,27.68,2.3,0,0,23.33,0,0,0,0,0,48.57,0,51.17,48.81,45.53,12.02,16.88,97.23,0,6.27,0,0,670.67,0,0,418.77,5.7,21.94,80.77,19.56,25.77,138.33,0,68.56,130.79,38.1,0,20,59.5,20.8,10.43,0,5.42,22.02,18.9,0.95,0,0

3,00:30-00:45,42.15,10.95,0,8.63,9.59,143.68,0,100.46,148.3,0,0,124.58,0,0,34.67,44.5,0,0,548.92,0,0,0,0,0,27.68,2.3,0,0,23.33,0,0,0,0,0,48.57,0,51.17,48.81,45.53,12.02,16.88,97.23,0,6.27,0,0,670.67,0,0,418.77,5.7,21.94,80.77,13.04,25.77,138.33,0,68.56,130.79,38.1,0,20,59.5,20.8,10.43,0,5.42,22.02,18.9,0.95,0,0

4,00:45-01:00,42.15,10.95,0,8.63,9.59,143.68,0,100.46,148.3,0,0,124.58,0,0,34.67,44.5,0,0,548.92,0,0,0,0,0,27.68,2.3,0,0,23.33,0,0,0,0,0,48.57,0,51.17,48.81,45.53,12.02,16.88,97.23,0,6.27,0,0,670.67,0,0,418.77,5.7,21.94,80.77,13.04,25.77,138.33,0,68.56,130.79,38.1,0,20,59.5,20.8,10.43,0,5.42,22.02,18.9,0.95,0,0

5,01:00-01:15,42.15,10.95,0,8.63,9.59,143.68,0,100.46,148.3,0,0,124.58,0,0,34.18,44.5,0,0,548.92,0,0,0,0,0,27.68,2.3,0,0,23.33,0,0,0,0,0,48.57,0,51.17,48.81,45.53,12.02,16.88,97.23,0,6.27,0,0,670.67,0,0,418.77,5.7,21.94,80.77,13.04,25.77,138.33,0,68.56,130.79,38.1,0,20,59.5,20.8,10.43,0,5.42,22.02,18.9,0.95,0,0

6,01:15-01:30,42.15,10.95,0,8.63,9.59,143.68,0,100.46,148.3,0,0,124.58,0,0,34.18,45,0,0,548.92,0,0,0,0,0,27.68,2.3,0,0,23.33,0,0,0,0,0,48.57,0,51.17,48.81,45.53,12.02,16.88,97.23,0,6.27,0,0,670.67,0,0,418.77,5.7,21.94,80.77,13.04,25.77,138.33,0,68.56,130.79,38.1,0,20,59.5,20.8,10.43,0,5.42,22.02,18.9,0.95,0,0

7,01:30-01:45,42.15,10.95,0,8.63,9.59,143.68,0,100.46,148.3,0,0,124.58,0,0,34.18,45,0,0,548.92,0,0,0,0,0,27.68,3.2,0,0,23.33,0,0,0,0,0,48.57,0,51.83,48.81,45.53,12.02,16.88,97.23,0,0,0,0,670.67,0,0,418.77,5.7,21.94,80.77,13.04,25.77,101.93,0,68.56,130.79,38.1,0,20,59.5,20.8,10.43,0,4.04,0,18.9,0.95,0,0

8,01:45-02:00,42.15,10.95,0,8.63,9.59,143.68,0,100.46,148.3,0,0,124.58,0,0,23.11,45,0,0,548.92,0,0,0,0,0,27.68,3.2,0,0,23.33,0,0,0,0,0,48.57,0,51.83,48.81,45.53,12.02,16.88,97.23,0,0,0,0,670.67,0,0,418.77,5.7,21.94,80.77,13.04,25.77,82.99,0,68.56,130.79,38.1,0,20,59.5,20.8,10.43,0,3.3,0,18.9,0.95,0,0

