Block,Time,BRBCL,DADRT2,MAPS,RAMPUR,RIHAND2,UNCHAHAR1,UNCHAHAR3,ANTA_RF,BSIUL,CHAMERA3,FSTPP I & II,NLCTS2EXP,RSTPSU1TO6,SALAL,SEWA2,SINGRAULI_HYDRO,TelanganaSTPP,ANTA_LF,AURY_LF,DADRI_CRF,CHAMERA1,JHAJJAR,KGSU1AND2,NAPP,NJPC,RAPPB,RIHAND1,SIMHST1,TALA,TANDA2,TEHRI,AURY_CRF,CHAMERA2,NLCIIST2,PARBATI3,TANAKPUR,UNCHAHAR2,VALLURNTECL,ANTA_GF,AURY_RF,KKNP,SASAN,TALST2,ANTA_CRF,KHSTPP-I,KHSTPP-II,RAPPC,UNCHAHAR4,URI2,DADRI_GF,DHAULIGNGA,DULHASTI,KISHANGANGA,KOLDAM,KOTESHWR,KUDGI,NLCEXP,NLCIIST1,NTPL,SINGRAULI,AURY_GF,DADRI_RF,KGSU3AND4,KKNPPU2,NNTPP,RIHAND3,RSTPSU7,SIMHST2,URI,DADRI_LF
1,00:00-00:15,15,341.57,0,0,118.76,20.84,0,42.74,0,0,20.8,0,0,12.78,0,0,0,0,0,0,0,472.31,0,41.76,46.78,0,92,0,0,0,14.93,0,1.87,0,0,13.06,42.4,0,0,69.5,0,337.5,0,0,45.53,148.3,51.78,0,18.83,0,9.11,32.96,0,0,8.87,0,0,0,0,139.68,0,66.85,0,0,0,59.36,0,0,38.64,21.92

2,00:15-00:30,15,341.57,0,0,118.76,20.84,0,42.74,0,0,20.8,0,0,12.78,0,0,0,0,0,0,0,472.31,0,41.76,46.78,0,92,0,0,0,14.93,0,1.87,0,0,13.06,42.4,0,0,69.5,0,337.5,0,0,45.53,148.3,51.78,0,18.83,0,9.11,32.96,0,0,8.87,0,0,0,0,139.68,0,66.85,0,0,0,59.36,0,0,38.64,21.92

3,00:30-00:45,15,341.57,0,0,118.76,20.84,0,42.74,0,0,20.8,0,0,12.78,0,0,0,0,0,0,0,472.31,0,41.76,46.78,0,92,0,0,0,14.93,0,1.87,0,0,8.96,42.4,0,0,69.5,0,337.5,0,0,45.53,148.3,51.78,0,18.83,0,9.11,32.96,0,0,8.87,0,0,0,0,139.68,0,66.85,0,0,0,59.36,0,0,5.52,21.92

4,00:45-01:00,15,341.57,0,0,118.76,20.84,0,42.74,0,0,20.8,0,0,12.78,0,0,0,0,0,0,0,472.31,0,41.76,46.78,0,92,0,0,0,14.93,0,1.87,0,0,8.96,42.4,0,0,69.5,0,337.5,0,0,45.53,148.3,51.78,0,18.83,0,9.11,32.96,0,0,8.87,0,0,0,0,139.68,0,66.85,0,0,0,59.36,0,0,3.86,21.92

5,01:00-01:15,15,341.57,0,0,118.76,20.84,0,42.74,0,0,20.8,0,0,26.73,0,0,0,0,0,0,0,472.31,0,41.76,39.78,0,92,0,0,0,14.93,0,1.87,0,0,8.96,42.4,0,0,69.5,0,337.5,0,0,45.53,148.3,51.78,0,18.83,0,9.11,32.96,0,0,8.87,0,0,0,0,139.68,0,66.85,0,0,0,59.36,0,0,3.86,21.92

6,01:15-01:30,15,341.57,0,0,118.76,20.84,0,42.74,0,0,20.8,0,0,79.38,0,0,0,0,0,0,0,472.31,0,41.76,39.78,0,92,0,0,0,14.93,0,1.87,0,0,8.96,42.4,0,0,69.5,0,337.5,0,0,45.53,148.3,51.78,0,18.83,0,9.11,32.96,0,0,8.87,0,0,0,0,139.68,0,66.85,0,0,0,59.36,0,0,3.86,21.92

7,01:30-01:45,15,341.57,0,0,118.76,20.84,0,42.74,0,0,20.8,0,0,79.38,0,0,0,0,0,0,0,472.31,0,41.76,39.78,0,92,0,0,0,14.93,0,1.87,0,0,8.96,42.4,0,0,69.5,0,337.5,0,0,45.53,148.3,51.78,0,4.57,0,9.11,32.96,0,0,8.87,0,0,0,0,139.68,0,66.85,0,0,0,59.36,0,0,3.86,21.92

8,01:45-02:00,15,341.57,0,0,118.76,20.84,0,42.74,0,0,20.8,0,0,79.38,0,0,0,0,0,0,0,472.31,0,41.76,39.78,0,92,0,0,0,14.93,0,1.87,0,0,8.96,42.4,0,0,69.5,0,337.5,0,0,45.53,148.3,51.78,0,4.57,0,9.11,32.96,0,0,8.87,0,0,0,0,139.68,0,66.85,0,0,0,59.36,0,0,3.86,21.92

9,02:00-02:15,15,341.57,0,0,118.76,20.84,0,42.74,0,0,20.8,0,0,79.38,0,0,0,0,0,0,0,472.31,0,41.76,39.78,0,92,0,0,0,14.93,0,1.87,0,0,13.06,42.4,0,0,69.5,0,337.5,0,0,45.53,148.3,51.78,0,4.57,0,9.11,32.96,0,0,8.87,0,0,0,0,139.68,0,66.85,0,0,0,59.36,0,0,3.86,21.92

10,02:15-02:30,15,341.57,0,0,118.76,20.84,0,42.74,0,0,20.8,0,0,25.57,0,0,0,0,0,0,0,472.31,0,41.76,39.78,0,92,0,0,0,14.93,0,1.87,0,0,13.06,42.4,0,0,69.5,0,337.5,0,0,45.53,148.3,51.78,0,4.57,0,9.11,32.96,0,0,8.87,0,0,0,0,139.68,0,66.85,0,0,0,59.36,0,0,3.86,21.92

11,02:30-02:45,15,341.57,0,0,118.76,20.84,0,42.74,0,0,20.8,0,0,25.57,0,0,0,0,0,0,0,472.31,0,41.76,39.78,0,92,0,0,0,14.93,0,1.87,0,0,9.61,42.4,0,0,69.5,0,337.5,0,0,45.53,148.3,51.78,0,4.57,0,9.11,49.43,0,0,8.87,0,0,0,0,139.68,0,66.85,0,0,0,59.36,0,0,3.86,21.92

12,02:45-03:00,15,341.57,0,0,118.76,20.84,0,42.74,0,0,20.8,0,0,25.57,0,0,0,0,0,0,0,472.31,0,41.76,39.78,0,92,0,0,0,14.93,0,1.87,0,0,9.61,42.4,0,0,69.5,0,337.5,0,0,45.53,148.3,51.78,0,4.57,0,9.11,49.43,0,0,8.87,0,0,0,0,139.68,0,66.85,0,0,0,59.36,0,0,3.86,21.92

