Block,Time,LT-35,L_NR_2012_07,LT-59,LT-36,L_NR_2012_02,L_NR_2020_02,L_NR_2019_11,L_NR_2012_04,SH-07,LT-05,L_NR_2023_04,SH-06,LT-31,L_NR_2012_01,L_NR_2022_10,L_NR_2020_07,L_NR_2021_14,L_NR_2022_08,L_NR_2019_05,L_NR_2019_06,L_NR_2023_07,L_NR_2023_10,L_NR_2020_05,L_NR_2021_12,L_NR_2022_09,L_NR_2021_13,L_NR_2021_16,L_NR_2020_06,L_NR_2021_15,L_NR_2019_07,L_NR_2018_61,L_NR_2021_17,L_NR_2019_19
1,00:00-00:15,0.000000,0.000000,8.200000,0.000000,130.190000,6.350000,7.560000,272.870000,30.750000,58.210000,30.850000,30.750000,0.000000,101.630000,24.11,7.5,0,7.01,0,0,0,0,22.5,0,24.11,0,0,7.5,0,0,21.34,0,0

2,00:15-00:30,0.000000,0.000000,8.200000,0.000000,130.190000,6.350000,7.560000,272.870000,30.750000,58.210000,30.850000,30.750000,0.000000,101.630000,24.62,7.5,0,7.21,0,0,0,0,22.5,0,24.62,0,0,7.5,0,0,21.79,0,0

3,00:30-00:45,0.000000,0.000000,7.800000,0.000000,130.190000,6.350000,7.560000,272.870000,31.050000,58.210000,30.850000,31.050000,0.000000,101.630000,20.47,7.5,0,7.39,0,0,0,0,22.5,0,20.47,0,0,7.5,0,0,13.92,0,0

4,00:45-01:00,0.000000,0.000000,7.800000,0.000000,130.190000,6.350000,7.560000,272.870000,31.050000,58.210000,30.850000,31.050000,0.000000,101.630000,21.17,7.5,0,7.33,0,0,0,0,22.5,0,21.17,0,0,7.5,0,0,14.17,0,0

5,01:00-01:15,0.000000,0.000000,7.570000,0.000000,130.190000,6.250000,7.560000,272.870000,31.050000,58.210000,30.850000,31.050000,0.000000,101.630000,21.73,7.59,0,7.33,0,0,0,0,22.76,0,21.73,0,0,7.59,0,0,14.35,0,0

6,01:15-01:30,0.000000,0.000000,7.570000,0.000000,130.190000,6.250000,7.560000,272.870000,31.050000,58.210000,30.850000,31.050000,0.000000,101.630000,22.54,7.81,0,7.33,0,0,0,0,23.41,0,22.54,0,0,7.8,0,0,14.58,0,0

7,01:30-01:45,0.000000,0.000000,7.570000,0.000000,130.190000,6.250000,7.560000,272.870000,31.050000,58.210000,30.850000,31.050000,0.000000,101.630000,23.24,8.07,0,7.33,0,0,0,0,24.18,0,23.24,0,0,8.06,0,0,14.66,0,0

8,01:45-02:00,0.000000,0.000000,7.570000,0.000000,130.190000,6.250000,7.560000,272.870000,31.050000,58.210000,30.850000,31.050000,0.000000,101.630000,23.22,8.29,0,7.33,0,0,0,0,24.9,0,23.22,0,0,8.3,0,0,10.71,0,0

9,02:00-02:15,0.000000,0.000000,7.570000,0.000000,130.190000,6.160000,7.330000,272.870000,31.050000,58.210000,30.850000,31.050000,0.000000,101.630000,23.96,8.32,0,7.33,0,0,0,0,24.94,0,23.96,0,0,8.31,0,0,10.94,0,0

10,02:15-02:30,0.000000,0.000000,7.570000,0.000000,130.190000,6.160000,7.330000,272.870000,31.050000,58.210000,30.850000,31.050000,0.000000,101.630000,24.34,8.32,0,7.33,0,0,0,0,24.95,0,24.34,0,0,8.32,0,0,11.17,0,0

11,02:30-02:45,0.000000,0.000000,7.570000,0.000000,130.190000,6.160000,7.330000,272.870000,31.050000,58.210000,30.850000,31.050000,0.000000,101.630000,24.6,8.31,0,7.33,0,0,0,0,24.91,0,24.6,0,0,8.3,0,0,11.43,0,0

12,02:45-03:00,0.000000,0.000000,7.570000,0.000000,130.190000,6.160000,7.330000,272.870000,31.050000,58.210000,30.850000,31.050000,0.000000,101.630000,24.75,8.28,0,7.33,0,0,0,0,24.83,0,24.75,0,0,8.27,0,0,11.54,0,0

13,03:00-03:15,0.000000,0.000000,7.410000,0.000000,130.190000,6.160000,7.330000,272.870000,31.050000,58.210000,30.850000,31.050000,0.000000,101.630000,24.09,8.35,0,7.33,0,0,0,0,25.03,0,24.09,0,0,8.34,0,0,11.33,0,0

14,03:15-03:30,0.000000,0.000000,7.410000,0.000000,130.190000,6.160000,7.330000,272.870000,31.050000,58.210000,30.850000,31.050000,0.000000,101.630000,24.48,8.41,0,7.33,0,0,0,0,25.2,0,24.48,0,0,8.4,0,0,11.5,0,0

15,03:30-03:45,0.000000,0.000000,7.410000,0.000000,130.190000,6.160000,7.330000,272.870000,31.050000,58.210000,30.850000,31.050000,0.000000,101.630000,24.86,8.5,0,7.33,0,0,0,0,25.52,0,24.86,0,0,8.51,0,0,10.65,0,0

16,03:45-04:00,0.000000,0.000000,7.410000,0.000000,130.190000,6.160000,7.330000,272.870000,31.050000,58.210000,30.850000,31.050000,0.000000,101.630000,25.22,8.56,0,7.33,0,0,0,0,25.66,0,25.22,0,0,8.55,0,0,11.09,0,0

17,04:00-04:15,0.000000,0.000000,7.180000,0.000000,130.190000,6.160000,7.100000,272.870000,31.050000,58.210000,31.820000,31.050000,0.000000,101.630000,25.5,8.18,0,7.33,0,0,0,0,24.51,0,25.5,0,0,8.17,0,0,11.39,0,0

18,04:15-04:30,0.000000,0.000000,7.180000,0.000000,130.190000,6.160000,7.100000,272.870000,31.050000,58.210000,31.820000,31.050000,0.000000,101.630000,26.33,7.79,0,7.36,0,0,0,0,23.36,0,26.33,0,0,7.79,0,0,8.05,0,0

19,04:30-04:45,0.000000,0.000000,7.180000,0.000000,186.970000,6.160000,7.100000,272.870000,31.050000,58.210000,31.820000,31.050000,0.000000,101.630000,26.33,7.34,0,6.92,0,0,0,0,22,0,26.33,0,0,7.33,0,0,7.89,0,0

20,04:45-05:00,0.000000,0.000000,7.180000,0.000000,186.970000,6.160000,7.100000,272.870000,31.050000,58.210000,31.820000,31.050000,0.000000,101.630000,26.38,7.34,0,6.49,0,0,0,0,22,0,26.38,0,0,7.33,0,0,8.28,0,0

21,05:00-05:15,0.000000,0.000000,7.020000,0.000000,232.850000,6.060000,6.950000,272.870000,31.050000,58.210000,31.820000,31.050000,0.000000,101.630000,25.76,7.34,0,7.33,0,0,0,0,22,0,25.76,0,0,7.33,0,0,8.78,0,0

22,05:15-05:30,0.000000,0.000000,7.020000,0.000000,232.850000,6.060000,6.950000,272.870000,31.050000,58.210000,31.820000,31.050000,0.000000,101.630000,25.04,7.34,0,7.33,0,0,0,0,22,0,25.04,0,0,7.33,0,0,9.39,0,0

23,05:30-05:45,0.000000,0.000000,7.020000,0.000000,232.850000,6.060000,6.950000,272.870000,31.050000,58.210000,31.820000,31.050000,0.000000,101.630000,24.35,7.34,0,7.33,0,0,0,0,22,0,24.35,0,0,7.33,0,0,9.21,0,0

24,05:45-06:00,0.000000,0.000000,7.020000,0.000000,232.850000,6.060000,6.950000,272.870000,31.050000,58.210000,31.820000,31.050000,0.000000,101.630000,23.71,7.34,0,7.33,0,0,0,0,22,0,23.71,0,0.67,7.33,0,0,9.08,0.33,0

25,06:00-06:15,0.000000,0.000000,6.790000,0.000000,232.850000,6.060000,6.790000,272.870000,31.050000,58.210000,31.820000,31.050000,0.000000,101.630000,23.13,7.34,0,7.33,3.55,0,0,0,22,0,23.13,0,2,7.33,0,1.18,9.04,1,0.60388

26,06:15-06:30,0.010000,0.000000,6.790000,0.010000,232.850000,6.060000,6.790000,272.870000,31.050000,58.210000,31.820000,31.050000,0.010000,101.630000,22.42,7.34,0,7.33,8.75,0,0.48,0.21,22,0,22.42,0,3.33,7.33,0,2.44,9.94,1.67,4.73364

27,06:30-06:45,0.190000,0.000000,6.790000,0.190000,232.850000,6.060000,6.790000,272.870000,31.050000,58.210000,31.820000,31.050000,0.190000,101.630000,29.04,10.05,0.3,8.75,15.49,0,2.24,0.96,30.12,1.42,29.04,0.28,4,10.04,1,6.5,10.39,2,10.50946

