Time,Block,NR/2023/15784/C,NR/2023/12422/A,NR/2023/12052/A,NR/2023/12167/A,NR/2023/12591/A,NR/2023/15057/F,NR/2023/12347/A,NR/2023/15309/F,NR/2023/13635/A,NR/2023/14895/A,NR/2023/14737/A,NR/2023/12168/A,NR/2023/15303/F,NR/2023/12592/A,NR/2023/15412/F,NR/2023/12431/A,NR/2023/15776/C,NR/2023/15304/F,NR/2023/15767/D,NR/2023/14746/A,NR/2023/15771/C,NR/2023/14898/A,NR/2023/12053/A,NR/2023/15306/F,NR/2023/15798/C,NR/2023/15402/F,NR/2023/15296/F,NR/2023/15774/C,NR/2023/13862/A,NR/2023/15766/D,NR/2023/14745/A,NR/2023/12148/A,ER/2023/9755/C,ER/2023/9748/C,NR/2023/15764/D,NR/2023/15785/C,WR/2023/17898/C,ER/2023/9752/C,Total
,,HPXL,APPCPL,KEIPL,APPCPL,NVVNL,ITCLH,STATKRAFT,IEXL,NVVNL,MANIKARAN,NVVNL,APPCPL,BSHP,NVVNL,NVVNL,TPTCL,TPDDL,BSHP,KEIPL,APPCPL,SJVNL,MANIKARAN,KEIPL,BSHP,IEXL,SJVNL,BSHP,GBHHPL,MANIKARAN,KEIPL,APPCPL,GMRETL,PXIL,HPXL,NVVNL,SJVNL,HPXL,IEXL,Total

,,NA,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,NA,ANDHRA PRADESH,TAMIL NADU,JAMMU AND KASHMIR,NA,HIMACHAL PRADESH,NA,UTTARAKHAND,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,NA,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,MAHARASHTRA,GOA,MEGHALAYA,DELHI,DELHI,NA,NA,DELHI,DELHI,
,,Teesta_III,HP,Meghalaya_Ben,Meghalaya_Ben,JPNIGRIE_JNSTPP,ITCWIND,TANGEDCO,SAPU1234,KAMENG,HP,SKS Raigarh,UTTARAKHAND,BSHP,JPNIGRIE_JNSTPP,KAMENG,JPL-2,CHANJUII,BSHP,LAPL-UP,HP,DIKCHU,HP,Meghalaya_Ben,BSHP,ACBIL,BCMLB001,BSHP,GBHHPL,TANGEDCO,LMEL MSEB,GOA_Beneficiary,Meghalaya_Ben,BYPL,BYPL,SOLAPUR_SOLAR,RSRPL_BKN,BYPL,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,ODISHA,DELHI,DELHI,BALCO_WR,ODISHA,
,,BRPL,BYPL,BYPL,BYPL,BRPL,ITCLH,BYPL,MES (Delhi),BRPL,BRPL,NDMC,BYPL,MAX-HPTL,BRPL,TPDDL,BRPL,TPDDL,MHIL,BYPL,BRPL,NDMC,BRPL,BYPL,BMDRC,BYPL,NDMC,JHPL-DL,DIAPL,BRPL,BYPL,BRPL,BYPL,JSPLBarbil,VL-CPP 1215,MES (Delhi),NDMC,BALCO_LOAD,VLSEZ,
,,East-North,North-North,North East-East-North,North East-East-North,West-North,South-West-North,South-West-North,North-North,North East-East-North,North-North,West-North,North-North,North-North,West-North,North East-East-North,West-North,North-North,North-North,North-North,North-North,East-North,North-North,North East-East-North,North-North,West-East-North,North-North,North-North,North-North,South-East-North,West-North,West-North,North East-East-North,North-East,North-East,West-North,North-North,North-West,North-East,
1,00:00-00:15,257.410000,33.390000,63.140000,24.190000,42.570000,0.870000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,6.060000,23.160000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1421.92

2,00:15-00:30,217.730000,33.390000,63.140000,24.190000,42.570000,0.870000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,6.060000,23.160000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1382.24

3,00:30-00:45,178.060000,33.390000,63.140000,24.190000,42.570000,0.870000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,6.060000,23.160000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1342.57

4,00:45-01:00,136.450000,33.390000,63.140000,24.190000,42.570000,0.870000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,6.060000,23.160000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1300.96

5,01:00-01:15,98.710000,33.390000,63.140000,24.190000,42.570000,0.680000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,6.060000,23.160000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1263.03

6,01:15-01:30,60.000000,33.390000,63.140000,24.190000,42.570000,0.680000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,5.040000,23.160000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1223.3

7,01:30-01:45,29.030000,33.390000,63.140000,24.190000,42.570000,0.680000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,5.040000,23.160000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1192.33

8,01:45-02:00,0.000000,33.390000,63.140000,24.190000,42.570000,0.680000,98.710000,4.840000,21.290000,95.800000,62.900000,46.640000,0.910000,85.140000,193.540000,108.870000,18.990000,0.580000,0.000000,77.900000,0.000000,70.160000,36.510000,0.930000,0.000000,0.000000,0.970000,5.040000,23.160000,0.000000,24.190000,22.260000,0.000000,0.000000,0,0,0.000000,0.000000,1163.3

