Block,Time Block,ANTA_LF,ANTA_GF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,SINGRAULI,TEHRI,TANDA2,TALST2,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,SIMHST2,TALA,UNCHAHAR4,URI,URI2,VALLURNTECL,UNCHAHAR1,UNCHAHAR2,UNCHAHAR3,NLCTS2EXP,NNTPP,RAPPB,NTPL,PARBATI3,RAMPUR,SALAL,SIMHST1,RIHAND2,SEWA2,RIHAND1,SASAN,RSTPSU1TO6,RAPPC,RSTPSU7,RIHAND3,CHAMERA2,CHAMERA3,BSIUL,CHAMERA1,BRBCL,NLCEXP,NLCIIST1,NLCIIST2,NJPC,NAPP,DHAULIGNGA,DADRT2,MAPS,KUDGI,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,KOTESHWR,KHSTPP-I,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,110.92,0,0,0,0,7.47,0,0,0,0,0.84,4.12,0,11.77,24.97,15.68,0,0,0,0,0,0,1.34,0,103.52,0,79.23,397.89,0,51.55,0,108.03,0,0,0,0,19.12,0,0,0,0,42.37,0,292.65,0,0,8.67,0,344.32,0,0,8.49,25.31,122.51,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,109.71,0,0,0,0,7.47,0,0,0,0,0.84,4.12,0,11.48,22.37,14.2,0,0,0,0,0,0,1.34,0,91.1,0,63.86,397.89,0,51.55,0,89.15,0,0,0,0,17.38,0,0,0,0,42.37,0,292.65,0,0,8.67,0,344.32,0,0,8.49,25.31,113.82,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,109.71,0,0,0,0,7.47,0,0,0,0,0.84,4.12,0,11.48,22.37,14.2,0,0,0,0,0,0,1.34,0,113.06,0,60.54,397.89,0,51.55,0,118.84,0,0,0,0,15.77,0,0,0,0,42.37,0,292.65,0,0,8.67,0,344.32,0,0,8.49,25.31,113.82,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,109.71,0,0,0,0,7.47,0,0,0,0,0.84,4.12,0,11.48,22.37,14.2,0,0,0,0,0,0,1.34,0,113.51,0,60.54,397.89,0,51.55,0,118.84,0,0,0,0,15.28,0,0,0,0,42.37,0,292.65,0,0,8.67,0,344.32,0,0,8.49,25.31,113.82,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,93.09,0,0,0,0,7.47,0,0,0,0,2.11,4.12,0,11.48,22.37,14.2,0,0,0,0,0,0,1.34,0,113.51,0,60.54,397.89,0,51.55,0,118.84,0,0,0,0,15.84,0,0,0,0,42.37,0,357.65,0,0,8.67,0,344.32,0,0,8.49,18.3,82.13,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,93.09,0,0,0,0,1.96,0,0,0,0,2.11,4.12,0,11.48,22.37,14.2,0,0,0,0,0,0,1.34,0,113.51,0,60.54,397.89,0,51.55,0,118.84,0,0,0,0,15.15,0,0,0,0,42.37,0,357.65,0,0,8.67,0,344.32,0,0,8.49,18.3,77.97,0,0,0,0,0,0,0,0,0

