Column1,Block,NR/2025/25642/C,NR/2025/25518/A/58597,GNARE/NR/2024/12/20/3668,NR/2025/25641/C,NR/2025/25516/A/58592,NR/2025/25517/A/58594,GNA/NR/2025/03/01/3469,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/5143,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/2563,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/9482,WR/2025/26426/A/58562,GNA/NR/2025/03/01/8036,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/6891,NR/2025/25159/A/58467,WR/2025/26427/A/58563,GNA/WR/2025/01/01/9606,WR/2025/26582/A/58633,WR/2025/26499/A/58637,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/4651,Total
,,SJVNL,OIDLWM3_AEROCITY,SECI_Trader,SJVNL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,NDMC,BAWANA_GAS,DELHI,PTC,TPTCL,NDMC,APPCPL,NDMC,NDMC,KEIPL,NDMC,APPCPL,PTC,ITCLH,KEIPL,APPCPL,APPCPL,APPCPL,PUNJAB,NDMC,
,,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,
,,RSRPL_BKN,TCSPL_BKN2,APSEPL_FTG,TPSL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TRN_ENERGY,BAWANA_GAS,CHANJUII,BRPL,BYPL,RKM_POWER,BYPL,JPL2,JIPL,BYPL,RKM_POWER,BRPL,BYPL,ITCWIND,BRPL,BYPL,BRPL,BRPL,BAWANA_GAS,SKS_Raigarh,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,HIMACHAL_STATE,MSEB_State,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,MSEB_State,HIMACHAL_STATE,DELHI_UT,CSEB_State,MSEB_State,CSEB_State,MSEB_State,PUNJAB_STATE,DELHI_UT,
,,NDMC,OIDLWM3_AEROCITY,TPDDL,NDMC,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,NDMC,HARYANA,TPDDL,HP,TPC_MSEB,NDMC,KSEB,NDMC,NDMC,CSEB_Beneficiary,NDMC,AEML,HP,ITCLH,CSEB_Beneficiary,AEML,CSEB_Beneficiary,AEML,PUNJAB,NDMC,
,,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,North-West,West-North,North-West-South,West-North,East-North,North-West,West-North,North-West,North-North,South-West-North,North-West,North-West,North-West,North-West,North-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,8.64,32,3.68,190.26,0,15.4,200,25.91,28.79,167.53,15.4,42,63.42,0.43,24,0,24,0,32,0,873.4599999999999

2,00:15-00:30,0,0,0,0,0,0,8.64,32,3.68,190.26,0,15.4,200,25.91,28.79,167.53,15.4,42,63.42,0.43,24,0,24,0,32,0,873.4599999999999

3,00:30-00:45,0,0,0,0,0,0,8.64,26.91,3.68,190.26,0,15.4,200,25.91,28.79,167.53,15.4,42,63.42,0.43,24,0,24,0,26.91,0,863.2799999999999

4,00:45-01:00,0,0,0,0,0,0,8.64,26.91,3.68,190.26,0,15.4,200,25.91,28.79,167.53,15.4,42,63.42,0.43,24,0,24,0,26.91,0,863.2799999999999

5,01:00-01:15,0,0,0,0,0,0,8.64,26.91,3.68,190.26,0,15.4,200,25.91,28.79,167.53,15.4,42,63.42,0.43,24,0,24,0,26.91,0,863.2799999999999

6,01:15-01:30,0,0,0,0,0,0,8.64,26.91,3.68,190.26,0,15.4,200,25.91,28.79,167.53,15.4,42,63.42,0.43,24,0,24,0,26.91,0,863.2799999999999

7,01:30-01:45,0,0,0,0,0,0,8.64,26.91,3.68,190.26,0,15.4,200,25.91,28.79,167.53,15.4,42,63.42,0.43,24,0,24,0,26.91,0,863.2799999999999

8,01:45-02:00,0,0,0,0,0,0,8.64,26.91,3.68,190.26,0,15.4,200,25.91,28.79,167.53,15.4,42,63.42,0.43,24,0,24,0,26.91,0,863.2799999999999

9,02:00-02:15,0,0,0,0,0,0,8.64,26.91,3.68,190.26,0,16.54,0,25.91,28.79,167.53,16.54,42,63.42,0.43,24,0,24,0,26.91,0,665.5599999999998

10,02:15-02:30,0,0,0,0,0,0,8.64,26.91,3.68,190.26,0,16.54,0,25.91,28.79,167.53,16.54,42,63.42,0.43,24,0,24,0,26.91,0,665.5599999999998

11,02:30-02:45,0,0,0,0,0,0,8.64,26.91,3.68,190.26,0,16.54,0,25.91,28.79,167.53,16.54,42,63.42,0.43,24,0,24,0,26.91,0,665.5599999999998

12,02:45-03:00,0,0,0,0,0,0,8.64,26.91,3.68,190.26,0,16.54,0,25.91,28.79,167.53,16.54,42,63.42,0.43,24,0,24,0,26.91,0,665.5599999999998

13,03:00-03:15,0,0,0,0,0,0,8.64,26.91,3.58,190.26,0,16.54,0,25.91,28.79,167.53,16.54,42,63.42,0.43,24,0,24,0,26.91,0,665.4599999999999

14,03:15-03:30,0,0,0,0,0,0,8.64,26.91,3.58,190.26,0,16.54,0,25.91,28.79,167.53,16.54,42,63.42,0.43,24,0,24,0,26.91,0,665.4599999999999

15,03:30-03:45,0,0,0,0,0,0,8.64,26.91,3.58,190.26,0,16.54,0,25.91,28.79,167.53,16.54,42,63.42,0.43,24,0,24,0,26.91,0,665.4599999999999

16,03:45-04:00,0,0,0,0,0,0,8.64,26.91,3.58,190.26,0,16.54,0,25.91,28.79,167.53,16.54,42,63.42,0.43,24,0,24,0,26.91,0,665.4599999999999

17,04:00-04:15,0,0,0,0,0,0,8.64,26.91,3.58,190.26,0,16.54,0,25.91,28.79,167.53,16.54,42,63.42,0.43,24,0,24,0,26.91,0,665.4599999999999

18,04:15-04:30,0,0,0,0,0,0,8.64,26.91,3.58,190.26,0,16.54,0,25.91,28.79,167.53,16.54,42,63.42,0.43,24,0,24,0,26.91,0,665.4599999999999

19,04:30-04:45,0,0,0,0,0,0,8.64,26.91,3.58,190.26,0,15.4,0,25.91,28.79,167.53,15.4,42,63.42,0.43,24,0,24,0,26.91,0,663.1799999999998

