Block,Time,TANDA2,AURY_CRF,AURY_GF,DULHASTI,TEHRI,SINGRAULI,SINGRAULI_HYDRO,ANTA_LF,NAPP,UNCHAHAR3,DADRI_GF,RAMPUR,KOLDAM,RAPPC,RIHAND2,SALAL,SEWA2,KOTESHWR,KISHANGANGA,UNCHAHAR4,ANTA_GF,JHAJJAR,DHAULIGNGA,CHAMERA3,TANAKPUR,UNCHAHAR2,CHAMERA2,RIHAND1,URI2,DADRT2,DADRI_LF,URI,ANTA_CRF,AURY_RF,PARBATI3,RIHAND3,NJPC,AURY_LF,CHAMERA1,DADRI_RF,ANTA_RF,RAPPB,BSIUL,UNCHAHAR1,DADRI_CRF,KHSTPP-I,SASAN,FSTPP I & II,TALA,KHSTPP-II,BRBCL,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,31.853621,0.000000,95.683500,0.758055,0.000000,40.050214,17.203313,0.000000,0.000000,0.000000,25.388312,56.432907,24.707606,15.274612,8.576721,0.000000,0.000000,0.000000,446.523000,1.276746,0.000000,8.418988,15.846444,0.000000,88.918000,30.828820,592.962248,0.000000,36.278544,0.000000,0.000000,0.000000,119.522827,21.051336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.734352,0.000000,42.147993,335.979562,13.434350,7.103775,95.045610,19.330005,57.99,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,31.853621,0.000000,95.683500,0.758055,0.000000,40.050214,17.203313,0.000000,0.000000,0.000000,25.388312,56.627235,24.707606,15.274612,8.576721,0.000000,0.000000,0.000000,446.523000,1.276746,0.000000,8.418988,15.846444,0.000000,88.918000,30.828820,555.753157,0.000000,36.278544,0.000000,0.000000,0.000000,119.522827,21.051336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.734352,0.000000,42.236050,335.979562,13.434350,7.103775,95.045610,19.330005,57.99,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,31.853621,0.000000,95.683500,0.758055,0.000000,40.050214,17.203313,0.000000,0.000000,0.000000,25.388312,56.627235,24.707606,15.274612,8.576721,0.000000,0.000000,0.000000,446.523000,1.276746,0.000000,6.809476,15.846444,0.000000,88.918000,30.828820,504.315351,0.000000,12.804192,0.000000,0.000000,0.000000,119.522827,21.051336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.734352,0.000000,42.236050,335.979562,13.434350,7.103775,95.045610,18.168887,30.70,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,31.853621,0.000000,95.683500,0.758055,0.000000,40.050214,17.203313,0.000000,0.000000,0.000000,25.388312,56.627235,24.707606,15.274612,8.576721,0.000000,0.000000,0.000000,446.523000,1.276746,0.000000,6.809476,15.846444,0.000000,88.918000,30.828820,474.215641,0.000000,12.804192,0.000000,0.000000,0.000000,119.522827,21.051336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.734352,0.000000,42.236050,335.979562,13.434350,7.103775,95.045610,17.501817,9.66,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,31.853621,0.000000,95.683500,0.758055,0.000000,40.050214,17.203313,0.000000,0.000000,0.000000,25.388312,56.627235,24.707606,10.203688,8.576721,0.000000,0.000000,0.000000,442.979134,1.276746,0.000000,11.761822,15.846444,0.000000,88.918000,30.828820,463.630050,0.000000,12.804192,0.000000,0.000000,0.000000,119.522827,21.051336,0.000000,0.000000,0.000000,0.000000,0.000000,1.063150,13.734352,0.000000,42.236050,335.979562,13.434350,7.103775,95.045610,17.347458,9.66,0,0,0,0,0

