Block,Time,LT-36,L_NR_2012_02,SH-06,L_NR_2023_04,L_NR_2018_61,LT-59,SH-07,L_NR_2012_01,LT-05,L_NR_2012_07,L_NR_2019_11,L_NR_2012_04,LT-31,LT-35,L_NR_2020_02,L_NR_2022_08,L_NR_2019_06,L_NR_2023_07,L_NR_2020_07,L_NR_2023_10,L_NR_2021_13,L_NR_2022_10,L_NR_2020_06,L_NR_2021_17,L_NR_2021_16,L_NR_2019_05,L_NR_2021_15,L_NR_2021_12,L_NR_2019_19,L_NR_2022_09,L_NR_2020_05,L_NR_2019_07,L_NR_2021_14
1,00:00-00:15,0.000000,261.160000,30.880000,29.660000,18.01,10.330000,30.880000,101.090000,115.820000,74.000000,10.750000,271.430000,0.000000,0.000000,11.320000,21.78,0,0,21.71,0,0,50,21.71,0,0,0,0,0,0,50,65.12,0,0

2,00:15-00:30,0.000000,261.160000,30.880000,29.660000,17.66,10.330000,30.880000,101.090000,115.820000,74.000000,10.750000,271.430000,0.000000,0.000000,11.320000,21.81,0,0,21.55,0,0,50.17,21.54,0,0,0,0,0,0,50.17,64.62,0,0

3,00:30-00:45,0.000000,222.940000,30.880000,29.660000,16.06,10.330000,30.880000,101.090000,115.820000,74.000000,10.750000,271.430000,0.000000,0.000000,11.320000,21.87,0,0,21.95,0,0,57.53,21.94,0,0,0,0,0,0,57.53,65.82,0,0

4,00:45-01:00,0.000000,222.940000,30.880000,29.660000,13.77,10.330000,30.880000,101.090000,115.820000,74.000000,10.750000,271.430000,0.000000,0.000000,11.320000,21.94,0,0,22.29,0,0,58.26,22.27,0,0,0,0,0,0,58.26,66.82,0,0

5,01:00-01:15,0.000000,222.940000,30.880000,29.660000,11.84,10.330000,30.880000,101.090000,115.820000,74.000000,10.750000,271.430000,0.000000,0.000000,11.140000,21.98,0,0,22.37,0,0,58.97,22.38,0,0,0,0,0,0,58.97,67.12,0,0

6,01:15-01:30,0.000000,222.940000,30.880000,29.660000,10.07,10.330000,30.880000,101.090000,115.820000,74.000000,10.750000,271.430000,0.000000,0.000000,11.140000,22.06,0,0,22.79,0,0,59.71,22.77,0,0,0,0,0,0,59.71,68.32,0,0

7,01:30-01:45,0.000000,222.940000,30.880000,29.660000,9,10.330000,30.880000,101.090000,115.820000,74.000000,10.750000,271.430000,0.000000,0.000000,11.140000,15.78,0,0,16.05,0,0,60.42,16.04,0,0,0,0,0,0,60.42,48.12,0,0

8,01:45-02:00,0.000000,222.940000,30.880000,29.660000,10.05,10.330000,30.880000,101.090000,115.820000,74.000000,10.750000,271.430000,0.000000,0.000000,11.140000,15.8,0,0,15.91,0,0,61.22,15.92,0,0,0,0,0,0,61.22,47.76,0,0

