Block,Time Block,SALAL,SASAN,KUDGI,NAPP,MAPS,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KKNP,FSTPP I & II,KGSU3AND4,KHSTPP-II,KISHANGANGA,KHSTPP-I,JHAJJAR,BSIUL,CHAMERA3,CHAMERA2,DHAULIGNGA,BRBCL,DADRT2,CHAMERA1,DULHASTI,KOTESHWR,KKNPPU2,KOLDAM,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,SIMHST2,SEWA2,UNCHAHAR2,TALA,SINGRAULI,TEHRI,UNCHAHAR1,TANDA2,SIMHST1,UNCHAHAR3,TALST2,ANTA_GF,AURY_CRF,URI,AURY_RF,ANTA_CRF,DADRI_LF,VALLURNTECL,ANTA_RF,UNCHAHAR4,AURY_LF,DADRI_GF,URI2,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,NTPL,RAPPB,RIHAND2,RSTPSU7,PARBATI3,RIHAND1,RIHAND3,RAMPUR,RAPPC,RSTPSU1TO6,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,2.24,388.72,0,19.38,0,0,0,0,0,0,0,0,0,17.47,0,142.34,0,43.7,344.83,6.26,0,0,0,19.04,585.46,0,15.82,8.51,0,0,0.76,0,0,0,0,40.69,0,120.9,0,20.01,0,0,25.11,0,0,0,33.38,0,0,0,0,0,0,0,0,30.62,0,0,0,0,0,0,113.99,0,0,88.3,119.33,0,24.72,0,0,0,0,0,0

2,00:15-00:30,2.24,388.72,0,19.38,0,0,0,0,0,0,0,0,0,17.47,0,142.34,0,43.7,287.24,6.26,0,0,0,18.6,585.46,0,15.82,8.51,0,0,0.76,0,0,0,0,40.69,0,120.9,0,20.01,0,0,25.34,0,0,0,33.38,0,0,0,0,0,0,0,0,30.62,0,0,0,0,0,0,113.99,0,0,88.3,119.33,0,24.72,0,0,0,0,0,0

3,00:30-00:45,2.24,388.72,0,19.38,0,0,0,0,0,0,0,0,0,17.47,0,142.34,0,43.7,287.24,6.26,0,0,0,17.12,585.46,0,15.82,8.51,0,0,0.76,0,0,0,0,40.69,0,120.9,0,20.01,0,0,25.34,0,0,0,33.38,0,0,0,0,0,0,0,0,30.62,0,0,0,0,0,0,113.99,0,0,88.3,119.33,0,24.72,0,0,0,0,0,0

4,00:45-01:00,2.24,388.72,0,19.38,0,0,0,0,0,0,0,0,0,17.47,0,142.34,0,43.7,344.82,6.26,0,0,0,14.21,585.46,0,15.82,8.51,0,0,0.76,0,0,0,0,40.69,0,120.9,0,20.01,0,0,25.34,0,0,0,33.38,0,0,0,0,0,0,0,0,30.62,0,0,0,0,0,0,113.99,0,0,88.3,119.33,0,24.72,0,0,0,0,0,0

5,01:00-01:15,2.24,388.72,0,19.38,0,0,0,0,0,0,0,0,0,17.47,0,142.34,0,43.7,287.24,6.26,0,0,0,14.5,585.46,0,0,8.51,0,0,0.76,0,0,0,0,40.69,0,120.9,0,20.01,0,0,25.34,0,0,0,33.38,0,0,0,0,0,0,0,0,30.62,0,0,0,0,0,0,113.99,0,0,88.3,119.33,0,24.72,0,0,0,0,0,0

