Time,Block,NR/2023/14847/C,NR/2023/13983/F,NR/2023/14856/C,NR/2023/11469/A,NR/2023/11325/A,NR/2023/14855/C,NR/2023/13284/A,NR/2023/12646/A,NR/2023/14874/C,NR/2023/14841/D,NR/2023/11470/A,NR/2023/14688/F,NR/2023/13858/A,NR/2023/11203/A,NR/2023/14886/C,NR/2023/14187/F,NR/2023/11458/A,NR/2023/13283/A,NR/2023/11954/A,NR/2023/14837/D,NR/2023/13983/F/II,NR/2023/11315/A,NR/2023/11739/A,NR/2023/14848/C,NR/2023/11654/A,NR/2023/14839/D,NR/2023/13573/A,NR/2023/14688/F/II,NR/2023/11328/A,NR/2023/11697/A,WR/2023/17245/C,NR/2023/14878/C,NR/2023/14834/D,NR/2023/13859/A,NR/2023/14833/D,NR/2023/14835/D,Total
,,HPXL,ITCLH,TPDDL,NVVNL,APPCPL,IEXL,APPCPL,MANIKARAN,TPDDL,NVVNL,NVVNL,GMRETL,MANIKARAN,KEIPL,HPXL,GBHHPL,STATKRAFT,APPCPL,KEIPL,SJVNL,ITCLH,GMRETL,NVVNL,HPXL,TPTCL,KEIPL,NVVNL,GMRETL,APPCPL,APPCPL,IEXL,IEXL,NVVNL,MANIKARAN,TS1PL_BKN,TS1PL_BKN,Total

,,NA,ANDHRA PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,KARNATAKA,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,NA,NA,GOA,HIMACHAL PRADESH,MEGHALAYA,KARNATAKA,HIMACHAL PRADESH,TAMIL NADU,GOA,MEGHALAYA,WEST BENGAL,ANDHRA PRADESH,MEGHALAYA,MP,UTTAR PRADESH,NA,MAHARASHTRA,NA,GOA,UTTARAKHAND,HIMACHAL PRADESH,DELHI,NA,NA,HIMACHAL PRADESH,NA,NA,
,,Teesta_III,ITCWIND,CHANJUII,JPNIGRIE_JNSTPP,Meghalaya_Ben,NSLSUGAR,HP,TANGEDCO,CHANJUII,KAMENG,KAMENG,GOA_Beneficiary,HP,Meghalaya_Ben,UDUPI_SR,GBHHPL,TANGEDCO,GOA_Beneficiary,Meghalaya_Ben,IPCL_WB,ITCWIND,Meghalaya_Ben,JP BINA,PPGCL,JPL-2,LMEL MSEB,SKS Raigarh,GOA_Beneficiary,UTTARAKHAND,HP,BYPL,HIRIYUR_OSTROKANNADA,SOLAPUR_SOLAR,HP,TS1PL_BKN,TS1PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,AMNSIL_WR,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,ITCLH,TPDDL,BRPL,BYPL,MES (Delhi),BRPL,BRPL,TPDDL,TPDDL,BRPL,TPDDL,BRPL,BYPL,BRPL,DIAPL,BYPL,BRPL,BYPL,NDMC,ITCLH,BYPL,BRPL,BRPL,BRPL,BYPL,NDMC,TPDDL,BYPL,BYPL,AMNSIL,BRPL,MES (Delhi),BRPL,BRPL,BYPL,
,,East-North,South-West-North,North-North,West-North,North East-East-North,South-West-North,North-North,South-West-North,North-North,North East-East-North,North East-East-North,West-North,North-North,North East-East-North,South-East-North,North-North,South-West-North,West-North,North East-East-North,East-North,South-East-North,North East-East-North,West-North,North-North,West-North,West-North,West-North,West-East-North,North-North,North-North,North-East-West,South-West-North,West-North,North-North,North-North,North-North,
1,00:00-00:15,0.000000,0.630000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,0.000000,193.080000,21.230000,0.000000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,36.420000,0.000000,0.240000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,24.140000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1365.02

2,00:15-00:30,0.000000,0.630000,14.580000,84.940000,24.140000,6.760000,85.820000,23.100000,0.000000,193.080000,21.230000,0.000000,84.470000,62.990000,0.000000,3.860000,98.470000,24.140000,36.420000,0.000000,0.240000,22.200000,42.470000,0.000000,152.530000,0.000000,62.750000,24.140000,48.270000,36.780000,30.000000,0,0,181.010000,0,0,1365.02
