Block,Time Block,DHAULIGNGA,DULHASTI,FSTPP I & II,BRBCL,CHAMERA1,BSIUL,CHAMERA2,DADRT2,CHAMERA3,KGSU1AND2,JHAJJAR,KGSU3AND4,KHSTPP-I,KKNP,KISHANGANGA,KHSTPP-II,KOLDAM,KOTESHWR,KKNPPU2,KUDGI,MAPS,NJPC,NAPP,NLCTS2EXP,NLCEXP,NLCIIST1,NLCIIST2,NNTPP,PARBATI3,NTPL,RAPPB,RAPPC,RIHAND1,RAMPUR,RIHAND2,RIHAND3,RSTPSU7,SASAN,RSTPSU1TO6,SALAL,SIMHST2,SIMHST1,SEWA2,SINGRAULI,SINGRAULI_HYDRO,TALST2,TANAKPUR,TALA,TANDA2,TelanganaSTPP,TEHRI,UNCHAHAR1,UNCHAHAR3,UNCHAHAR2,VALLURNTECL,URI,URI2,UNCHAHAR4,AURY_CRF,ANTA_LF,ANTA_CRF,ANTA_RF,ANTA_GF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,15.85,13.03,19.13,0,0,0,315.54,0,0,229.88,0,18.41,0,0,94.74,0,17.07,0,0,0,0,42.11,0,0,0,0,0,0,0,0,51.25,60.88,0,114.2,119.56,0,366.46,0,1.35,0,0,0,91.24,0.35,0,5.54,0,0,0,0,5.98,14.26,22.49,0,1.07,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,15.85,11.09,18.34,0,0,0,315.54,0,0,229.88,0,18.41,0,0,94.74,0,17.07,0,0,0,0,42.11,0,0,0,0,0,0,0,0,51.25,60.88,0,114.2,119.56,0,367.81,0,1.35,0,0,0,91.24,0.35,0,5.54,0,0,0,0,5.98,14.26,22.49,0,1.07,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,15.85,11.09,15.61,0,0,0,315.54,0,0,229.88,0,18.41,0,0,78.44,0,17.07,0,0,0,0,42.11,0,0,0,0,0,0,0,0,51.25,60.88,0,91.63,87.68,0,367.81,0,1.35,0,0,0,91.24,0.35,0,5.54,0,0,0,0,5.98,14.26,22.49,0,1.07,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,15.85,11.09,13.06,0,0,0,315.54,0,0,229.88,0,18.41,0,0,78.44,0,17.07,0,0,0,0,42.11,0,0,0,0,0,0,0,0,51.25,60.88,0,91.63,87.68,0,367.81,0,1.35,0,0,0,91.24,0.35,0,5.54,0,0,0,0,5.98,14.26,22.49,0,1.07,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,15.85,11.09,13,0,0,0,360.73,0,0,229.88,0,18.41,0,0,78.44,0,17.07,0,0,0,0,42.11,0,0,0,0,0,0,0,0,51.25,60.88,0,91.63,87.68,0,367.81,0,1.35,0,0,0,91.24,0.35,0,5.54,0,0,0,0,5.98,14.26,22.49,0,1.07,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

