Column1,Time,GNA/NR/2025/04/01/8964,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/WR/2025/04/01/4420,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/8510,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,GNA/SR/2025/04/01/2597,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1333,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/6216
1,00:00-00:15,0,26.67,0,30,0,0,73.33,73.34,0,7,0,30,0,0,0,90,0,0,0,0,0,28.77,0,26.93,2.92,26.93,86.82,7.68,260.45,0,0,0,52.5,272.15,9.62,6.63,100.27,6.74,1.92,25.99,2.89,2.89,9.62,2.89,2.66,2.79,115.09,48.12,9.62

2,00:15-00:30,0,26.33,0,30.33,0,0,73.33,73.34,0,7,0,30.33,0,0,0,91.01,0,0,0,0,0,28.77,0,26.93,2.92,26.93,86.82,7.68,260.45,0,0,0,52.5,272.15,9.62,6.63,100.27,6.74,1.92,25.99,2.89,2.89,9.62,2.89,2.66,2.79,115.09,48.12,9.62

3,00:30-00:45,0,25.67,0,30.83,0,0,73.33,73.34,0,7,0,30.83,0,0,0,92.51,0,0,0,0,0,28.77,0,26.93,2.92,26.93,86.82,7.68,260.45,0,0,0,52.5,272.15,9.62,6.63,100.27,6.74,1.92,25.99,2.89,2.89,9.62,2.89,2.66,2.79,115.09,48.12,9.62

4,00:45-01:00,0,25.33,0,31.17,0,0,73.33,73.34,0,7,0,31.17,0,0,0,93.49,0,0,0,0,0,28.77,0,26.93,2.92,26.93,86.82,7.68,260.45,0,0,0,52.5,272.15,9.62,6.63,100.27,6.74,1.92,25.99,2.89,2.89,9.62,2.89,2.66,2.79,115.09,48.12,9.62

5,01:00-01:15,0,24.67,0,31.67,0,0,73,73,0,7,0,31.67,0,0,0,94.99,0,0,0,0,0,29.27,0,26.93,2.76,26.93,86.82,7.68,260.45,0,0,0,52.5,272.15,9.62,6.63,100.27,6.74,1.92,25.99,2.89,2.89,9.62,2.89,2.66,2.79,115.09,48.12,9.62

