Block,Time Block,BRBCL,BSIUL,CHAMERA1,CHAMERA3,CHAMERA2,DHAULIGNGA,DADRT2,KGSU1AND2,DULHASTI,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,KISHANGANGA,JHAJJAR,KOLDAM,KHSTPP-I,FSTPP I & II,KUDGI,KOTESHWR,NLCEXP,MAPS,NJPC,NLCIIST1,NLCIIST2,NAPP,RSTPSU7,NNTPP,SALAL,NTPL,RIHAND3,PARBATI3,RAPPB,RIHAND2,SIMHST1,SASAN,RIHAND1,RAMPUR,RSTPSU1TO6,SEWA2,NLCTS2EXP,RAPPC,SIMHST2,TALST2,SINGRAULI,TANAKPUR,TALA,TANDA2,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,ANTA_LF,ANTA_GF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,DADRI_CRF,AURY_GF,AURY_RF,AURY_CRF,DADRI_LF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,17.69094054,12.54,40.54,30.85,42.53,38.85,656.96,0,51.73,0,129.13,0,0,2.77,388.21,5.15,42.59,13.75,0,37.16,0,0,160.7,0,0,43.37,0,0,80.47,0,122.71,16.89,0,117.05,0,393.21,44.53,3.4,0,16.7,0,58.21,0,0,89.9,10.47,9.4,0,0.43,0,39.554,32.92,51.12,19.4,0,0,19.89,24.82,0,0,0,19.22,0,0,0,0,37.48,0,0,76.68,0,0,0,0,0

2,00:15-00:30,17.71218983,12.54,40.54,30.85,42.53,38.85,656.96,0,51.73,0,129.13,0,0,2.77,388.21,5.15,42.61,13.75,0,37.16,0,0,160.7,0,0,43.37,0,0,80.47,0,122.71,16.89,0,117.05,0,394.89,44.53,3.4,0,16.7,0,58.21,0,0,89.9,10.47,9.62,0,0.43,0,39.554,32.92,51.12,19.49,0,0,19.89,24.82,0,0,0,19.22,0,0,0,0,37.48,0,0,76.68,0,0,0,0,0

3,00:30-00:45,16.64770177,12.54,40.54,30.85,42.53,38.85,656.96,0,51.73,0,129.13,0,0,2.77,388.21,5.15,42.61,13.75,0,37.16,0,0,160.7,0,0,43.37,0,0,80.47,0,122.71,16.89,0,117.05,0,394.89,44.53,3.4,0,11.14,0,58.21,0,0,89.9,10.47,9.49,0,0.43,0,39.554,26.54,51.12,19.49,0,0,19.89,24.82,0,0,0,19.22,0,0,0,0,37.48,0,0,76.68,0,0,0,0,0

4,00:45-01:00,14.8044693,12.54,40.54,30.85,42.53,38.85,656.96,0,51.73,0,129.13,0,0,2.77,388.21,5.15,42.61,13.75,0,37.16,0,0,160.7,0,0,43.37,0,0,80.47,0,122.71,16.89,0,117.05,0,394.89,44.53,3.4,0,11.14,0,58.21,0,0,89.9,10.47,9.48,0,0.43,0,39.554,26.54,51.12,19.49,0,0,19.89,24.82,0,0,0,19.22,0,0,0,0,37.48,0,0,76.68,0,0,0,0,0

5,01:00-01:15,13.59180928,12.54,40.54,30.85,42.53,38.85,656.96,0,51.73,0,129.13,0,0,2.77,388.21,5.15,42.61,13.75,0,37.16,0,0,160.7,0,0,43.37,0,0,80.47,0,122.71,16.89,0,117.05,0,394.89,32.15,3.4,0,11.14,0,58.21,0,0,89.9,10.47,9.46,0,0.43,0,39.554,26.54,51.12,19.49,0,0,19.89,24.82,0,0,0,19.22,0,0,0,0,57.97,0,0,76.68,0,0,0,0,0

6,01:15-01:30,14.05323708,12.54,40.54,30.85,42.53,38.85,656.96,0,51.73,0,129.13,0,0,2.77,388.21,5.15,42.61,13.75,0,37.16,0,0,160.7,0,0,43.37,0,0,80.47,0,122.71,16.89,0,117.05,0,394.89,32.15,3.4,0,11.14,0,58.21,0,0,89.9,10.47,9.49,0,0.43,0,39.554,26.54,51.12,19.49,0,0,19.89,24.82,0,0,0,19.22,0,0,0,0,57.97,0,0,76.68,0,0,0,0,0

7,01:30-01:45,13.39428464,12.54,40.54,30.85,42.53,38.85,656.96,0,35.39,0,129.13,0,0,2.77,388.21,5.15,42.61,13.75,0,37.16,0,0,160.7,0,0,43.37,0,0,80.47,0,122.71,16.89,0,117.05,0,394.89,32.15,3.4,0,11.14,0,58.21,0,0,89.9,10.47,9.73,0,0.43,0,39.554,44.59,51.12,19.49,0,0,34.67,24.82,0,0,0,19.22,0,0,0,0,57.97,0,0,44.78,0,0,0,0,0

8,01:45-02:00,13.2901553,12.54,40.54,30.85,42.53,38.85,656.96,0,35.39,0,129.13,0,0,2.77,388.21,5.15,42.61,13.75,0,37.16,0,0,160.7,0,0,43.37,0,0,80.47,0,122.71,16.89,0,117.05,0,394.89,32.15,3.4,0,11.14,0,58.21,0,0,89.9,10.47,9.27,0,0.43,0,39.544,44.59,51.12,19.42,0,0,34.67,24.77,0,0,0,0,0,0,0,0,57.97,0,0,0,0,0,0,0,0

9,02:00-02:15,14.30948522,12.54,40.54,30.85,42.53,38.85,656.96,0,35.39,0,129.13,0,0,2.77,388.96,5.15,42.61,13.75,0,27.87,0,0,160.7,0,0,43.37,0,0,80.47,0,122.71,16.89,0,117.05,0,394.89,32.15,3.4,0,5.57,0,58.21,0,0,89.9,10.47,9.27,0,0.43,0,39.544,26.54,51.12,19.4,0,0,34.67,24.77,0,0,0,0,0,0,0,0,57.97,0,0,0,0,0,0,0,0

10,02:15-02:30,14.45174685,12.54,40.54,30.85,42.53,38.85,656.96,0,35.39,0,129.13,0,0,2.77,388.96,5.15,42.61,13.75,0,27.87,0,0,160.7,0,0,43.37,0,0,80.47,0,122.71,16.89,0,117.05,0,394.89,32.15,3.4,0,5.57,0,58.21,0,0,89.9,10.47,9.27,0,0.43,0,39.544,26.54,51.12,19.4,0,0,19.89,24.77,0,0,0,0,0,0,0,0,57.97,0,0,0,0,0,0,0,0

11,02:30-02:45,15.17355044,18.81,40.54,30.85,42.53,38.85,656.96,0,35.39,0,129.13,0,0,2.77,388.96,5.15,42.61,13.75,0,27.87,0,0,160.7,0,0,43.37,0,0,80.47,0,122.71,16.89,0,117.05,0,394.89,32.15,3.4,0,5.57,0,58.21,0,0,89.9,10.47,9.27,0,0.43,0,39.544,32.92,51.12,19.4,0,0,19.89,24.77,0,0,0,0,0,0,0,0,57.97,0,0,0,0,0,0,0,0

12,02:45-03:00,16.02950321,18.81,40.54,30.85,42.53,38.85,656.96,0,35.39,0,129.13,0,0,2.77,388.96,5.15,42.61,13.75,0,27.87,0,0,160.7,0,0,43.37,0,0,80.47,0,122.71,16.89,0,117.05,0,394.89,32.15,3.4,0,5.57,0,58.21,0,0,89.9,10.47,9.27,0,0.43,0,39.544,32.92,51.12,19.4,0,0,19.89,24.77,0,0,0,0,0,0,0,0,58.56,0,0,0,0,0,0,0,0

13,03:00-03:15,15.90569753,18.81,40.54,30.85,42.53,38.85,656.96,0,35.39,0,129.13,0,0,2.77,388.96,5.15,42.61,13.75,0,27.87,0,0,160.7,0,0,43.37,0,0,75.98,0,122.71,16.89,0,117.05,0,394.89,32.15,3.4,0,5.57,0,58.21,0,0,89.9,9.37,9.7,0,0.43,0,39.544,38.23,51.12,19.77,0,0,19.89,25.39,0,0,0,0,0,0,0,0,58.56,0,0,0,0,0,0,0,0

14,03:15-03:30,16.45101604,18.81,40.54,30.85,42.53,38.85,628.48,0,35.39,0,129.13,0,0,2.77,386.28,5.15,42.61,13.75,0,27.87,0,0,160.7,0,0,43.37,0,0,75.98,0,122.71,16.89,0,117.05,0,394.89,32.15,3.4,0,5.57,0,58.21,0,0,89.9,9.37,9.7,0,0.43,0,39.544,38.23,51.12,19.77,0,0,19.89,25.39,0,0,0,0,0,0,0,0,58.56,0,0,0,0,0,0,0,0

15,03:30-03:45,17.73798623,18.81,40.54,30.85,42.53,38.85,580.4,0,35.39,0,129.13,0,0,2.77,386.28,5.15,42.61,13.75,0,27.87,0,0,160.7,0,0,43.37,0,0,75.98,0,122.71,16.89,0,117.05,0,394.89,32.15,3.4,0,0,0,58.21,0,0,89.9,9.37,9.7,0,0.43,0,39.544,38.23,51.12,19.77,0,0,19.89,25.39,0,0,0,0,0,0,0,0,58.56,0,0,0,0,0,0,0,0

16,03:45-04:00,17.26691099,18.81,40.54,30.85,42.53,38.85,532.31,0,35.39,0,129.13,0,0,2.77,386.28,5.15,42.61,13.75,0,27.87,0,0,160.7,0,0,43.37,0,0,75.98,0,122.71,16.89,0,117.05,0,394.89,32.15,3.4,0,0,0,58.21,0,0,89.9,9.37,9.52,0,0.43,0,39.544,38.23,51.12,19.77,0,0,19.89,25.39,0,0,0,0,0,0,0,0,58.56,0,0,0,0,0,0,0,0

17,04:00-04:15,16.82698018,18.81,40.54,30.85,42.53,38.85,484.23,0,35.39,0,129.13,0,0,2.77,386.28,5.15,42.61,13.75,0,18.58,0,0,160.7,0,0,43.37,0,0,75.98,0,122.71,16.89,0,117.05,0,394.89,32.15,3.4,0,0,0,58.21,0,0,89.9,11.33,9.51,0,0.43,0,39.544,32.92,51.12,19.4,0,0,22.74,24.77,0,0,0,0,0,0,0,0,58.56,0,0,0,0,0,0,0,0

18,04:15-04:30,17.59803158,18.81,40.54,30.85,42.53,38.85,484.23,0,35.39,0,129.13,0,0,2.77,386.28,5.15,42.61,13.75,0,18.58,0,0,160.7,0,0,43.37,0,0,75.98,0,122.71,16.89,0,117.05,0,394.89,32.15,3.4,0,0,0,58.21,0,0,89.9,11.33,9.51,0,0.43,0,39.544,32.92,51.12,19.4,0,0,22.74,24.77,0,0,0,0,0,0,0,0,58.56,0,0,0,0,0,0,0,0

19,04:30-04:45,18.31591725,12.54,40.54,30.85,42.53,38.85,438.06,0,35.39,0,129.13,0,0,2.77,386.28,5.15,42.61,13.75,0,18.58,0,0,160.7,0,0,43.37,0,0,75.98,0,122.71,16.89,0,117.05,0,394.89,32.15,3.4,0,0,0,58.21,0,0,89.9,11.33,9.44,0,0.43,0,39.544,32.92,51.12,19.4,0,0,21.31,24.77,0,0,0,0,0,0,0,0,58.56,0,0,0,0,0,0,0,0

20,04:45-05:00,19.22996433,12.54,40.54,30.85,42.53,38.85,438.06,0,35.39,0,129.13,0,0,2.77,386.28,5.15,42.61,13.75,0,18.58,0,0,160.7,0,0,43.37,0,0,75.98,0,122.71,16.89,0,117.05,0,394.89,32.15,3.4,0,0,0,58.21,0,0,89.9,11.33,9.3,0,0.43,0,39.544,32.92,51.12,19.4,0,0,21.31,24.77,0,0,0,0,0,0,0,0,57.97,0,0,0,0,0,0,0,0

21,05:00-05:15,19.22996433,12.54,40.54,30.85,42.53,38.85,434.03,0,35.39,0,129.13,0,0,2.77,308.65,5.15,42.61,13.75,0,18.58,0,0,160.7,0,0,43.37,0,0,75.98,0,122.71,14.87,0,117.05,0,394.89,32.15,3.4,0,0,0,58.21,0,0,89.9,11.33,9.02,0,0.43,0,27.303,32.92,51.12,13.85,0,0,34.67,17.37,0,0,0,0,0,0,0,0,57.97,0,0,0,0,0,0,0,0

