Block,Time,NR/16022024/29022024/HP-38,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01022024/29022024/79,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/19022024/29022024/NVVN/OA/16907,NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,NR/16022024/29022024/HP-45,NR/16022024/29022024/HP-40,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01012024/31032024/ ChanjuII,NR/01102023/05012040/L_NR_2020_02,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/16022024/29022024/HP-36,NR/19022024/19022024/DD20240219NR22875,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02122045/L_NR_2021_13,NR/01102023/14082046/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,SR/14022024/29022024/SJVN140224NR1518,WR/01102023/01102023/L_NR_2020_06,NR/01022024/29022024/SJVN010224NR1468,NR/01022024/29022024/SJVN010224NR1469,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10
1,00:00-00:15,128.130000,96.350000,0.000000,8.190000,5.780000,19.270000,133.930000,33.720000,11.560000,24.090000,6.740000,16.320000,0.000000,47.210000,0.000000,0.000000,0.690000,1.840000,1.390000,4.820000,25.370000,140.670000,38.170000,0.000000,6.740000,0.950000,30.830000,53.960000,0.000000,0.000000,18.310000,0,0,11.02,0,0,95,0,31.67,0,0,0,0,31.66,0,0,22,0,0,0,0,76.67,0,0,76.67

2,00:15-00:30,128.130000,96.350000,0.000000,8.190000,5.780000,19.270000,144.520000,33.720000,11.560000,24.090000,6.740000,16.320000,0.000000,33.050000,0.000000,0.000000,0.690000,1.840000,1.390000,4.820000,25.370000,111.770000,38.170000,0.000000,6.740000,0.950000,30.830000,53.960000,0.000000,0.000000,18.310000,0,0,9.74,0,0,95,0,31.67,0,0,0,0,31.66,0,0,22.34,0,0,0,0,76.67,0,0,76.67

3,00:30-00:45,128.130000,96.350000,0.000000,8.190000,5.780000,19.270000,155.120000,33.720000,11.560000,24.090000,6.740000,16.320000,0.000000,35.130000,0.000000,0.000000,0.690000,1.840000,1.390000,4.820000,25.370000,111.770000,38.170000,0.000000,6.740000,0.950000,30.830000,53.960000,0.000000,0.000000,18.310000,0,0,8.51,0,0,95,0,31.67,0,0,0,0,31.66,0,0,22.66,0,0,0,0,76.67,0,0,76.67

4,00:45-01:00,128.130000,96.350000,0.000000,8.190000,5.780000,19.270000,155.120000,33.720000,11.560000,24.090000,6.740000,16.320000,0.000000,35.130000,0.000000,0.000000,0.690000,1.840000,1.390000,4.820000,25.370000,111.770000,38.170000,0.000000,6.740000,0.950000,30.830000,53.960000,0.000000,0.000000,18.310000,0,0,7.54,0,0,95,0,31.67,0,0,0,0,31.66,0,0,23,0,0,0,0,76.67,0,0,76.67

5,01:00-01:15,128.130000,96.350000,0.000000,8.190000,5.780000,19.270000,155.120000,33.720000,11.560000,24.090000,6.740000,16.320000,0.000000,35.130000,0.000000,0.000000,0.690000,1.840000,1.390000,4.820000,25.370000,111.770000,38.170000,0.000000,6.740000,0.950000,30.830000,53.960000,0.000000,0.000000,18.310000,0,0,7.01,0,0,95,0,31.67,0,0,0,0,31.66,0,0,22.66,0,0,0,0,76.67,0,0,76.67

