Block,Time,URI,URI2,RIHAND2,RIHAND3,SEWA2,SINGRAULI,TANAKPUR,TEHRI,UNCHAHAR1,UNCHAHAR3,SALAL,SINGRAULI_HYDRO,UNCHAHAR2,UNCHAHAR4,TANDA2,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,CHAMERA1,CHAMERA2,DADRT2,DULHASTI,JHAJJAR,KISHANGANGA,KOTESHWR,KOLDAM,NJPC,RAPPC,CHAMERA3,DHAULIGNGA,BSIUL,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,SIMHST2,NTPL,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,MAPS,KHSTPP-II,KHSTPP-I,FSTPP I & II,TALA,BRBCL,SASAN
1,00:00-00:15,30.912,38.350728,124.384996,123.980717,0,122.40709,10.8885,64.382499,22.630299,27.63898,83.664,0,44.306625,3.094586,5.434085,49.768942,4.272092,6.745515,0,93.891075,14.04936,48.499829,688.415948,59.175403,422.443785,8.340651,39.195646,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,52.397528,0,0,0,82.828606,0,0,0,82.260408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.3194,15.00135,348.975

2,00:15-00:30,30.912,38.350728,124.384996,123.980717,0,122.40709,10.8885,64.382499,22.630299,27.63898,83.664,0,44.306625,3.094586,5.434085,49.768942,4.272092,6.745515,0,93.891075,14.04936,48.499829,688.415948,59.175403,422.443785,8.340651,39.195646,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,52.397528,0,0,0,82.828606,0,0,0,82.260408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.3194,15.00135,348.975

3,00:30-00:45,30.912,38.350728,124.384996,123.980717,0,122.40709,10.8885,64.382499,22.630299,27.63898,83.664,0,44.306625,3.094586,5.434085,49.768942,4.272092,6.745515,0,93.891075,28.09872,48.499829,688.415948,59.175403,422.443785,8.340651,39.195646,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,52.397528,0,0,0,82.828606,0,0,0,82.260408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.3194,15.00135,348.975

4,00:45-01:00,30.912,38.350728,124.384996,123.980717,0,122.40709,10.8885,64.382499,22.630299,27.63898,83.664,0,44.306625,3.094586,5.434085,49.768942,4.272092,6.745515,0,93.891075,28.09872,48.499829,688.415948,59.175403,422.443785,8.340651,39.195646,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,52.397528,0,0,0,82.828606,0,0,0,82.260408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.3194,15.00135,348.975

5,01:00-01:15,24.288,23.969204,124.384996,123.980717,0,122.40709,10.8885,64.382499,22.630299,27.63898,83.664,0,44.306625,3.094586,5.434085,49.768942,4.272092,6.745515,0,93.891075,28.09872,48.499829,688.415948,59.175403,422.443785,8.340651,39.195646,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,52.397528,0,0,0,82.828606,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.3194,15.00135,348.975

6,01:15-01:30,24.288,23.969204,124.384996,123.980717,0,122.40709,10.8885,64.382499,22.630299,27.63898,83.664,0,44.306625,3.094586,5.434085,49.768942,4.272092,6.745515,0,93.891075,28.09872,48.499829,688.415948,59.175403,422.443785,8.340651,39.195646,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,52.397528,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.3194,15.00135,348.975

7,01:30-01:45,24.288,23.969204,124.384996,123.980717,0,122.40709,10.8885,64.382499,22.630299,27.63898,83.664,0,44.306625,3.094586,5.434085,49.768942,4.272092,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,52.397528,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.9074,15.00135,348.975

8,01:45-02:00,24.288,23.969204,124.384996,123.980717,0,122.40709,10.8885,64.382499,22.630299,27.63898,83.664,0,44.306625,3.094586,5.434085,49.768942,4.272092,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,52.397528,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.9074,15.00135,348.975

9,02:00-02:15,26.496,23.969204,124.384996,123.980717,0,122.40709,10.8885,64.382499,19.539504,27.63898,83.664,0,44.906625,3.094586,5.434085,49.768942,4.272092,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,53.049239,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,11.2014,15.00135,348.975

10,02:15-02:30,26.496,23.969204,124.384996,123.980717,0,122.40709,10.8885,64.382499,19.539504,27.63898,83.664,0,44.906625,3.094586,5.434085,49.768942,4.272092,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,53.049239,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,11.2014,15.00135,348.975

11,02:30-02:45,47.472,22.371258,124.384996,123.980717,0,122.40709,10.8885,64.382499,19.539504,27.63898,83.664,0,44.906625,3.094586,5.534085,49.768942,4.272092,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,53.049239,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,11.2014,15.00135,348.975

12,02:45-03:00,47.472,22.371258,124.384996,123.980717,0,122.40709,10.8885,64.382499,19.539504,27.63898,83.664,0,44.906625,3.094586,5.534085,49.768942,4.272092,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,53.049239,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,11.2014,15.00135,348.975

13,03:00-03:15,26.496,22.371258,124.384996,123.980717,0,122.40709,9.4794,64.382499,19.539504,27.63898,79.016,0,44.906625,3.094586,5.534085,49.768942,3.814367,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,53.049239,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.9074,15.00135,348.975

14,03:15-03:30,26.496,22.371258,124.384996,123.980717,0,122.40709,9.4794,64.382499,19.539504,27.63898,79.016,0,44.906625,3.094586,5.534085,49.768942,3.814367,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,53.049239,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.9074,15.00135,348.975

15,03:30-03:45,26.496,22.371258,124.384996,123.980717,0,122.40709,9.4794,64.382499,19.539504,27.63898,79.016,0,44.906625,3.094586,5.534085,49.768942,3.814367,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,53.049239,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.9074,15.00135,348.975

16,03:45-04:00,26.496,22.371258,124.384996,123.980717,0,122.40709,9.4794,64.382499,19.539504,27.63898,79.016,0,44.906625,3.094586,5.534085,49.768942,3.814367,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,39.195646,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,53.049239,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.9074,15.00135,348.975

17,04:00-04:15,26.496,22.371258,124.384996,123.980717,0,122.40709,11.529,64.382499,19.539504,27.63898,79.016,0,44.906625,3.094586,5.534085,49.768942,4.272092,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,53.049239,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.6134,15.00135,348.975

18,04:15-04:30,26.496,22.371258,124.384996,123.980717,0,122.40709,11.529,64.382499,19.539504,27.63898,79.016,0,44.906625,3.094586,5.534085,49.768942,4.272092,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,53.049239,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.6134,15.00135,348.975

19,04:30-04:45,47.472,22.371258,124.384996,123.980717,0,122.40709,11.529,64.382499,19.539504,27.63898,79.016,0,44.906625,3.094586,5.534085,49.768942,18.308964,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,53.049239,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.6134,15.00135,348.975

20,04:45-05:00,47.472,22.371258,124.384996,123.980717,0,122.40709,11.529,64.382499,19.539504,27.63898,79.016,0,44.906625,3.094586,5.534085,49.768942,18.308964,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,53.049239,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.392312,15.00135,348.975

21,05:00-05:15,28.704,22.371258,124.384996,123.980717,0,122.40709,11.529,64.382499,19.539504,27.63898,79.016,0,44.906625,3.094586,5.534085,49.768942,6.102988,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,53.049239,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,10.021284,15.00135,348.975

22,05:15-05:30,28.704,22.371258,124.384996,123.980717,0,122.40709,11.529,64.382499,19.539504,27.63898,79.016,0,44.906625,3.094586,5.534085,49.768942,9.154482,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,53.049239,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,9.784908,15.00135,348.975

23,05:30-05:45,28.704,22.371258,124.384996,123.980717,0,122.40709,11.529,64.382499,19.539504,27.63898,79.016,0,44.906625,3.094586,5.534085,49.768942,12.205976,6.745515,0,93.891075,28.09872,48.499829,688.715948,59.175403,422.443785,8.340651,31.125953,10.211652,179.962454,67.990882,34.831253,43.536137,6.5208,0,53.049239,0,0,0,84.186452,0,0,0,82.929191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.302375,32.171,14.300737,9.522072,15.00135,348.975

