Block,Time,PARBATI3,RSTPSU1TO6,SEWA2,TANAKPUR,TelanganaSTPP,URI,ANTA_GF,DHAULIGNGA,KGSU1AND2,KKNP,KOTESHWR,NLCIIST2,NNTPP,SALAL,SINGRAULI,TEHRI,UNCHAHAR3,CHAMERA3,DADRT2,KHSTPP-II,NAPP,NLCIIST1,NLCTS2EXP,SASAN,SIMHST1,ANTA_CRF,ANTA_RF,DULHASTI,KISHANGANGA,KOLDAM,RAPPC,RIHAND1,RSTPSU7,TALA,TALST2,UNCHAHAR2,AURY_GF,FSTPP I & II,JHAJJAR,KHSTPP-I,KKNPPU2,NTPL,RAPPB,RIHAND3,SIMHST2,TANDA2,URI2,ANTA_LF,AURY_CRF,AURY_LF,DADRI_GF,DADRI_LF,MAPS,RAMPUR,UNCHAHAR4,BRBCL,KUDGI,NLCEXP,UNCHAHAR1,VALLURNTECL,BSIUL,CHAMERA1,CHAMERA2,KGSU3AND4,NJPC,RIHAND2,SINGRAULI_HYDRO,AURY_RF,DADRI_CRF,DADRI_RF
1,00:00-00:15,0,0,0,6.27,0,26.49,0,0,0,0,8.87,0,0,1.4,125.97,0,26.39,0,683.14,98.87,43.46,0,0,405,0,29.93,0,0,0,0,54.06,92,0,0,0,42.4,0,18.2,654.31,45.22,0,0,0,124.32,0,0,5.38,0,70.59,0,0,24.11,0,0,0,20,0,0,20.56,0,0,0,0,0,0,118.76,0,0,36.72,7.12

2,00:15-00:30,0,0,0,6.27,0,26.49,0,0,0,0,8.87,0,0,1.4,125.97,0,26.39,0,683.14,98.87,43.46,0,0,405,0,29.93,0,0,0,0,54.06,92,0,0,0,42.4,0,18.2,654.31,45.22,0,0,0,124.32,0,0,18.83,0,70.59,0,0,24.11,0,0,0,20,0,0,20.56,0,0,0,0,0,0,118.76,0,0,36.72,7.12

3,00:30-00:45,0,0,0,6.27,0,26.49,0,0,0,0,8.87,0,0,1.4,125.97,0,26.39,0,683.14,98.87,43.46,0,0,405,0,29.93,0,0,0,0,54.06,92,0,0,0,42.4,0,18.2,654.31,45.22,0,0,0,124.32,0,0,18.83,0,70.59,0,0,24.11,0,0,0,20,0,0,20.56,0,0,0,0,0,0,118.76,0,0,36.72,7.12

4,00:45-01:00,0,0,0,0.51,0,3.31,0,0,0,0,8.87,0,0,1.4,125.97,0,26.39,0,683.14,98.87,43.46,0,0,405,0,29.93,0,0,0,0,54.06,92,0,0,0,42.4,0,18.2,654.31,45.22,0,0,0,124.32,0,0,18.83,0,70.59,0,0,24.11,0,0,0,20,0,0,20.56,0,0,0,0,0,0,118.76,0,0,36.72,7.12

5,01:00-01:15,0,0,0,0.51,0,1.33,0,0,0,0,8.87,0,0,1.4,125.97,0,26.39,0,683.14,98.87,43.46,0,0,405,0,29.93,0,0,0,0,54.06,92,0,0,0,42.4,0,18.2,654.31,45.22,0,0,0,124.32,0,0,18.83,0,70.59,0,0,24.11,0,0,0,20,0,0,20.56,0,0,0,0,0,0,118.76,0,0,36.72,7.12

