Column1,Time,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,GNA/WR/2024/11/01/4200,NR/01102023/30042040/GNA_LT_35,GNA/WR/2024/10/15/7089,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5428,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/9061,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/11/01/5474,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,4.66,4.67,16.33,14,0,16.33,5.34,0,0,0,100.59,28.76,2.41,26.87,0,70.39,2.4,231.72,68.1,3.87,2.76,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,106.04,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

2,00:15-00:30,4.66,4.67,15.33,14,0,15.33,5.34,0,0,0,100.59,28.76,2.41,26.87,0,70.39,2.4,231.72,68.1,3.87,2.76,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,106.04,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

3,00:30-00:45,4.66,4.67,14.67,14,0,14.67,5.34,0,0,0,100.59,28.76,2.41,26.87,0,70.39,2.4,231.72,68.1,3.87,2.76,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,106.04,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

4,00:45-01:00,4.66,4.67,13.67,14,0,13.67,5.34,0,0,0,100.59,29.26,2.41,26.87,0,70.39,2.4,231.72,68.1,3.87,2.76,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,106.04,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

5,01:00-01:15,4.66,4.67,13.33,14,0,13.33,5.34,0,0,0,100.59,29.26,2.41,26.87,0,70.39,2.4,231.72,68.1,3.87,2.76,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,106.04,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

6,01:15-01:30,4.66,4.67,13.33,14,0,13.33,5.34,0,0,0,100.59,29.26,2.41,26.87,0,70.39,2.4,231.72,68.1,3.87,2.76,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,106.04,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

7,01:30-01:45,4.66,4.67,13.33,14,0,13.33,5.34,0,0,0,100.59,29.26,2.41,26.87,0,70.39,2.4,231.72,68.1,3.87,2.76,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,106.04,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

8,01:45-02:00,4.66,4.67,13.33,14,0,13.33,5.34,0,0,0,100.59,28.76,2.41,26.87,0,70.39,2.4,231.72,68.1,3.87,2.76,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,106.04,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

9,02:00-02:15,4.66,4.67,13.33,14,0,13.33,5.34,0,0,0,100.59,28.76,2.41,26.87,0,70.39,2.4,231.72,68.1,3.87,2.68,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,106.04,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

10,02:15-02:30,4.66,4.67,13.33,14,0,13.33,5.34,0,0,0,100.59,28.26,2.41,26.87,0,70.39,2.4,231.72,68.1,3.87,2.68,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,106.04,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

11,02:30-02:45,4.66,4.67,13.33,14,0,13.33,5.34,0,0,0,82.07,28.26,2.41,26.87,0,70.39,2.4,231.72,68.1,3.87,2.68,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,106.04,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

12,02:45-03:00,4.98,4.98,13.33,14.95,0,13.33,5.34,0,0,0,72.41,28.26,2.41,26.87,0,70.39,2.4,231.72,68.1,3.87,2.68,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,106.04,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

13,03:00-03:15,5.23,5.24,13.33,15.71,0,13.33,5.34,0,0,0,62.76,28.26,2.41,26.87,0,70.39,2.4,231.72,68.1,3.87,2.68,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,106.04,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

14,03:15-03:30,5.48,5.48,13.33,16.44,0,13.33,5.34,0,0,0,57.93,28.26,2.41,26.87,0,70.39,2.4,231.72,68.1,3.87,2.68,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,106.04,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

15,03:30-03:45,5.71,5.72,13.33,17.15,0,13.33,5.34,0,0,0,53.1,27.75,2.41,26.87,0,70.39,2.4,231.72,60.46,3.87,2.68,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,106.04,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

16,03:45-04:00,5.97,5.98,13.33,17.93,0,13.33,5.34,0,0,0,53.1,27.75,2.41,26.87,0,70.39,2.4,231.72,57.64,3.87,2.68,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,106.04,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

17,04:00-04:15,5.86,5.88,13.33,17.63,0,13.33,5.34,0,0,0,53.1,27.75,2.41,26.87,0,70.39,2.33,231.72,57.64,3.78,2.61,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,98.39,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

18,04:15-04:30,5.59,5.59,13.33,16.78,0,13.33,5.34,0,0,0,53.1,27.75,2.41,26.87,0,70.39,2.33,231.72,57.64,3.78,2.61,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0,94.53,285.39,0,0,0,0,0,0,7.2,0,0,0,0,0

