Time,Block,NR/2024/18274/C,NR/2023/18183/A/2759,NR/2023/18204/A/2632,NR/2023/18074/A/2624,NR/2024/18272/C,NR/2024/18271/C,WR/2023/20937/A/2758,WR/2023/20914/A/2753,Total
,,SJVNL,MANIKARAN,IEXL,ITCLH,SJVNL,NVVNL,MANIKARAN,APPCPL,Total

,,UTTAR PRADESH,DELHI,ANDHRA PRADESH,ANDHRA PRADESH,UTTAR PRADESH,NA,DELHI,DELHI,
,,BCMLUH,BRPL,SNJSUGARLTDAP,ITCWIND,BCMLB001,SOLAPUR_SOLAR,BRPL,BRPL,
,,DELHI,HIMACHAL PRADESH,DELHI,DELHI,DELHI,DELHI,GOA,GOA,
,,NDMC,HP,MES (Delhi),ITCLH,NDMC,MES (Delhi),GOA_Beneficiary,GOA_Beneficiary,
,,North-North,North-North,South-East-North,South-West-North,North-North,West-North,North-West,North-West,
1,00:00-00:15,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

2,00:15-00:30,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

3,00:30-00:45,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

4,00:45-01:00,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

5,01:00-01:15,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

6,01:15-01:30,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

7,01:30-01:45,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

8,01:45-02:00,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

9,02:00-02:15,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

10,02:15-02:30,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

11,02:30-02:45,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

12,02:45-03:00,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

13,03:00-03:15,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

14,03:15-03:30,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

15,03:30-03:45,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

16,03:45-04:00,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

17,04:00-04:15,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

18,04:15-04:30,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

19,04:30-04:45,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

20,04:45-05:00,0.000000,0.000000,5.760000,0.380000,0.000000,0,0.000000,0.000000,6.14

21,05:00-05:15,0.000000,0.000000,5.760000,0.430000,0.000000,0,0.000000,0.000000,6.19

22,05:15-05:30,0.000000,0.000000,5.760000,0.430000,0.000000,0,0.000000,0.000000,6.19

23,05:30-05:45,0.000000,0.000000,5.760000,0.430000,0.000000,0,0.000000,0.000000,6.19

24,05:45-06:00,0.000000,0.000000,5.760000,0.430000,0.000000,0,0.000000,0.000000,6.19

25,06:00-06:15,0.000000,158.480000,5.760000,0.380000,0.000000,0,0.000000,0.000000,164.62

26,06:15-06:30,0.000000,158.480000,5.760000,0.380000,0.000000,0,0.000000,0.000000,164.62

27,06:30-06:45,0.000000,158.480000,5.760000,0.380000,0.000000,0,0.000000,0.000000,164.62

28,06:45-07:00,0.000000,158.480000,5.760000,0.380000,0.000000,0,0.000000,0.000000,164.62

29,07:00-07:15,0.000000,158.480000,5.760000,0.530000,0.000000,0,0.000000,0.000000,164.77

30,07:15-07:30,0.000000,158.480000,5.760000,0.530000,0.000000,0,0.000000,0.000000,164.77

31,07:30-07:45,0.000000,158.480000,5.760000,0.530000,0.000000,0.32,0.000000,0.000000,165.09

32,07:45:08:00,0.000000,158.480000,5.760000,0.530000,0.000000,0.66,0.000000,0.000000,165.43

33,08:00-08:15,0.000000,158.480000,5.760000,0.860000,0.000000,1.15,0.000000,0.000000,166.25

34,08:15-08:30,0.000000,158.480000,5.760000,0.860000,0.000000,1.43,0.000000,0.000000,166.53

35,08:30-08:45,0.000000,158.480000,5.760000,0.860000,0.000000,1.95,0.000000,0.000000,167.05

36,08:45:09:00,0.000000,158.480000,5.760000,0.860000,0.000000,2.4,0.000000,0.000000,167.5

37,09:00:09:15,0.000000,0.000000,5.760000,0.860000,0.000000,1.87,0.000000,0.000000,8.49

38,09:15-09:30,0.000000,0.000000,5.760000,0.860000,0.000000,2.56,0.000000,0.000000,9.18

