Block,Time,CHAMERA2,KHSTPP-I,KUDGI,RSTPSU7,SIMHST1,SIMHST2,TALA,TALST2,TANAKPUR,TANDA2,UNCHAHAR2,AURY_RF,DADRT2,FSTPP I & II,KKNP,NLCIIST1,RAPPC,RIHAND3,RSTPSU1TO6,UNCHAHAR4,BSIUL,KOTESHWR,RIHAND1,SASAN,URI,AURY_LF,DHAULIGNGA,DULHASTI,JHAJJAR,NLCEXP,NLCIIST2,NTPL,PARBATI3,RAPPB,DADRI_LF,CHAMERA3,KGSU1AND2,KGSU3AND4,KKNPPU2,KOLDAM,NLCTS2EXP,SALAL,TEHRI,ANTA_CRF,KISHANGANGA,NJPC,SEWA2,TelanganaSTPP,UNCHAHAR3,AURY_CRF,AURY_GF,BRBCL,CHAMERA1,MAPS,NNTPP,RIHAND2,SINGRAULI,ANTA_RF,DADRI_GF,DADRI_RF,KHSTPP-II,NAPP,RAMPUR,SINGRAULI_HYDRO,UNCHAHAR1,URI2,VALLURNTECL,ANTA_GF,ANTA_LF,DADRI_CRF
1,00:00-00:15,0,45.22,0,0,0,0,0,0,3.85,0,21.19,0,683.14,20.8,0,0,52.66,124.32,0,0,0,8.87,92,348.98,35.33,0,0,14.12,654.31,0,0,0,0,0,22.47,0,0,0,0,0,0,2.33,0,42.84,0,0,0,0,26.39,70.59,0,20,0,0,0,118.76,139.68,0,0,0,98.87,42.82,0,0,20.56,18.83,0,0,0,66.85

2,00:15-00:30,0,45.22,0,0,0,0,0,0,3.85,0,21.19,0,683.14,20.8,0,0,52.66,124.32,0,0,0,8.87,92,348.98,35.33,0,0,14.12,654.31,0,0,0,0,0,22.47,0,0,0,0,0,0,2.33,0,42.84,0,0,0,0,26.39,70.59,0,20,0,0,0,118.76,139.68,0,0,0,98.87,42.82,0,0,20.56,18.83,0,0,0,66.85

3,00:30-00:45,0,45.22,0,0,0,0,0,0,3.85,0,21.19,0,683.14,20.8,0,0,52.66,124.32,0,0,0,8.87,92,348.98,1.11,0,0,14.12,654.31,0,0,0,0,0,22.47,0,0,0,0,0,0,2.33,0,42.84,0,0,0,0,26.39,70.59,0,20,0,0,0,118.76,139.68,0,0,0,98.87,42.82,0,0,20.56,18.83,0,0,0,66.85

4,00:45-01:00,0,45.22,0,0,0,0,0,0,3.85,0,21.19,0,683.14,20.8,0,0,52.66,124.32,0,0,0,8.87,92,348.98,1.11,0,0,14.12,654.31,0,0,0,0,0,22.47,0,0,0,0,0,0,2.33,0,42.84,0,0,0,0,26.39,70.59,0,20,0,0,0,118.76,139.68,0,0,0,98.87,42.82,0,0,20.56,18.83,0,0,0,66.85

5,01:00-01:15,0,45.22,0,0,0,0,0,0,10.25,0,21.19,0,683.14,20.8,0,0,52.66,124.32,0,0,0,8.87,92,348.98,1.11,0,0,14.12,654.31,0,0,0,0,0,22.47,0,0,0,0,0,0,2.33,0,42.84,0,0,0,0,26.39,70.59,0,20,0,0,0,118.76,139.68,0,0,0,98.87,42.82,0,0,20.56,18.83,0,0,0,66.85

6,01:15-01:30,0,45.22,0,0,0,0,0,0,3.85,0,21.19,0,683.14,20.8,0,0,52.66,124.32,0,0,0,8.87,92,348.98,1.11,0,0,14.12,654.31,0,0,0,0,0,22.47,0,0,0,0,0,0,13.95,0,42.84,0,0,0,0,26.39,70.59,0,20,0,0,0,118.76,139.68,0,0,0,98.87,42.82,0,0,20.56,18.83,0,0,0,66.85

7,01:30-01:45,0,45.22,0,0,0,0,0,0,3.85,0,21.19,0,683.14,20.8,0,0,52.66,124.32,0,0,0,8.87,92,348.98,1.11,0,0,14.12,654.31,0,0,0,0,0,22.47,0,0,0,0,0,0,69.72,0,42.84,0,0,0,0,26.39,70.59,0,20,0,0,0,118.76,139.68,0,0,0,98.87,42.82,0,0,20.56,4.57,0,0,0,66.85

8,01:45-02:00,0,45.22,0,0,0,0,0,0,3.85,0,21.19,0,683.14,20.8,0,0,52.66,124.32,0,0,0,8.87,92,348.98,1.11,0,0,14.12,654.31,0,0,0,0,0,22.47,0,0,0,0,0,0,69.72,0,42.84,0,0,0,0,26.39,70.59,0,20,0,0,0,118.76,139.68,0,0,0,98.87,42.82,0,0,20.56,4.57,0,0,0,66.85

9,02:00-02:15,0,45.22,0,0,0,0,0,0,10.25,0,21.19,0,683.14,20.8,0,0,52.66,124.32,0,0,0,8.87,92,348.98,1.11,0,0,14.12,654.31,0,0,0,0,0,22.47,0,0,0,0,0,0,69.72,0,42.84,0,0,0,0,26.39,70.59,0,20,0,0,0,118.76,139.68,0,0,0,98.87,42.82,0,0,20.56,4.57,0,0,0,66.85

10,02:15-02:30,0,45.22,0,0,0,0,0,0,10.25,0,21.19,0,683.14,20.8,0,0,52.66,124.32,0,0,0,8.87,92,348.98,1.11,0,0,14.12,654.31,0,0,0,0,0,22.47,0,0,0,0,0,0,69.72,0,42.84,0,0,0,0,26.39,70.59,0,20,0,0,0,118.76,139.68,0,0,0,98.87,42.82,0,0,20.56,4.57,0,0,0,66.85

11,02:30-02:45,0,45.22,0,0,0,0,0,0,10.25,0,21.19,0,683.14,20.8,0,0,52.66,124.32,0,0,0,8.87,92,348.98,1.11,0,0,14.12,654.31,0,0,0,0,0,22.47,0,0,0,0,0,0,13.36,0,42.84,0,0,0,0,26.39,70.59,0,20,0,0,0,118.76,139.68,0,0,0,98.87,42.82,0,0,20.56,4.57,0,0,0,66.85

12,02:45-03:00,0,45.22,0,0,0,0,0,0,3.85,0,21.19,0,683.14,20.8,0,0,52.66,124.32,0,0,0,8.87,92,348.98,1.11,0,0,14.12,654.31,0,0,0,0,0,22.47,0,0,0,0,0,0,2.33,0,42.84,0,0,0,0,26.39,70.59,0,20,0,0,0,118.76,139.68,0,0,0,98.87,42.82,0,0,20.56,4.57,0,0,0,66.85

13,03:00-03:15,0,45.22,0,0,0,0,0,0,3.85,0,21.19,0,683.14,20.8,0,0,52.66,124.32,0,0,0,8.87,92,348.98,1.11,0,0,14.12,654.31,0,0,0,0,0,22.47,0,0,0,0,0,0,2.33,0,42.84,0,0,0,0,26.39,70.59,0,20,0,0,0,118.76,139.68,0,0,0,98.87,42.82,0,0,20.56,4.57,0,0,0,66.85

14,03:15-03:30,0,45.22,0,0,0,0,0,0,3.85,0,21.19,0,683.14,20.8,0,0,52.66,124.32,0,0,0,8.87,92,348.98,1.11,0,0,14.12,654.31,0,0,0,0,0,22.47,0,0,0,0,0,0,2.33,0,42.84,0,0,0,0,26.39,70.59,0,20,0,0,0,118.76,139.68,0,0,0,98.87,42.82,0,0,20.56,4.57,0,0,0,66.85

